Date,DENMARK IMI GROWTH
1994-05-31,172.9821466477222
1994-06-30,177.82137125119743
1994-07-29,185.93599262833698
1994-08-31,172.86843896385074
1994-09-30,170.42566994167504
1994-10-31,171.98585122852882
1994-11-30,166.82351038593208
1994-12-30,172.25976530781483
1995-01-31,174.88732755342454
1995-02-28,179.7588164987519
1995-03-31,179.8483179847878
1995-04-28,187.00211426497827
1995-05-31,192.4689944477233
1995-06-30,189.63892927560664
1995-07-31,200.3206628067325
1995-08-31,191.31717646911522
1995-09-29,194.23793256037746
1995-10-31,192.69703575086723
1995-11-30,191.436111491773
1995-12-29,196.1229483436535
1996-01-31,203.7558035770468
1996-02-29,207.26931672853783
1996-03-29,207.88000699368615
1996-04-30,206.86076290329396
1996-05-31,210.7678871827343
1996-06-28,214.3772178221436
1996-07-31,221.9537329233347
1996-08-30,231.5191499012467
1996-09-30,229.66756769996272
1996-10-31,238.64582340091326
1996-11-29,244.217058126557
1996-12-31,250.17696166557124
1997-01-01,250.17696166557124
1997-01-02,249.8314434912652
1997-01-03,249.68474093723037
1997-01-06,252.25019674931968
1997-01-07,255.71266311689877
1997-01-08,254.95259968043172
1997-01-09,254.4376542769847
1997-01-10,256.50432515188913
1997-01-13,260.35924304232293
1997-01-14,259.45680450451
1997-01-15,262.9557171581465
1997-01-16,263.3790825791908
1997-01-17,259.2353241990935
1997-01-20,257.87465693751835
1997-01-21,255.15849714603075
1997-01-22,253.2710865214044
1997-01-23,254.1893297308
1997-01-24,254.40006801640905
1997-01-27,254.07882092361226
1997-01-28,251.9639407717298
1997-01-29,253.76839808968808
1997-01-30,254.74103363029596
1997-01-31,259.1247881967023
1997-02-03,261.92476700768367
1997-02-04,262.0038846240665
1997-02-05,262.0189799712057
1997-02-06,261.1238146187269
1997-02-07,260.31931113452265
1997-02-10,262.8870432114707
1997-02-11,258.7516146447066
1997-02-12,260.6021904081474
1997-02-13,263.43805756314123
1997-02-14,265.9179165133248
1997-02-17,264.70535130142724
1997-02-18,267.6642114248101
1997-02-19,268.49085333850854
1997-02-20,268.53267691207094
1997-02-21,268.4070615469702
1997-02-24,266.4066953059377
1997-02-25,264.4800053335028
1997-02-26,261.897396427515
