Date,HONG KONG IMI GROWTH
1994-05-31,376.9959144985773
1994-06-30,350.3740562478356
1994-07-29,371.30475876986236
1994-08-31,389.39706809455333
1994-09-30,382.00033071949366
1994-10-31,386.4154310193732
1994-11-30,344.4281184255402
1994-12-30,336.95375851486807
1995-01-31,303.3396606035006
1995-02-28,334.792790823684
1995-03-31,345.31239260547994
1995-04-28,339.2394558966499
1995-05-31,376.60065333705006
1995-06-30,372.15736741183
1995-07-31,375.0009083362254
1995-08-31,366.54489844853794
1995-09-29,388.3972525346808
1995-10-31,391.2556182082094
1995-11-30,389.24243106632184
1995-12-29,400.2445647366625
1996-01-31,443.38375974374685
1996-02-29,442.9942683445303
1996-03-29,440.4751541041988
1996-04-30,445.083501205322
1996-05-31,458.5577899500102
1996-06-28,453.891782350022
1996-07-31,436.1480757355061
1996-08-30,450.9173532876855
1996-09-30,477.49351032405343
1996-10-31,502.21584162437637
1996-11-29,555.012165959594
1996-12-31,558.0426151234506
1997-01-01,558.0967928777178
1997-01-02,549.3720680383782
1997-01-03,551.3713399095659
1997-01-06,557.7649903038764
1997-01-07,557.5900441862927
1997-01-08,558.3647654998962
1997-01-09,545.5418044425429
1997-01-10,541.5304765074325
1997-01-13,543.2745460745958
1997-01-14,545.2359920654071
1997-01-15,564.5650090879788
1997-01-16,565.3083497734718
1997-01-17,564.2115196375348
1997-01-20,564.0757004115922
1997-01-21,561.0046374070945
1997-01-22,562.6260903509228
1997-01-23,559.3443019667704
1997-01-24,551.1189107807776
1997-01-27,545.9792385652925
1997-01-28,551.0391300030402
1997-01-29,546.7190244538376
1997-01-30,543.8701414416386
1997-01-31,542.1639894183949
1997-02-03,546.0738374878312
1997-02-04,551.9241526220235
1997-02-05,556.3675256354027
1997-02-06,556.4034226304111
1997-02-07,556.5614244542447
1997-02-10,550.935217202256
1997-02-11,545.2173897725097
1997-02-12,546.0584163169352
1997-02-13,539.2554039276633
1997-02-14,534.2320173478643
1997-02-17,533.7650720842674
1997-02-18,530.9552623836831
1997-02-19,531.4234073084593
1997-02-20,545.4059908556719
1997-02-21,546.0900772023923
1997-02-24,543.3114963013917
1997-02-25,547.0030023381532
1997-02-26,548.5685666496212
1997-02-27,550.3876536448453
1997-02-28,545.7648169785376
1997-03-03,550.3154344650768
1997-03-04,550.7597063905804
1997-03-05,546.7241147795314
1997-03-06,544.1014731759518
1997-03-07,540.7302717186124
1997-03-10,537.1646947264129
1997-03-11,535.6027491217297
1997-03-12,529.9700634189405
1997-03-13,520.9008561368526
1997-03-14,513.0473566486287
1997-03-17,517.0241102349821
1997-03-18,514.6786277750807
1997-03-19,512.7279358395493
1997-03-20,504.6402928574823
1997-03-21,505.39602223851864
1997-03-24,518.1917390092118
1997-03-25,520.5334894843738
1997-03-26,519.4534983945482
1997-03-27,513.5323714786655
1997-03-28,513.512491010566
1997-03-31,513.5323714786654
1997-04-01,498.44845108263166
1997-04-02,498.55746732008
1997-04-03,494.5100384135956
1997-04-04,500.2145831229113
1997-04-07,501.8900687555149
1997-04-08,505.4972599372391
1997-04-09,506.28916732098514
1997-04-10,503.7984793041124
1997-04-11,508.188678328535
1997-04-14,500.3702026205462
1997-04-15,500.603846236695
1997-04-16,509.2011521077734
1997-04-17,506.869327230138
1997-04-18,510.0835890024574
1997-04-21,513.1862756806478
1997-04-22,511.60283615902335
1997-04-23,514.8793469062316
1997-04-24,515.7383564375547
1997-04-25,512.1571879188742
1997-04-28,511.1828716583904
1997-04-29,511.45904999301695
1997-04-30,521.9588920620914
1997-05-01,531.330426234878
1997-05-02,533.189330046128
1997-05-05,547.2527595305314
1997-05-06,550.9909487334135
1997-05-07,549.3558729998618
1997-05-08,550.9314103002968
