Date,UNITED KINGDOM IMI GROWTH
1994-05-31,260.396058694495
1994-06-30,259.2440736617566
1994-07-29,272.353016549542
1994-08-31,289.9146624235529
1994-09-30,276.75710814828625
1994-10-31,290.61233713549495
1994-11-30,278.89987713164805
1994-12-30,278.8329583704314
1995-01-31,275.7654580022053
1995-02-28,276.9404131834026
1995-03-31,299.1685921867646
1995-04-28,303.8667389709263
1995-05-31,310.39887435306935
1995-06-30,315.8675703711528
1995-07-31,334.3154833458396
1995-08-31,332.05102814234755
1995-09-29,347.3194409279111
1995-10-31,350.59597312988683
1995-11-30,351.62896429517076
1995-12-29,359.2376107088647
1996-01-31,359.2696407513944
1996-02-29,365.0899291096587
1996-03-29,370.6829838456724
1996-04-30,382.6182176572422
1996-05-31,390.86278675612385
1996-06-28,390.84472134967706
1996-07-31,386.0346847350346
1996-08-30,411.1159558950698
1996-09-30,421.1895642085668
1996-10-31,444.4175741164109
1996-11-29,465.77062275491727
1996-12-31,479.3970606233393
1997-01-01,479.39292971413954
1997-01-02,468.5141194029347
1997-01-03,472.44441621599503
1997-01-06,472.5880153883353
1997-01-07,472.819693525793
1997-01-08,471.92553270964413
1997-01-09,472.94777804531225
1997-01-10,464.54970688669454
1997-01-13,465.42132034869053
1997-01-14,471.6017391355082
1997-01-15,473.0843178005926
1997-01-16,475.71806158067955
1997-01-17,475.40369643463424
1997-01-20,472.62814775074094
1997-01-21,472.6873176199553
1997-01-22,472.02538450772
1997-01-23,470.0386924605675
1997-01-24,466.8479240679998
1997-01-27,466.49821148192325
1997-01-28,464.559696624354
1997-01-29,464.9765233972916
1997-01-30,466.09307928231175
1997-01-31,467.45102489657626
1997-02-03,468.1626769311615
1997-02-04,470.3385746658193
1997-02-05,475.39524184746756
1997-02-06,474.1968343551875
1997-02-07,475.9250298650526
1997-02-10,479.7848811267773
1997-02-11,483.49300840633407
1997-02-12,480.54224728325437
1997-02-13,480.578162525156
1997-02-14,483.20393639933883
1997-02-17,481.8049965181974
1997-02-18,477.3858078215207
1997-02-19,484.2320918752256
1997-02-20,483.27524958932963
1997-02-21,484.361113158703
1997-02-24,488.8680703978464
1997-02-25,490.7198079779838
1997-02-26,489.40252302765845
1997-02-27,488.81927270256676
1997-02-28,487.38423616307045
1997-03-03,484.28312137729284
1997-03-04,487.45510649776094
1997-03-05,485.51774002733856
1997-03-06,489.8515441947946
1997-03-07,489.56533953577537
1997-03-10,491.54183068621575
1997-03-11,493.81560742841896
1997-03-12,487.8244941578552
1997-03-13,487.0931283926549
1997-03-14,489.7783794736039
1997-03-17,484.4762455154148
1997-03-18,481.96701446349044
1997-03-19,481.3777758938781
1997-03-20,471.40603461320455
1997-03-21,473.57443431520596
1997-03-24,473.3985545996268
1997-03-25,480.9388877825816
1997-03-26,486.0193933563246
1997-03-27,488.8278525221821
1997-03-28,490.10196838705673
1997-03-31,492.42535614878096
1997-04-01,486.7552046564101
1997-04-02,485.0704364334794
1997-04-03,481.52456993285716
1997-04-04,483.64551522936324
1997-04-07,484.2426162694483
1997-04-08,481.42959376644103
1997-04-09,484.19088797699277
1997-04-10,486.0541689883729
1997-04-11,481.71478363020964
1997-04-14,479.3275463044391
1997-04-15,483.57513340943996
1997-04-16,483.12440646524425
1997-04-17,486.60297940015244
1997-04-18,488.49545742970935
1997-04-21,491.4077334211091
1997-04-22,493.5022307671983
1997-04-23,492.78491654058
1997-04-24,493.9036774028051
1997-04-25,491.30752048601715
1997-04-28,494.1376943342392
1997-04-29,500.132560608237
