Date,CANADA IMI GROWTH
1998-05-29,334.7721626069085
1998-06-01,332.0591501351591
1998-06-02,333.14212926470395
1998-06-03,330.900357745119
1998-06-04,329.8224544739785
1998-06-05,329.5238139808683
1998-06-08,331.01599507489567
1998-06-09,331.98977362722565
1998-06-10,326.5556073114908
1998-06-11,320.653284757276
1998-06-12,320.70387735341734
1998-06-15,306.42280330054564
1998-06-16,308.32352099733066
1998-06-17,310.7102709843202
1998-06-18,309.55596219731615
1998-06-19,310.2293977312276
1998-06-22,310.2919433905977
1998-06-23,312.5473422454068
1998-06-24,317.82470145564076
1998-06-25,321.55606172489837
1998-06-26,321.9235514283962
1998-06-29,324.7336411388359
1998-06-30,323.8495789709073
1998-07-01,324.6584607499909
1998-07-02,325.0053529753015
1998-07-03,326.04335097377424
1998-07-06,327.60643860471765
1998-07-07,328.001826588741
1998-07-08,327.75711693368794
1998-07-09,327.2976942884168
1998-07-10,325.89621453515866
1998-07-13,324.192732294919
1998-07-14,325.310107794561
1998-07-15,324.0148332682372
1998-07-16,323.74258797913063
1998-07-17,324.1198566486387
1998-07-20,326.70055150329114
1998-07-21,325.187928775236
1998-07-22,321.42648077809287
1998-07-23,316.6055546399384
1998-07-24,313.87222031414626
1998-07-27,311.2870201639129
1998-07-28,309.00821567951624
1998-07-29,306.1852811491312
1998-07-30,307.318167642369
1998-07-31,304.820974777294
1998-08-03,303.4714086997087
1998-08-04,293.33530638774545
1998-08-05,292.9634396950644
1998-08-06,289.4579764067664
1998-08-07,289.146296884648
1998-08-10,285.3906295633711
1998-08-11,275.76555003692636
1998-08-12,283.5894939408997
1998-08-13,278.0743260525555
1998-08-14,274.5969772403709
1998-08-17,276.97363650467395
1998-08-18,282.31112680457807
1998-08-19,281.60800970864665
1998-08-20,280.06313455196874
1998-08-21,273.0944394001532
1998-08-24,269.6209633410746
1998-08-25,270.15355191031654
1998-08-26,265.3596518835441
1998-08-27,246.38232842430804
1998-08-28,245.12467741906784
1998-08-31,236.46840631562063
1998-09-01,240.9391595982289
1998-09-02,247.03952167033688
1998-09-03,247.6853066065399
1998-09-04,250.00237235019574
1998-09-07,251.61369970898028
1998-09-08,260.96819751289223
1998-09-09,256.214378246125
1998-09-10,252.80383620625676
1998-09-11,254.90987664712154
1998-09-14,253.51970879317585
1998-09-15,252.92713723716574
1998-09-16,256.34767894903456
1998-09-17,244.21060596402566
1998-09-18,245.51845346802534
1998-09-21,244.90889038258166
1998-09-22,246.92627616643554
1998-09-23,255.5977006308203
1998-09-24,253.03862840785834
1998-09-25,250.9608397659797
1998-09-28,251.68486308485726
1998-09-29,247.1527521278659
1998-09-30,236.04566200973682
1998-10-01,228.15689626378315
1998-10-02,227.48861340025368
1998-10-05,220.1449699082909
1998-10-06,221.43449531302963
1998-10-07,225.867318309623
1998-10-08,220.17656971257162
1998-10-09,222.5644697735853
1998-10-12,224.1387516792782
1998-10-13,226.014086814719
1998-10-14,229.31976820438425
1998-10-15,241.15016542966828
1998-10-16,241.94637683602716
1998-10-19,240.44999597341882
1998-10-20,243.0000918801227
1998-10-21,241.23456540282294
1998-10-22,242.52178423180456
1998-10-23,242.58724174378304
1998-10-26,245.59476450165508
1998-10-27,251.9392784641184
1998-10-28,254.01381565546617
1998-10-29,257.0167159156142
1998-10-30,261.4700815386636
1998-11-02,268.86998268910315
1998-11-03,271.0630400764365
1998-11-04,272.8749963557564
1998-11-05,274.5288037162579
1998-11-06,274.55021285686587
1998-11-09,270.3316190071424
1998-11-10,265.6329693310976
1998-11-11,265.9804216503942
1998-11-12,264.9624687771705
1998-11-13,267.0222275512316
