Date,SPAIN IMI GROWTH
1994-05-31,236.94978439474932
1994-06-30,224.45403197612129
1994-07-29,235.18927689720098
1994-08-31,235.26844497135028
1994-09-30,227.4002079516331
1994-10-31,233.10060470181557
1994-11-30,226.83858598587682
1994-12-30,213.7076136169259
1995-01-31,211.13811281741735
1995-02-28,215.28605812677583
1995-03-31,211.49308785466152
1995-04-28,233.06354070830747
1995-05-31,240.10140582653352
1995-06-30,243.840106650514
1995-07-31,258.2880922441013
1995-08-31,248.6039227114742
1995-09-29,247.60233340339548
1995-10-31,243.69950716220328
1995-11-30,248.2031005747093
1995-12-29,258.1310398081896
1996-01-31,251.6179049395108
1996-02-29,267.2536699547466
1996-03-29,270.8032138254162
1996-04-30,276.82242557312924
1996-05-31,272.29488224218323
1996-06-28,285.35776651561076
1996-07-31,272.4560340298946
1996-08-30,273.83976094059153
1996-09-30,270.88940225898324
1996-10-31,274.03139929187705
1996-11-29,289.6596984539798
1996-12-31,308.9990649012665
1997-01-01,308.9990649012665
1997-01-02,303.9545325698929
1997-01-03,308.3351455330012
1997-01-06,307.3976004306584
1997-01-07,309.2437577557998
1997-01-08,309.72971754498604
1997-01-09,311.2687676945758
1997-01-10,317.6225840414353
1997-01-13,320.86756819023543
1997-01-14,320.55203454246316
1997-01-15,319.97154088423906
1997-01-16,322.7398146148658
1997-01-17,323.99723012340365
1997-01-20,322.1519874651828
1997-01-21,323.0456469856414
1997-01-22,315.57040288506465
1997-01-23,312.8737358444772
1997-01-24,306.2343959904208
1997-01-27,300.9590076327791
1997-01-28,303.00407575714434
1997-01-29,299.70702052135476
1997-01-30,296.88395224476284
1997-01-31,299.7223225381746
1997-02-03,295.0223491610221
1997-02-04,296.69722928292686
1997-02-05,300.3577991631991
1997-02-06,302.7921712229315
1997-02-07,301.1000472633201
1997-02-10,304.6589643274583
1997-02-11,300.83719884434777
1997-02-12,298.77674126342396
1997-02-13,299.35305562370024
1997-02-14,299.38418111158705
1997-02-17,298.3360544129643
1997-02-18,297.84973580355154
1997-02-19,294.3692951094698
1997-02-20,293.80986805275376
1997-02-21,290.90948121906297
1997-02-24,289.40823076144255
1997-02-25,290.2976374529243
1997-02-26,287.4744185632129
1997-02-27,289.1683253101258
1997-02-28,286.7453402746839
1997-03-03,284.82295109179756
1997-03-04,286.10252040443737
1997-03-05,284.23763388811005
1997-03-06,286.5246783044478
1997-03-07,290.3347936600375
1997-03-10,298.2550170797042
1997-03-11,296.98644097267913
1997-03-12,295.6483496013558
1997-03-13,296.30586079924757
1997-03-14,297.61186354355533
1997-03-17,295.79308994078025
1997-03-18,295.5936383953968
1997-03-19,296.2798436082436
1997-03-20,291.6072661160201
1997-03-21,291.73290949229545
1997-03-24,290.7226815152647
1997-03-25,294.639686978526
1997-03-26,296.6382709718432
1997-03-27,299.5816908315919
1997-03-28,299.6449515532429
1997-03-31,295.8319332697819
1997-04-01,292.82430031681434
1997-04-02,292.8266563640861
1997-04-03,292.87151214217874
1997-04-04,294.48520814242346
1997-04-07,293.5362976837272
1997-04-08,293.9126063632288
1997-04-09,294.3826745235332
1997-04-10,292.6822345073084
1997-04-11,289.3271621484548
1997-04-14,289.2028954837747
1997-04-15,294.56950452251095
1997-04-16,293.84785681573834
1997-04-17,296.9769586260856
1997-04-18,300.2775545300618
1997-04-21,303.70017861404705
1997-04-22,304.134659494678
1997-04-23,308.4545280402556
1997-04-24,304.8080432201453
1997-04-25,302.1438682495306
1997-04-28,303.59284193528117
1997-04-29,306.8126937442374
1997-04-30,307.7317274765784
1997-05-01,309.49025502524137
1997-05-02,309.29314193417775
1997-05-05,317.6250094416284
