Date,AUSTRALIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1011.5885185610678
1999-01-05,1010.4544528770482
1999-01-06,1039.1200246349679
1999-01-07,1060.225874460328
1999-01-08,1067.0699421423624
1999-01-11,1086.2003991913398
1999-01-12,1088.7243075057677
1999-01-13,1050.5193476149086
1999-01-14,1048.327052262006
1999-01-15,1063.7338176723529
1999-01-18,1065.8920891140453
1999-01-19,1075.3033061520046
1999-01-20,1086.3987081349148
1999-01-21,1076.882227417773
1999-01-22,1060.6873417773138
1999-01-25,1052.0560205203808
1999-01-26,1048.681536343412
1999-01-27,1057.1692365378324
1999-01-28,1059.6730286401016
1999-01-29,1075.054431889666
1999-02-01,1096.449465892884
1999-02-02,1096.6777983510408
1999-02-03,1109.4058821308045
1999-02-04,1126.0700651723566
1999-02-05,1134.826435678636
1999-02-08,1140.01006394287
1999-02-09,1128.2889967613723
1999-02-10,1105.3530588753595
1999-02-11,1115.6466184924225
1999-02-12,1117.5596407361447
1999-02-15,1116.2464259113478
1999-02-16,1104.0213707861233
1999-02-17,1092.7784585462066
1999-02-18,1095.920307626996
1999-02-19,1131.2533122530656
1999-02-22,1139.3547099669238
1999-02-23,1144.27490897916
1999-02-24,1136.2260771723386
1999-02-25,1109.1636333022334
1999-02-26,1095.735307383795
1999-03-01,1105.6006786787646
1999-03-02,1104.7862786803548
1999-03-03,1111.0166963475065
1999-03-04,1117.460542242564
1999-03-05,1131.7126207382264
1999-03-08,1137.907304701108
1999-03-09,1149.1552341926406
1999-03-10,1140.640408515359
1999-03-11,1158.2038748093314
1999-03-12,1154.7024373190202
1999-03-15,1157.5007813085947
1999-03-16,1148.2462361400271
1999-03-17,1130.640042013959
1999-03-18,1138.7698861741244
1999-03-19,1149.6456144205988
1999-03-22,1159.3222061728784
1999-03-23,1168.8497770220374
1999-03-24,1159.955664551046
1999-03-25,1166.293298375396
1999-03-26,1179.5384853051723
1999-03-29,1175.6203125027366
1999-03-30,1160.4268984190262
1999-03-31,1151.3168497748834
1999-04-01,1163.4144543472064
1999-04-02,1160.1494796263582
1999-04-05,1164.2922104660133
1999-04-06,1163.8894705756302
1999-04-07,1156.5145720659668
1999-04-08,1147.6809309929326
1999-04-09,1161.3710133178565
1999-04-12,1156.1859943200063
1999-04-13,1178.5886595993222
1999-04-14,1182.880156377607
1999-04-15,1190.6003393346614
1999-04-16,1231.8265111226883
1999-04-19,1259.1818414810373
1999-04-20,1239.1733332259428
1999-04-21,1229.3703475132484
1999-04-22,1254.5335231335625
1999-04-23,1255.5853407734303
1999-04-26,1251.0172260232566
1999-04-27,1251.7746578417834
1999-04-28,1252.0803635876655
1999-04-29,1272.0047086470965
1999-04-30,1289.0443081279718
1999-05-03,1287.5319592315807
1999-05-04,1286.5563299549772
1999-05-05,1265.0255154348367
1999-05-06,1283.160015979603
1999-05-07,1282.050954224526
1999-05-10,1259.2830721135579
1999-05-11,1260.8496755063102
1999-05-12,1265.6429896080915
1999-05-13,1269.1627705274805
1999-05-14,1270.3816739680592
1999-05-17,1257.1686702638988
1999-05-18,1273.3066999669952
1999-05-19,1250.2340669587506
1999-05-20,1238.9508124116996
1999-05-21,1243.104805393754
1999-05-24,1240.000264520443
1999-05-25,1219.806928627412
1999-05-26,1218.883977556443
1999-05-27,1214.736107205142
1999-05-28,1214.8574372925837
1999-05-31,1211.363082687554
1999-06-01,1198.5089935296999
1999-06-02,1213.6668828285829
1999-06-03,1229.828756192839
1999-06-04,1247.9495156854143
1999-06-07,1260.4574347548282
1999-06-08,1251.8865855284894
1999-06-09,1258.5230418140006
1999-06-10,1253.3021583532363
1999-06-11,1254.1358279883048
1999-06-14,1258.1600290275285
1999-06-15,1250.7992533612983
1999-06-16,1260.1410779421485
1999-06-17,1262.4596447638264
1999-06-18,1251.1348644952402
1999-06-21,1252.306914748626
1999-06-22,1261.0692644032354
1999-06-23,1263.4926169225257
1999-06-24,1255.02038870136
1999-06-25,1248.4519713789093
1999-06-28,1260.1510204307338
1999-06-29,1255.901589556087
1999-06-30,1260.5072650506117
1999-07-01,1301.1129380802995
1999-07-02,1324.9275825453444
1999-07-05,1334.8370389709928
1999-07-06,1337.5197277721363
1999-07-07,1325.695866171406
1999-07-08,1342.9108574224497
1999-07-09,1327.4898389825373
1999-07-12,1331.330985849659
1999-07-13,1322.2305542569632
1999-07-14,1317.8033965113018
1999-07-15,1326.817241695257
1999-07-16,1314.4876933050703
1999-07-19,1314.4559534268296
1999-07-20,1291.7882053772971
1999-07-21,1267.3888391430592
1999-07-22,1266.6754844463244
1999-07-23,1270.8720572112811
1999-07-26,1241.0355614711248
1999-07-27,1240.0581932989853
1999-07-28,1247.750588539629
1999-07-29,1238.3390253338312
1999-07-30,1236.762002560489
1999-08-02,1226.236179660204
