Date,SWITZERLAND EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1022.683092824192
1999-01-05,1026.362949089459
1999-01-06,1036.062325956751
1999-01-07,1024.562564661633
1999-01-08,1035.2996962249838
1999-01-11,1017.6527056167912
1999-01-12,1009.1630875918648
1999-01-13,984.8856375114827
1999-01-14,978.385512430543
1999-01-15,986.6030224650074
1999-01-18,981.5670246647314
1999-01-19,978.2362348628682
1999-01-20,977.9462221901722
1999-01-21,969.9875234958267
1999-01-22,965.7050333440106
1999-01-25,968.694558270845
1999-01-26,967.0919946503004
1999-01-27,966.4882529243006
1999-01-28,976.1825183170906
1999-01-29,983.3632467258428
1999-02-01,992.3562279386856
1999-02-02,1001.3235748660111
1999-02-03,1001.6760235298168
1999-02-04,992.5390455006998
1999-02-05,997.7157933028575
1999-02-08,990.6590632650472
1999-02-09,974.8550899533772
1999-02-10,971.6930671392067
1999-02-11,972.028690267907
1999-02-12,982.6414768353343
1999-02-15,983.5716577584365
1999-02-16,988.8122389590867
1999-02-17,982.4311100698146
1999-02-18,978.7664315120012
1999-02-19,975.8894917445085
1999-02-22,992.6234549544907
1999-02-23,999.3981112790724
1999-02-24,1013.9202269942465
1999-02-25,1007.0078533082823
1999-02-26,1005.8517983540842
1999-03-01,1000.6502947769471
1999-03-02,1000.4718547730208
1999-03-03,998.9691026162919
1999-03-04,1007.8964644941061
1999-03-05,1020.3996577814011
1999-03-08,1015.6115839423156
1999-03-09,1019.6110777481305
1999-03-10,1008.7588320968148
1999-03-11,1029.3462491049802
1999-03-12,1025.1234065919487
1999-03-15,1030.2682180152653
1999-03-16,1031.3296108954337
1999-03-17,1040.9797290045844
1999-03-18,1043.6908502458248
1999-03-19,1055.2712418232536
1999-03-22,1046.6192209766862
1999-03-23,1030.883475362719
1999-03-24,1015.6898644008684
1999-03-25,1033.243167154312
1999-03-26,1024.287739418324
1999-03-29,1036.8422040322291
1999-03-30,1029.6484970958243
1999-03-31,1037.7070775843265
1999-04-01,1037.2576989469728
1999-04-02,1036.8967735541323
1999-04-05,1036.0919220574995
1999-04-06,1040.9007740403683
1999-04-07,1051.4081003581907
1999-04-08,1064.1452564340025
1999-04-09,1068.039768390011
1999-04-12,1063.5231318723604
1999-04-13,1062.2016641224536
1999-04-14,1059.222222371295
1999-04-15,1050.6968515481901
1999-04-16,1050.5263524112643
1999-04-19,1063.7543373708058
1999-04-20,1048.429875253426
1999-04-21,1055.9786760197956
1999-04-22,1068.3012025301555
1999-04-23,1064.1232887607528
1999-04-26,1077.4194318422976
1999-04-27,1093.5768955087774
1999-04-28,1091.4303692461842
1999-04-29,1086.987857745444
1999-04-30,1091.5765794445854
1999-05-03,1099.0788179305086
1999-05-04,1099.1089198803236
1999-05-05,1093.8971372911353
1999-05-06,1091.8425887460019
1999-05-07,1090.7545966793239
1999-05-10,1093.2723157747241
1999-05-11,1098.5219983242002
1999-05-12,1098.0271987611213
1999-05-13,1099.41463594761
1999-05-14,1089.459921232712
1999-05-17,1069.3150229747305
1999-05-18,1082.093517579791
1999-05-19,1089.8352211797096
1999-05-20,1101.1790397915793
1999-05-21,1092.462896005221
1999-05-24,1094.0005934403562
1999-05-25,1081.1026352576364
1999-05-26,1081.5656007038658
1999-05-27,1064.8665722020644
1999-05-28,1068.581081020166
1999-05-31,1082.5884847591597
1999-06-01,1077.4549471959701
1999-06-02,1088.9416321132828
1999-06-03,1100.4305047649937
1999-06-04,1110.5351879659506
1999-06-07,1112.6691968378523
1999-06-08,1108.6279125958001
1999-06-09,1116.293084573657
1999-06-10,1098.5779024758428
1999-06-11,1105.678930306282
1999-06-14,1102.3748558824277
1999-06-15,1104.3969306761428
1999-06-16,1110.3311449128464
1999-06-17,1116.088688718638
1999-06-18,1119.6698678771434
1999-06-21,1127.2158256935872
1999-06-22,1119.3080345691385
1999-06-23,1111.9778871748379
1999-06-24,1103.6026722680538
1999-06-25,1095.407240893238
1999-06-28,1093.1734632242035
1999-06-29,1098.9364786691665
1999-06-30,1084.944867250598
1999-07-01,1101.858176563999
1999-07-02,1112.0018502801092
1999-07-05,1122.1938812215865
1999-07-06,1117.1561260940312
1999-07-07,1115.2763490255522
1999-07-08,1119.9229468706856
1999-07-09,1124.9566201025204
1999-07-12,1126.970531746579
1999-07-13,1117.9098536092554
1999-07-14,1121.6179921436908
1999-07-15,1128.1061475406846
1999-07-16,1121.3229999364344
1999-07-19,1121.448340173211
1999-07-20,1101.0777870371999
1999-07-21,1098.7660903264402
1999-07-22,1088.785341045558
1999-07-23,1071.5218191594447
1999-07-26,1060.8532689078888
1999-07-27,1078.9394850407994
1999-07-28,1074.9713054640395
1999-07-29,1061.7764139021692
1999-07-30,1081.5713756344646
1999-08-02,1080.5621042083592
1999-08-03,1083.907458738061
1999-08-04,1078.5241133913842
