Date,GERMANY EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0004090335053
1999-01-04,1028.901208797828
1999-01-05,1026.4198045623875
1999-01-06,1041.8942444756394
1999-01-07,1027.6415130420007
1999-01-08,1024.9128022732032
1999-01-11,1010.1268960948346
1999-01-12,1000.7980379397515
1999-01-13,966.6067215050349
1999-01-14,965.1483837790315
1999-01-15,967.550376603239
1999-01-18,966.0548035382975
1999-01-19,968.1931776095544
1999-01-20,971.2993770663065
1999-01-21,971.9235203631116
1999-01-22,957.4057284445447
1999-01-25,951.8414398025634
1999-01-26,947.7391774623093
1999-01-27,952.9735875249128
1999-01-28,962.7548006349316
1999-01-29,966.1121685465172
1999-02-01,969.7995934579043
1999-02-02,962.4140215946676
1999-02-03,964.9373034411368
1999-02-04,960.579134550998
1999-02-05,975.5431508168649
1999-02-08,976.2912227570204
1999-02-09,962.1428112532581
1999-02-10,947.4271797901564
1999-02-11,959.7477144584024
1999-02-12,968.8715577042659
1999-02-15,968.9118573592395
1999-02-16,972.5059706569853
1999-02-17,961.7436889705923
1999-02-18,967.0073793157535
1999-02-19,962.5626374422623
1999-02-22,964.6811440084623
1999-02-23,972.6460568860314
1999-02-24,978.9793708708503
1999-02-25,963.9264430253778
1999-02-26,961.904442781687
1999-03-01,945.1839054457012
1999-03-02,945.8876924541752
1999-03-03,937.8108820938321
1999-03-04,940.5966228326514
1999-03-05,951.4871531550114
1999-03-08,945.1937184114239
1999-03-09,943.9832233924025
1999-03-10,932.3451655970939
1999-03-11,939.3826930532015
1999-03-12,968.5951605431286
1999-03-15,971.8322930042654
1999-03-16,975.1369701698263
1999-03-17,974.4422484733217
1999-03-18,973.426917500846
1999-03-19,983.6349498936371
1999-03-22,978.2899599978384
1999-03-23,957.9306088663182
1999-03-24,946.1501920175438
1999-03-25,957.5685000069453
1999-03-26,950.0051040848148
1999-03-29,959.7728350524096
1999-03-30,956.0965137704848
1999-03-31,961.8313467940019
1999-04-01,964.4656347524696
1999-04-02,964.4656347524696
1999-04-05,964.4656347524692
1999-04-06,972.0634461447265
1999-04-07,976.4053903484701
1999-04-08,984.3134218548638
1999-04-09,998.0906368551238
1999-04-12,999.9821096841818
1999-04-13,1008.4476364767743
1999-04-14,1007.361982113566
1999-04-15,1017.2301214698288
1999-04-16,1018.6970269596803
1999-04-19,1040.7068149954796
1999-04-20,1021.6504378469267
1999-04-21,1026.665136911926
1999-04-22,1034.146751057954
1999-04-23,1032.8134283709824
1999-04-26,1041.6078158330652
1999-04-27,1063.2644424830246
1999-04-28,1059.6544138227794
1999-04-29,1063.551165339002
1999-04-30,1058.0496660209615
1999-05-03,1064.2568217436776
1999-05-04,1073.7999845817114
1999-05-05,1067.135059999865
1999-05-06,1069.70343772299
1999-05-07,1073.6885202673652
1999-05-10,1075.5021477855753
1999-05-11,1085.5654604670613
1999-05-12,1080.926903807764
1999-05-13,1080.9269038077643
1999-05-14,1066.6355654824738
1999-05-17,1053.2910506676194
1999-05-18,1066.509780141221
1999-05-19,1075.3196164013084
1999-05-20,1083.346863205289
1999-05-21,1075.7937324576808
1999-05-24,1075.7937324576812
1999-05-25,1063.792568235687
1999-05-26,1064.3132558612174
1999-05-27,1044.6728092487829
1999-05-28,1045.3531672532442
1999-05-31,1041.2609354988494
1999-06-01,1043.2465328646754
1999-06-02,1042.2571831753144
1999-06-03,1042.482938585774
1999-06-04,1052.0089084790359
1999-06-07,1070.961287307671
1999-06-08,1069.4363150655697
1999-06-09,1080.2552804935374
1999-06-10,1077.2537264192504
1999-06-11,1088.1390451140485
1999-06-14,1083.2305061944012
1999-06-15,1091.4049409753977
1999-06-16,1094.2195768023407
1999-06-17,1094.0007982617128
1999-06-18,1093.5320758619682
1999-06-21,1108.0219333031632
1999-06-22,1110.587427292362
1999-06-23,1101.0907790175272
1999-06-24,1095.4924414737195
1999-06-25,1095.4040753489842
1999-06-28,1095.2421398297854
1999-06-29,1097.6054182995554
1999-06-30,1102.5688741817787
1999-07-01,1115.411642747178
1999-07-02,1120.4295461268875
1999-07-05,1134.3460843545367
1999-07-06,1132.2887460367956
1999-07-07,1131.886879644114
1999-07-08,1130.934820573607
1999-07-09,1138.481322470868
1999-07-12,1137.8914057699308
1999-07-13,1121.636902762648
1999-07-14,1127.838257124888
1999-07-15,1131.8616033875967
1999-07-16,1132.3406867896567
1999-07-19,1136.6843813108935
1999-07-20,1124.0600012360248
1999-07-21,1110.6068899659272
1999-07-22,1097.3304705245205
1999-07-23,1098.4574317825054
1999-07-26,1081.7010057655068
1999-07-27,1081.3526130896996
1999-07-28,1082.5907666359385
1999-07-29,1064.3694935338685
1999-07-30,1072.571303859756
1999-08-02,1066.988353367226
1999-08-03,1071.21967930026
1999-08-04,1073.4676673024414
1999-08-05,1061.3220902042312
1999-08-06,1064.2550979412665
1999-08-09,1070.6409307404597
1999-08-10,1061.5346592718524
1999-08-11,1063.8838231204345
1999-08-12,1080.9143118237407
1999-08-13,1088.8222319827762
1999-08-16,1101.1527769540944
1999-08-17,1096.2792454737164
1999-08-18,1089.946559012421
1999-08-19,1085.5958612838265
1999-08-20,1098.124490851981
1999-08-23,1107.5587833304812
1999-08-24,1104.420609627668
1999-08-25,1113.6261284001014
1999-08-26,1109.3145358412721
1999-08-27,1107.6922623746077
1999-08-30,1103.3267662097508
1999-08-31,1077.1139810038314
1999-09-01,1093.757655905957
1999-09-02,1083.412880138794
1999-09-03,1096.6108617153197
1999-09-06,1102.3604241161133
1999-09-07,1112.3065757553977
1999-09-08,1108.3950422555172
1999-09-09,1115.0445360321573
1999-09-10,1120.6242375127474
1999-09-13,1114.4933311790946
1999-09-14,1107.422039099811
1999-09-15,1105.7208605812764
1999-09-16,1090.4355260973427
1999-09-17,1089.9124412898013
1999-09-20,1092.488133294471
1999-09-21,1080.768174123905
1999-09-22,1066.4644375055714
1999-09-23,1074.5551998354817
1999-09-24,1053.0827541800395
1999-09-27,1059.2755596499046
1999-09-28,1045.1053809391522
1999-09-29,1042.6671708163237
1999-09-30,1048.48946815551
1999-10-01,1043.329576089246
1999-10-04,1047.4380688439576
1999-10-05,1056.5323780036986
1999-10-06,1063.2149095412788
1999-10-07,1070.2456847579722
