Date,UNITED KINGDOM EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,983.3927297685719
1999-01-05,988.203961475203
1999-01-06,1017.7667153601786
1999-01-07,1010.0139647022849
1999-01-08,1020.85829277381
1999-01-11,1024.5837328480625
1999-01-12,1013.06496681133
1999-01-13,988.2438225759549
1999-01-14,986.5722208318382
1999-01-15,998.8216289245654
1999-01-18,1008.8384406786455
1999-01-19,1000.7272181257878
1999-01-20,1001.3037372455397
1999-01-21,997.7454511046177
1999-01-22,983.3648375236884
1999-01-25,990.7065819129849
1999-01-26,998.1215514152442
1999-01-27,1011.5771552302558
1999-01-28,1025.6901021555923
1999-01-29,1037.6740906828709
1999-02-01,1066.7546726192647
1999-02-02,1088.3965594674626
1999-02-03,1079.4473713196978
1999-02-04,1085.4687737806557
1999-02-05,1079.1231506146607
1999-02-08,1081.4582104914539
1999-02-09,1071.1448496608975
1999-02-10,1062.7852188344011
1999-02-11,1069.9746675229735
1999-02-12,1076.5912749892843
1999-02-15,1081.7071886503543
1999-02-16,1098.4088022354758
1999-02-17,1090.724486321441
1999-02-18,1087.5845469141475
1999-02-19,1094.3553998085242
1999-02-22,1098.8289842771285
1999-02-23,1101.9250792051962
1999-02-24,1109.1639615803495
1999-02-25,1099.516293369241
1999-02-26,1111.3059773002776
1999-03-01,1114.0686483291806
1999-03-02,1123.786707090983
1999-03-03,1129.767563715796
1999-03-04,1138.9496377099128
1999-03-05,1147.5884507589735
1999-03-08,1145.9812771403547
1999-03-09,1152.7445034730595
1999-03-10,1161.5377054029068
1999-03-11,1188.9600933861507
1999-03-12,1191.7860421799064
1999-03-15,1170.4608190896222
1999-03-16,1175.1939796197407
1999-03-17,1156.0498570409857
1999-03-18,1153.576104424618
1999-03-19,1169.8874394061606
1999-03-22,1168.1483209072237
1999-03-23,1162.8545710401058
1999-03-24,1163.5613977817989
1999-03-25,1169.1890667082625
1999-03-26,1178.5003913983178
1999-03-29,1188.4399608804151
1999-03-30,1181.0004562355314
1999-03-31,1180.8083198943123
1999-04-01,1167.7447665341808
1999-04-02,1169.5406577697345
1999-04-05,1174.7044773268417
1999-04-06,1164.314146633405
1999-04-07,1178.1843825484823
1999-04-08,1186.3664057273604
1999-04-09,1206.417499871498
1999-04-12,1202.0768821731185
1999-04-13,1222.268833829509
1999-04-14,1228.6313013521349
1999-04-15,1251.1095021886113
1999-04-16,1269.7243852852923
1999-04-19,1296.6505587171919
1999-04-20,1273.0607352311636
1999-04-21,1268.2265337772537
1999-04-22,1281.9276670928164
1999-04-23,1283.4136168570444
1999-04-26,1292.7915923607727
1999-04-27,1298.8438838463137
1999-04-28,1298.0068907990167
1999-04-29,1293.7538406890258
1999-04-30,1304.3037517052371
1999-05-03,1305.7848631337172
1999-05-04,1313.7173203510065
1999-05-05,1299.7412511204504
1999-05-06,1300.23479639488
1999-05-07,1286.4618474937758
1999-05-10,1276.5419975941793
1999-05-11,1280.1133289299712
1999-05-12,1275.780188428174
1999-05-13,1289.0011230025045
1999-05-14,1260.3162620274377
1999-05-17,1241.9755312022487
1999-05-18,1246.8627008219185
1999-05-19,1255.145155400917
1999-05-20,1261.2420847632302
1999-05-21,1256.9660616570895
1999-05-24,1246.2898646939573
1999-05-25,1229.7200747790607
1999-05-26,1239.5433273611045
1999-05-27,1242.667166182445
1999-05-28,1246.752197974486
1999-05-31,1250.7627859258862
1999-06-01,1258.3003647828357
1999-06-02,1283.249771995696
1999-06-03,1289.0257318834113
1999-06-04,1302.3926043900901
1999-06-07,1310.2564001954775
1999-06-08,1297.457328939466
1999-06-09,1296.7854441190302
1999-06-10,1289.2682231395506
1999-06-11,1306.7957439686593
1999-06-14,1310.9984308832695
1999-06-15,1305.185848404676
1999-06-16,1325.801786344998
1999-06-17,1329.618014161039
1999-06-18,1328.7716799395014
1999-06-21,1344.3818857760525
1999-06-22,1336.4980393803462
1999-06-23,1315.6353213407235
1999-06-24,1305.3756028252053
1999-06-25,1291.3866894695173
1999-06-28,1295.860414749791
1999-06-29,1287.3041398150103
1999-06-30,1287.8168746230901
1999-07-01,1312.3256451810987
1999-07-02,1318.4316011068458
1999-07-05,1328.5632770837713
1999-07-06,1331.013118921218
1999-07-07,1330.495372167806
1999-07-08,1333.5830092022009
1999-07-09,1326.9641379568511
1999-07-12,1333.272757873571
1999-07-13,1314.2710648655166
1999-07-14,1316.1499693023286
1999-07-15,1324.5183887080177
1999-07-16,1325.6826425866554
1999-07-19,1319.3463898362413
1999-07-20,1289.648660640887
1999-07-21,1271.0583216185764
1999-07-22,1280.2038528529688
1999-07-23,1268.4150812322796
1999-07-26,1253.2958824318878
1999-07-27,1260.6181443731577
1999-07-28,1263.2043492024065
1999-07-29,1258.6822999229073
1999-07-30,1276.44286877252
1999-08-02,1283.6195583246392
