Date,JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,972.6974127978256
1999-01-05,970.3308265292436
1999-01-06,980.6353537970548
1999-01-07,1003.2265154696775
1999-01-08,1002.4410191385928
1999-01-11,1025.7351307284234
1999-01-12,1000.6193333427683
1999-01-13,969.5572375583404
1999-01-14,986.1081709737449
1999-01-15,991.0064240213574
1999-01-18,986.3740840904549
1999-01-19,990.5165724727073
1999-01-20,1008.13848600585
1999-01-21,1020.5203197984064
1999-01-22,1001.7864909000127
1999-01-25,1014.5470665874955
1999-01-26,1025.304263051967
1999-01-27,1023.7837763840166
1999-01-28,1017.9158848591267
1999-01-29,1032.506263779173
1999-02-01,1044.407868778844
1999-02-02,1059.7403394230528
1999-02-03,1048.2366379458858
1999-02-04,1049.1629753543175
1999-02-05,1034.1529521895407
1999-02-08,1033.2628073217345
1999-02-09,1015.9508700927629
1999-02-10,1016.2830986218956
1999-02-11,1020.4023095656916
1999-02-12,1025.4719412657334
1999-02-15,1026.1711923088176
1999-02-16,1017.5374209295078
1999-02-17,997.6717387536357
1999-02-18,988.9618251612075
1999-02-19,989.5000863418494
1999-02-22,1008.874317025683
1999-02-23,1013.43493423812
1999-02-24,1009.1369285387441
1999-02-25,1020.5593394698794
1999-02-26,1034.280092593556
1999-03-01,1027.0364129409793
1999-03-02,1002.358476557396
1999-03-03,1004.7672588428079
1999-03-04,996.9530379528946
1999-03-05,1040.6300265861719
1999-03-08,1034.6840089773925
1999-03-09,1051.4150024306405
1999-03-10,1080.1151102722545
1999-03-11,1101.9174303340626
1999-03-12,1103.0059546730247
1999-03-15,1137.1408519951885
1999-03-16,1179.3082411388307
1999-03-17,1168.776812839832
1999-03-18,1141.0106225365341
1999-03-19,1188.2327150714486
1999-03-22,1182.3944303873375
1999-03-23,1177.1043716551187
1999-03-24,1155.812188454603
1999-03-25,1184.826565959743
1999-03-26,1187.6114255046984
1999-03-29,1194.0632693523144
1999-03-30,1172.0508194612564
1999-03-31,1198.9431302532946
1999-04-01,1209.179403067451
1999-04-02,1201.938987516822
1999-04-05,1201.9307459108652
1999-04-06,1227.4161758402429
1999-04-07,1229.0688020954287
1999-04-08,1248.216227082144
1999-04-09,1252.1785050609378
1999-04-12,1238.4568236766008
1999-04-13,1261.618152632699
1999-04-14,1285.9245112960066
1999-04-15,1285.902153480422
1999-04-16,1312.6744176255725
1999-04-19,1324.8419492623934
1999-04-20,1309.5331909862314
1999-04-21,1282.3931599243115
1999-04-22,1281.9260203152462
1999-04-23,1293.4914732420837
1999-04-26,1306.92063963441
1999-04-27,1294.853081169097
1999-04-28,1308.0805812212013
1999-04-29,1313.598674930296
1999-04-30,1304.575527225757
1999-05-03,1297.793860653379
1999-05-04,1284.1724216093535
1999-05-05,1274.4896905029725
1999-05-06,1310.5125947234467
1999-05-07,1306.9164225165998
1999-05-10,1313.4547720086703
1999-05-11,1302.6311191302907
1999-05-12,1316.0718093965727
1999-05-13,1308.9713743230925
1999-05-14,1289.1189890746343
1999-05-17,1250.2168413076527
1999-05-18,1250.292860822446
1999-05-19,1216.5182318839277
1999-05-20,1221.0031654225545
1999-05-21,1238.4029035570243
1999-05-24,1242.3404064517015
1999-05-25,1236.5865051616415
1999-05-26,1258.8809508646225
1999-05-27,1261.0273852970126
1999-05-28,1258.7932652937277
1999-05-31,1266.0829710686592
1999-06-01,1286.0314067629897
1999-06-02,1301.9084017395214
1999-06-03,1281.7667884945008
1999-06-04,1285.070004651303
1999-06-07,1306.9446485214137
1999-06-08,1312.3053355386182
1999-06-09,1326.755057897111
1999-06-10,1348.7908923914063
1999-06-11,1366.137904431473
1999-06-14,1346.6274001269223
1999-06-15,1352.5419328876767
1999-06-16,1364.575084596876
1999-06-17,1386.621430553676
1999-06-18,1365.4194499860446
1999-06-21,1373.8768659372731
1999-06-22,1381.4153111404923
1999-06-23,1364.142614313288
1999-06-24,1358.1115828486527
1999-06-25,1342.2565901789417
1999-06-28,1362.572391419174
1999-06-29,1374.327062617789
1999-06-30,1363.6779012857255
1999-07-01,1392.4080884508662
1999-07-02,1401.3398376301984
1999-07-05,1396.4455717679946
1999-07-06,1396.270319692889
1999-07-07,1394.3661899974747
1999-07-08,1391.5853303430083
1999-07-09,1392.6899351897523
1999-07-12,1410.6327104849179
1999-07-13,1412.7111946339078
1999-07-14,1423.2588062010964
1999-07-15,1424.0886039423413
1999-07-16,1410.4415209285676
1999-07-19,1450.3469399793619
1999-07-20,1415.744447341085
1999-07-21,1412.2260815036789
1999-07-22,1389.9194215934533
1999-07-23,1388.5514763309666
1999-07-26,1361.4478864308803
1999-07-27,1358.2246199953265
1999-07-28,1366.1006645189645
1999-07-29,1376.9095783026314
1999-07-30,1395.4557580453084
1999-08-02,1396.8207538610313
1999-08-03,1399.7828676775055
