Date,EMEA ex ISRAEL ESG LEADERS
2014-11-25,1000.0
2014-11-26,999.648289741007
2014-11-27,1003.6025823052419
2014-11-28,1001.0328425521817
2014-12-01,997.5945915893604
2014-12-02,1002.0048636823767
2014-12-03,1007.5100072097864
2014-12-04,995.6044035079469
2014-12-05,1011.8288689413004
2014-12-08,1005.7966023094068
2014-12-09,985.2248189974708
2014-12-10,982.1566583134057
2014-12-11,983.483248225118
2014-12-12,959.3198234542351
2014-12-15,939.6854625202292
2014-12-16,952.94712518975
2014-12-17,952.9491440896956
2014-12-18,981.8984845803902
2014-12-19,982.8205105030397
2014-12-22,988.4652507645172
2014-12-23,994.2275715614695
2014-12-24,993.1443361776195
2014-12-25,993.1443361776195
2014-12-26,993.4912088992156
2014-12-29,993.4659495154148
2014-12-30,985.6683325501947
2014-12-31,989.1154593016713
2015-01-01,989.1154593016713
2015-01-02,986.9976643525505
2015-01-05,969.3786471532384
2015-01-06,961.8988989460819
2015-01-07,964.6029113324056
2015-01-08,987.3747306696588
2015-01-09,977.651013136775
2015-01-12,983.2802788060587
2015-01-13,997.3940731616449
2015-01-14,984.5840504335099
2015-01-15,1010.596354184779
2015-01-16,1022.0638810749472
2015-01-19,1025.7655856814206
2015-01-20,1033.298843613893
2015-01-21,1039.9347090318204
2015-01-22,1056.2139884187213
2015-01-23,1073.2183055235728
2015-01-26,1079.3774161676256
2015-01-27,1068.6213626819795
2015-01-28,1070.540089028523
2015-01-29,1071.0135148255652
2015-01-30,1066.2670765752991
2015-02-02,1065.936845730451
2015-02-03,1072.810982966707
2015-02-04,1076.1925664691773
2015-02-05,1078.5751499877636
2015-02-06,1080.984389088559
2015-02-09,1069.7903537785155
2015-02-10,1079.0832532451893
2015-02-11,1076.9147539299101
2015-02-12,1085.3115535661764
2015-02-13,1092.2526509035406
2015-02-16,1090.4158770159372
2015-02-17,1091.787428365468
2015-02-18,1102.9459999862274
2015-02-19,1106.852570247091
2015-02-20,1109.4114598620517
2015-02-23,1119.2731237330024
2015-02-24,1123.6069807838671
2015-02-25,1122.9610840844757
2015-02-26,1133.3566667579387
2015-02-27,1138.2157696232848
2015-03-02,1136.1735166505337
2015-03-03,1126.3995222207648
2015-03-04,1132.8651292238098
2015-03-05,1143.6995440917872
2015-03-06,1146.3972014322032
2015-03-09,1143.0234696292569
2015-03-10,1134.7137578199759
2015-03-11,1151.3453851328702
2015-03-12,1152.7123233116192
2015-03-13,1158.8383819051073
2015-03-16,1168.931454774961
2015-03-17,1159.6179627768418
2015-03-18,1163.9613149933443
2015-03-19,1172.3434282274427
2015-03-20,1181.563323036557
2015-03-23,1174.640912046353
2015-03-24,1180.7165703503567
2015-03-25,1167.2343199491743
2015-03-26,1155.58972621009
2015-03-27,1161.0625381838668
2015-03-30,1173.4103568527285
2015-03-31,1168.1543499340141
2015-04-01,1171.1783395643922
2015-04-02,1170.9335897101598
2015-04-03,1170.9335897101598
2015-04-06,1168.9307247115912
2015-04-07,1190.0082384066898
2015-04-08,1194.0165135299708
2015-04-09,1206.0702090518025
2015-04-10,1216.2646174245015
2015-04-13,1218.3683344381773
2015-04-14,1211.9045724813013
2015-04-15,1218.5699362159492
2015-04-16,1210.690877230771
2015-04-17,1189.0657561203034
2015-04-20,1198.9930065723117
2015-04-21,1208.647559326732
2015-04-22,1209.7348877884417
2015-04-23,1204.3007562125044
2015-04-24,1206.6320439644157
2015-04-27,1218.114041844712
2015-04-28,1197.7468401924318
2015-04-29,1172.5618599443847
2015-04-30,1170.9211508503322
2015-05-01,1166.512570484568
2015-05-04,1174.1337098678084
2015-05-05,1156.0628470037234
2015-05-06,1149.0590736125373
2015-05-07,1151.2351216824543
2015-05-08,1182.4705604082465
2015-05-11,1187.1153642133038
2015-05-12,1173.3150687086327
2015-05-13,1173.6675473202226
2015-05-14,1181.9608786386807
2015-05-15,1180.552235053947
2015-05-18,1185.0331601310193
2015-05-19,1205.7289278557973
2015-05-20,1208.0563380720191
2015-05-21,1211.9915969186732
2015-05-22,1211.325947284978
2015-05-25,1207.2616793596237
2015-05-26,1199.9692702569655
2015-05-27,1216.3236205639203
2015-05-28,1210.343729756087
2015-05-29,1190.6396459165453
2015-06-01,1192.834574168154
2015-06-02,1179.5245757939356
2015-06-03,1179.8778348819174
2015-06-04,1171.2009169027524
2015-06-05,1159.8960728507282
2015-06-08,1148.8925779647143
2015-06-09,1145.0240773956425
2015-06-10,1164.7928318129866
2015-06-11,1172.0704186252722
2015-06-12,1160.8836288756943
2015-06-15,1142.3806800534815
2015-06-16,1149.904567271112
2015-06-17,1143.8591832373388
2015-06-18,1145.1254592129694
2015-06-19,1149.011238796004
2015-06-22,1175.8543512314943
2015-06-23,1188.40898210082
2015-06-24,1182.2952103405798
2015-06-25,1180.2292352805857
2015-06-26,1182.3430229831715
2015-06-29,1150.6901339750502
2015-06-30,1138.1745791858775
2015-07-01,1155.6417759029557
2015-07-02,1148.199732500552
2015-07-03,1143.2880873783158
2015-07-06,1129.372890729954
2015-07-07,1111.5822359314086
2015-07-08,1114.149963457269
2015-07-09,1140.5523240391703
2015-07-10,1165.7692319130463
2015-07-13,1188.9167179212293
2015-07-14,1193.5532406453744
2015-07-15,1199.2775578834232
2015-07-16,1216.312450344745
2015-07-17,1216.2967618460805
2015-07-20,1219.891632884049
2015-07-21,1207.057295712623
2015-07-22,1201.6682004190368
2015-07-23,1197.2737296917478
2015-07-24,1187.1572638710234
2015-07-27,1162.410765798972
2015-07-28,1173.8588828892034
2015-07-29,1182.4260515560197
2015-07-30,1187.7405975454728
2015-07-31,1188.0838308886266
2015-08-03,1198.3609437725374
2015-08-04,1197.0159851365745
2015-08-05,1208.8775279051852
2015-08-06,1199.7130160247038
2015-08-07,1188.4477760126579
2015-08-10,1198.0797346628924
2015-08-11,1181.879814173557
2015-08-12,1149.3702847080124
2015-08-13,1162.339971752732
2015-08-14,1160.808921108924
2015-08-17,1163.7372214585612
2015-08-18,1166.9187434216424
2015-08-19,1147.6079822192673
2015-08-20,1124.041401733663
2015-08-21,1088.9788085890852
2015-08-24,1034.2829609861856
2015-08-25,1076.113051768999
2015-08-26,1059.14188589327
2015-08-27,1092.8036760834138
2015-08-28,1095.0188796871532
2015-08-31,1093.3752071870613
2015-09-01,1064.6587553581069
2015-09-02,1068.2238742875782
2015-09-03,1091.900614373246
2015-09-04,1064.7012686695175
2015-09-07,1068.9682801505426
2015-09-08,1081.0226870893143
2015-09-09,1094.9512389869833
2015-09-10,1083.1511828622595
2015-09-11,1071.429025881126
2015-09-14,1063.8287366271159
2015-09-15,1070.816564870313
