Date,ACWI ex JAPAN ESG LEADERS
2007-09-28,1000.0
2007-10-01,1010.0133157991147
2007-10-02,1017.0545569480058
2007-10-03,1015.6290183155791
2007-10-04,1016.5784469534295
2007-10-05,1027.242999031548
2007-10-08,1028.5447959969051
2007-10-09,1034.3042019362056
2007-10-10,1031.459788904293
2007-10-11,1028.578856338087
2007-10-12,1031.8520031400078
2007-10-15,1021.0510222289541
2007-10-16,1014.9631481537709
2007-10-17,1018.7398448210962
2007-10-18,1013.7892919807986
2007-10-19,999.3549845185531
2007-10-22,999.6892331451679
2007-10-23,1007.3779295036187
2007-10-24,1004.9222415545149
2007-10-25,1008.9665043304049
2007-10-26,1015.6584619191735
2007-10-29,1022.8782274150033
2007-10-30,1016.7651508834576
2007-10-31,1025.852480810069
2007-11-01,1009.6998522953548
2007-11-02,1006.5275608375922
2007-11-05,1001.1377553608587
2007-11-06,1006.5152559184264
2007-11-07,985.9034519146929
2007-11-08,976.8204600700524
2007-11-09,961.5491432187277
2007-11-12,957.7616299964847
2007-11-13,970.6313101046364
2007-11-14,969.985349166292
2007-11-15,960.0544855943092
2007-11-16,958.7974538818116
2007-11-19,943.0050489597415
2007-11-20,943.8467201572421
2007-11-21,922.7170258468692
2007-11-22,925.0495028089508
2007-11-23,939.2076716782813
2007-11-26,928.9638942518006
2007-11-27,931.3951121858437
2007-11-28,959.0552633378277
2007-11-29,962.0369044527702
2007-11-30,973.4848452720705
2007-12-03,971.6918362927149
2007-12-04,960.256750315145
2007-12-05,977.6411691748423
2007-12-06,986.521758064922
2007-12-07,987.5404018117611
2007-12-10,990.6104776057135
2007-12-11,978.4544809686207
2007-12-12,982.070908219913
2007-12-13,974.4641680645466
2007-12-14,974.5596237211681
2007-12-17,959.6429430784171
2007-12-18,960.8570957781111
2007-12-19,960.4706137993909
2007-12-20,965.638391026515
2007-12-21,979.7553865480814
2007-12-24,984.518887277793
2007-12-25,984.599440334333
2007-12-26,980.476258418862
2007-12-27,972.5769304860148
2007-12-28,966.828765479161
2007-12-31,966.9399810641831
2008-01-01,966.9225689152152
2008-01-02,949.790168125995
2008-01-03,947.0112592065261
2008-01-04,925.7424147046506
2008-01-07,926.0384667249333
2008-01-08,922.7309720207036
2008-01-09,924.6486438165713
2008-01-10,921.5179994531256
2008-01-11,909.5007296232063
2008-01-14,912.1897085137246
2008-01-15,891.0359113432835
2008-01-16,886.602410649532
2008-01-17,873.7096740245637
2008-01-18,869.6652777081869
2008-01-21,849.6050191897566
2008-01-22,845.5531998686891
2008-01-23,850.1069258219344
2008-01-24,868.4064980668777
2008-01-25,867.4305992982557
2008-01-28,864.6706177666368
2008-01-29,873.3494361796152
2008-01-30,867.2097762043453
2008-01-31,873.3835458002994
2008-02-01,888.4160871212466
2008-02-04,886.6636975445373
2008-02-05,867.4328092939529
2008-02-06,863.5921219304093
2008-02-07,865.3362021600251
2008-02-08,867.636251840506
2008-02-11,866.9221958156904
2008-02-12,877.9868389565178
2008-02-13,884.6281745273244
2008-02-14,879.5974254892197
2008-02-15,870.559477413695
2008-02-18,877.4477816187867
2008-02-19,875.5323504968914
2008-02-20,877.8116069731201
2008-02-21,870.8057331440041
2008-02-22,870.1260663200426
2008-02-25,883.1765748437467
2008-02-26,892.1015284813354
2008-02-27,885.0050715677068
2008-02-28,872.8945261454257
2008-02-29,854.859839569557
2008-03-03,847.3127040663773
2008-03-04,839.4565587245928
2008-03-05,847.313298742864
2008-03-06,832.7265102695403
2008-03-07,823.1573997297105
2008-03-10,810.964513009481
2008-03-11,833.1386471943769
2008-03-12,830.0902306742781
2008-03-13,822.8500286772835
2008-03-14,810.8532978809625
2008-03-17,784.8853251038446
2008-03-18,811.4017101635691
2008-03-19,804.3576371522471
2008-03-20,816.6915994627966
2008-03-21,817.1931260001746
2008-03-24,826.8982191802957
2008-03-25,836.6412656861359
2008-03-26,826.0196763587592
2008-03-27,823.3471117518576
2008-03-28,819.742365614586
2008-03-31,816.1665879194873
2008-04-01,847.1947418687243
2008-04-02,853.0398150162757
2008-04-03,852.7475730272428
2008-04-04,851.2499843802226
2008-04-07,855.9069504721497
2008-04-08,849.8745925411885
2008-04-09,840.3540125599435
2008-04-10,841.9122424357664
2008-04-11,829.4541350383853
2008-04-14,823.1900386724113
2008-04-15,828.7381532000253
2008-04-16,840.1195402887267
2008-04-17,838.7810739123779
2008-04-18,859.6549055149445
2008-04-21,851.8104256232547
2008-04-22,844.2492382105285
2008-04-23,849.210577892048
2008-04-24,857.950280927328
2008-04-25,866.8797541114479
2008-04-28,869.8150196341771
2008-04-29,864.5110238426538
2008-04-30,868.3780878108138
2008-05-01,880.7786688209101
2008-05-02,893.1008645313798
2008-05-05,888.1974472951141
2008-05-06,887.0509455700713
2008-05-07,887.3808105802703
2008-05-08,887.9893278847052
2008-05-09,880.8133491288011
2008-05-12,885.7190961759483
2008-05-13,886.6501937239074
2008-05-14,890.0279936437196
2008-05-15,897.4391072322148
2008-05-16,898.8243555361983
2008-05-19,904.2236556699529
2008-05-20,889.5865463881397
2008-05-21,874.2559356955755
2008-05-22,877.7207600082173
2008-05-23,865.0570457116161
2008-05-26,862.4319618467568
2008-05-27,865.9479670486513
2008-05-28,875.9769792139437
2008-05-29,883.1651524435898
2008-05-30,886.828495450294
2008-06-02,878.9137359613277
2008-06-03,881.2127642768125
2008-06-04,878.4451263774207
2008-06-05,883.0685008636166
2008-06-06,858.1278636151277
2008-06-09,855.3264732462321
2008-06-10,857.1663607475231
2008-06-11,843.1362475015783
2008-06-12,849.2188916126198
2008-06-13,860.0935324352288
2008-06-16,857.2977283322612
2008-06-17,854.7712641023189
2008-06-18,845.030196621999
2008-06-19,844.7587454728093
2008-06-20,825.0618776989525
2008-06-23,829.8190555518416
2008-06-24,820.834820057677
2008-06-25,830.1910939565306
2008-06-26,804.7929502611812
2008-06-27,799.9416249143371
2008-06-30,801.7064610711977
2008-07-01,795.5012367155464
2008-07-02,782.3431089964721
2008-07-03,788.0587068922688
2008-07-04,785.4138156069542
2008-07-07,785.8481395299473
2008-07-08,787.2613675998681
2008-07-09,784.3788152596294
2008-07-10,779.6725563392313
2008-07-11,765.0402768064845
2008-07-14,763.6805354956532
2008-07-15,749.8650353467611
2008-07-16,766.9634828603075
2008-07-17,779.5810092542326
2008-07-18,784.105670499624
2008-07-21,787.1623751714412
2008-07-22,789.1959728705465
2008-07-23,802.4066610723997
2008-07-24,790.0704211567894
2008-07-25,789.3854547764839
2008-07-28,777.0511410873108
2008-07-29,790.3608193210569
2008-07-30,804.187899789621
2008-07-31,798.6980557145971
2008-08-01,793.2635293594824
2008-08-04,785.6369474511001
2008-08-05,804.9374448358108
2008-08-06,813.8961204726717
2008-08-07,807.5527037991136
2008-08-08,829.6736630955845
2008-08-11,837.729320019185
2008-08-12,834.7280017758268
2008-08-13,826.4837446501059
2008-08-14,829.6704097055311
2008-08-15,839.1958242217424
2008-08-18,831.9271232243775
2008-08-19,818.3980987721727
2008-08-20,823.0792179397613
2008-08-21,815.4988087932562
2008-08-22,828.1453209700103
2008-08-25,819.9452640879291
2008-08-26,825.256916033932
2008-08-27,828.4627971303883
2008-08-28,837.8373781019037
2008-08-29,832.8278637588397
2008-09-01,834.1792448551112
2008-09-02,836.7216095782376
2008-09-03,831.3042990598672
2008-09-04,813.6001532909412
2008-09-05,811.2891277411397
2008-09-08,834.5914062422373
2008-09-09,818.4622326923103
2008-09-10,822.5651123374288
2008-09-11,828.8076386150177
2008-09-12,829.2662029365551
2008-09-15,800.1689536064206
2008-09-16,800.1539948251828
2008-09-17,772.6324511734415
2008-09-18,780.1332558511658
2008-09-19,824.2236300915326
2008-09-22,793.7399009227075
2008-09-23,778.2689821922951
2008-09-24,779.1790205076369
2008-09-25,790.0024655888195
2008-09-26,785.2598993834987
2008-09-29,738.7116883956209
2008-09-30,774.7399659637465
2008-10-01,776.9258233713391
2008-10-02,758.3450941728744
2008-10-03,758.0784793354978
2008-10-06,724.8864265432892
2008-10-07,699.2215358389668
2008-10-08,674.6624908597834
2008-10-09,643.8987203811062
2008-10-10,620.0804716421799
2008-10-13,678.9708236565835
2008-10-14,688.1989835760413
2008-10-15,638.9550201467938
2008-10-16,639.2344278335559
2008-10-17,645.6170749994104
2008-10-20,676.1100482944428
2008-10-21,666.3077346896199
2008-10-22,636.6163431438284
2008-10-23,634.6920232253611
2008-10-24,612.4122241518705
2008-10-27,601.0710484873563
2008-10-28,638.2492803531727
2008-10-29,644.1958928074934
2008-10-30,664.1115497849971
2008-10-31,683.5570009375773
2008-11-03,684.3912568570312
2008-11-04,704.2195041184118
2008-11-05,677.3454891857524
2008-11-06,651.6537068068781
2008-11-07,664.325994721518
2008-11-10,661.0308867419031
2008-11-11,649.1757090168887
2008-11-12,624.180392974697
2008-11-13,643.302991201478
2008-11-14,627.1878653922373
2008-11-17,612.6580660540492
2008-11-18,615.2696342394642
2008-11-19,585.7728768958958
2008-11-20,557.2400780609161
2008-11-21,571.1279249470872
2008-11-24,597.3367416036641
2008-11-25,597.6147023376365
2008-11-26,612.1559396847393
2008-11-27,618.5774416470413
2008-11-28,633.0181430043162
2008-12-01,590.3101294264786
2008-12-02,598.5888992019596
2008-12-03,609.4158784233355
2008-12-04,596.0211519116874
2008-12-05,602.2695127876194
2008-12-08,624.9688158275713
2008-12-09,618.9251064897918
2008-12-10,622.7348128735259
2008-12-11,603.5860217818438
2008-12-12,594.807259726943
2008-12-15,583.6083222286204
2008-12-16,599.6234066572761
2008-12-17,582.5059666639596
2008-12-18,573.4634142901492
2008-12-19,588.6282350542083
2008-12-22,577.4454620488922
2008-12-23,573.0969982366222
2008-12-24,573.4113046233872
2008-12-25,573.4139414588827
2008-12-26,572.0986386227935
2008-12-29,568.8106107688504
2008-12-30,583.7304801837092
2008-12-31,597.4312980559616
2009-01-01,597.5226902509687
2009-01-02,612.9135614317375
2009-01-05,627.6448781175142
2009-01-06,644.8855473961124
2009-01-07,622.5671794651249
2009-01-08,618.6067768941062
2009-01-09,616.2991403234032
2009-01-12,607.5479872886335
2009-01-13,609.9462073135096
2009-01-14,589.6232877653831
2009-01-15,589.2062237031926
2009-01-16,589.2456738798923
2009-01-19,587.9712120954779
2009-01-20,570.6086745695608
2009-01-21,582.9737711749841
2009-01-22,573.3992100202747
2009-01-23,578.4889933764291
2009-01-26,575.916641177992
2009-01-27,579.8971475301643
2009-01-28,598.6640188480168
2009-01-29,589.3912589796377
2009-01-30,589.1123989785177
2009-02-02,582.2175215593298
2009-02-03,587.5038426435963
2009-02-04,593.9721105249005
2009-02-05,599.3364990552723
2009-02-06,615.2265668751537
2009-02-09,610.9409290807625
2009-02-10,589.6129223449565
2009-02-11,593.2746934706456
2009-02-12,594.5512144878586
2009-02-13,590.1500702114882
2009-02-16,589.6349188295101
2009-02-17,573.6187406767332
2009-02-18,573.0722423345992
2009-02-19,564.0292489850913
2009-02-20,554.532577401526
2009-02-23,540.3887065265322
2009-02-24,548.6659878974345
2009-02-25,547.4872637449108
2009-02-26,547.4341708881528
2009-02-27,538.3518488724344
2009-03-02,515.3651773581912
2009-03-03,512.0290757894626
2009-03-04,525.429192114681
2009-03-05,506.05734992142396
2009-03-06,500.05105500096795
2009-03-09,494.1821322772023
2009-03-10,518.2262193366947
2009-03-11,521.2682070620298
2009-03-12,533.34491290974
2009-03-13,537.0751166432676
2009-03-16,538.8321273768668
2009-03-17,548.5743375357465
2009-03-18,549.6857365939109
2009-03-19,533.9437178481071
2009-03-20,532.0100867738502
2009-03-23,559.8492458907193
2009-03-24,555.8740982401802
2009-03-25,559.289687708555
2009-03-26,567.311230687101
2009-03-27,565.3297614289567
2009-03-30,549.265927056393
2009-03-31,558.506989800651
2009-04-01,569.2008696518365
2009-04-02,585.4263116060696
2009-04-03,588.533315012128
2009-04-06,585.6617152924689
2009-04-07,579.3676481164512
2009-04-08,584.4278120615998
2009-04-09,605.5526931408644
2009-04-10,605.8203129656724
2009-04-13,603.6765031900916
2009-04-14,603.8429892908754
2009-04-15,609.1208078704004
2009-04-16,618.9182670667539
2009-04-17,628.855404598399
2009-04-20,609.4976937461499
2009-04-21,614.6696734388706
2009-04-22,612.6218774920841
2009-04-23,615.4109987686861
2009-04-24,619.7542845306807
2009-04-27,619.0549414743996
2009-04-28,615.1358184538188
2009-04-29,621.7086839521176
2009-04-30,628.940673144154
2009-05-01,630.6278732741189
2009-05-04,649.0600113665379
2009-05-05,648.5865535287625
2009-05-06,659.5588373953527
2009-05-07,648.8673361125337
2009-05-08,658.9647643253495
2009-05-11,643.9206049165123
2009-05-12,641.8181932049158
2009-05-13,627.4329566625291
2009-05-14,630.9532849533863
2009-05-15,629.7187181955234
2009-05-18,650.9877524778706
2009-05-19,653.1106645066588
2009-05-20,648.2321664031352
2009-05-21,637.1066339675073
2009-05-22,631.0269373558217
2009-05-25,630.8061338121763
2009-05-26,642.1196434172284
2009-05-27,640.7948226854022
