Date,AC PACIFIC ESG LEADERS
2007-09-28,1000.0
2007-10-01,998.9032803651628
2007-10-02,1022.6105187965678
2007-10-03,1025.8011772050113
2007-10-04,1020.3820939160846
2007-10-05,1023.923998637878
2007-10-08,1027.2696487941532
2007-10-09,1032.9574975669088
2007-10-10,1031.7262242823742
2007-10-11,1036.3036295813213
2007-10-12,1030.8527559923696
2007-10-15,1027.7447718707583
2007-10-16,1018.6577789393126
2007-10-17,1008.8873525581025
2007-10-18,1017.6347764451247
2007-10-19,1009.746307339824
2007-10-22,998.2422938769823
2007-10-23,1001.9688729894793
2007-10-24,1004.2749772377483
2007-10-25,998.4961532865487
2007-10-26,1012.4340512793082
2007-10-29,1030.000115493103
2007-10-30,1025.3484213141305
2007-10-31,1026.174707479492
2007-11-01,1037.1498381905217
2007-11-02,1012.8100414194784
2007-11-05,997.5717841017038
2007-11-06,996.3460929150158
2007-11-07,992.6410678312096
2007-11-08,968.4961668574332
2007-11-09,967.492275246631
2007-11-12,951.9064699317823
2007-11-13,946.5134369128865
2007-11-14,963.8940157855874
2007-11-15,962.7146614125576
2007-11-16,945.4928011569845
2007-11-19,941.6786232019282
2007-11-20,937.4828277026418
2007-11-21,917.9045730049581
2007-11-22,912.8940790993684
2007-11-23,919.1145557718371
2007-11-26,938.0314802724953
2007-11-27,936.6339560549916
2007-11-28,935.2000541166923
2007-11-29,958.6969387541875
2007-11-30,968.3370535136349
2007-12-03,971.6984522400548
2007-12-04,965.2120346948973
2007-12-05,972.2427209316647
2007-12-06,986.6327997451124
2007-12-07,985.7671057544418
2007-12-10,977.8331604666485
2007-12-11,988.5984433610116
2007-12-12,976.8996054550577
2007-12-13,962.2655999461945
2007-12-14,955.7564358736922
2007-12-17,937.8561754891788
2007-12-18,935.6267656346076
2007-12-19,931.4944220142002
2007-12-20,934.8016433609098
2007-12-21,943.1544760116535
2007-12-24,944.9976648683776
2007-12-25,955.741793479707
2007-12-26,954.7321264971434
2007-12-27,947.8858666582412
2007-12-28,934.958129667257
2007-12-31,949.7601184504567
2008-01-01,949.7601184504567
2008-01-02,949.0069887452106
2008-01-03,945.8479936795421
2008-01-04,926.4650697303581
2008-01-07,910.6891612441063
2008-01-08,913.387512144986
2008-01-09,925.4962485305748
2008-01-10,910.773784448095
2008-01-11,898.0286721173305
2008-01-14,896.1313390822712
2008-01-15,891.4045270502666
2008-01-16,867.4148085852755
2008-01-17,878.7089073957964
2008-01-18,887.0125036671307
2008-01-21,867.9616748446551
2008-01-22,806.1252822176359
2008-01-23,837.1792185317576
2008-01-24,842.5112609087729
2008-01-25,878.5651836585446
2008-01-28,846.8351088632573
2008-01-29,861.823995686743
2008-01-30,847.6025316103437
2008-01-31,861.5884423183857
2008-02-01,867.2829754419464
2008-02-04,881.0303969257092
2008-02-05,882.5298489400361
2008-02-06,850.3478740857258
2008-02-07,860.2418422064998
2008-02-08,851.6154953971129
2008-02-11,845.8395777848712
2008-02-12,841.3314346042617
2008-02-13,835.3791274535616
2008-02-14,862.6322085359589
2008-02-15,859.2266545542112
2008-02-18,855.3656734870575
2008-02-19,864.9379780265879
2008-02-20,844.7095876839529
2008-02-21,855.5804632185232
2008-02-22,847.8391817930025
2008-02-25,859.5266166508333
2008-02-26,862.3239718026701
2008-02-27,870.191502812077
2008-02-28,862.660820760219
2008-02-29,851.8505570055657
2008-03-03,822.6539450686623
2008-03-04,820.1127938012049
2008-03-05,811.3429534946459
2008-03-06,821.6756943424451
2008-03-07,795.4363378475635
2008-03-10,783.5370618724426
2008-03-11,789.0701779336125
2008-03-12,797.7073660896486
2008-03-13,775.8325231041786
2008-03-14,767.8732033758585
2008-03-17,743.352585837591
2008-03-18,745.4298672531556
