Date,AC ASIA PACIFIC ESG LEADERS
2007-09-28,1000.0
2007-10-01,999.2659968818356
2007-10-02,1022.2975653639866
2007-10-03,1027.0115737974857
2007-10-04,1021.9261974980672
2007-10-05,1025.2704925528271
2007-10-08,1028.1579752831578
2007-10-09,1035.429257598903
2007-10-10,1034.7992323675016
2007-10-11,1038.6331659120656
2007-10-12,1032.7370351210807
2007-10-15,1030.8601036060795
2007-10-16,1022.1703422202775
2007-10-17,1012.2031714792319
2007-10-18,1019.0770199555105
2007-10-19,1010.3662223347636
2007-10-22,999.3200976356876
2007-10-23,1004.7552395995082
2007-10-24,1006.9758053180518
2007-10-25,1001.415620932934
2007-10-26,1015.4701769618462
2007-10-29,1033.739732510384
2007-10-30,1028.9141178269845
2007-10-31,1029.621695802785
2007-11-01,1039.2481021327192
2007-11-02,1016.1515014792826
2007-11-05,1000.7232321070298
2007-11-06,999.1363054324198
2007-11-07,995.4064630385949
2007-11-08,971.9792123054274
2007-11-09,970.67612663679
2007-11-12,955.3734024335397
2007-11-13,950.2617619079176
2007-11-14,969.0780857854324
2007-11-15,967.7860538949678
2007-11-16,951.2904517118019
2007-11-19,947.5952892895189
2007-11-20,942.2561164643553
2007-11-21,922.1967936811973
2007-11-22,917.2358687276882
2007-11-23,924.1678846157874
2007-11-26,942.8657285909129
2007-11-27,941.2027435310121
2007-11-28,939.5529870324225
2007-11-29,962.2334494747801
2007-11-30,972.755495310231
2007-12-03,977.0130455197045
2007-12-04,970.3076466389147
2007-12-05,977.5564154137755
2007-12-06,991.5920148229065
2007-12-07,991.1335640539712
2007-12-10,983.1747324019972
2007-12-11,994.2537234227889
2007-12-12,983.1890638161561
2007-12-13,969.002079730224
2007-12-14,963.4600281726002
2007-12-17,944.5954244043301
2007-12-18,941.9452258644332
2007-12-19,937.7822827130087
2007-12-20,941.6314666868428
2007-12-21,949.5723542026
2007-12-24,953.1522003033645
2007-12-25,963.4720352720832
2007-12-26,963.2170729021834
2007-12-27,956.3426765732304
2007-12-28,943.5746161565638
2007-12-31,957.8654050447997
2008-01-01,957.7884177677512
2008-01-02,957.2900858829563
2008-01-03,954.423876164792
2008-01-04,936.5357177569903
2008-01-07,921.5746775448216
2008-01-08,924.2010175557873
2008-01-09,936.1107007563036
2008-01-10,920.9907189736731
2008-01-11,909.0275305607109
2008-01-14,907.2753405647072
2008-01-15,901.9123378371947
2008-01-16,878.4582114658465
2008-01-17,888.6866881662992
2008-01-18,894.8368713086945
2008-01-21,873.0510455355558
2008-01-22,811.2695648286665
2008-01-23,843.2980014842799
2008-01-24,847.3357426643186
2008-01-25,884.55079602602
2008-01-28,853.2746164207871
2008-01-29,868.286567034099
2008-01-30,853.5429773026844
2008-01-31,866.9113694946279
2008-02-01,873.5967585886253
2008-02-04,887.5738254699194
2008-02-05,889.3667273931462
2008-02-06,857.2044497931616
2008-02-07,865.7582470502488
2008-02-08,857.3445397535854
2008-02-11,849.699667868882
2008-02-12,845.4237773151249
2008-02-13,840.3686693067834
2008-02-14,868.1536563735017
2008-02-15,865.5800302158889
2008-02-18,861.6356208482754
2008-02-19,870.4418440289027
2008-02-20,849.9710655671561
2008-02-21,860.6036116336583
2008-02-22,852.0115648885093
2008-02-25,864.2778243171589
2008-02-26,867.4249153143069
2008-02-27,874.6078644168099
2008-02-28,866.9009361620616
2008-02-29,855.7857243515424
2008-03-03,825.3195672611286
2008-03-04,822.2197719066735
2008-03-05,814.4450693293206
2008-03-06,824.2164927688434
2008-03-07,797.5163565201099
2008-03-10,785.9430844400399
2008-03-11,791.8040082252979
2008-03-12,799.9981378832638
2008-03-13,777.069883703287
2008-03-14,770.307762433172
2008-03-17,744.2691691993821
2008-03-18,746.2226397865012
2008-03-19,770.3990818779838
2008-03-20,776.7972412198496
2008-03-21,786.941044445593
2008-03-24,787.5565393069512
2008-03-25,804.4490716272503
2008-03-26,804.3502354184251
2008-03-27,792.694367130467
2008-03-28,803.2023221670015
2008-03-31,783.998439428282
2008-04-01,791.319992272125
2008-04-02,818.838111360168
2008-04-03,830.0375782067104
2008-04-04,822.4840723069439
