Date,ACWI ex USA ESG LEADERS
2007-09-28,1000.0
2007-10-01,1005.1499970026757
2007-10-02,1015.7851523123784
2007-10-03,1017.964534318443
2007-10-04,1017.5293226909049
2007-10-05,1025.4258958307598
2007-10-08,1024.8056197248015
2007-10-09,1030.46431783999
2007-10-10,1030.0396841736308
2007-10-11,1034.7872614842215
2007-10-12,1032.4196423433193
2007-10-15,1025.1970024997597
2007-10-16,1016.3930750704632
2007-10-17,1018.9185582859425
2007-10-18,1016.8957419275563
2007-10-19,1009.4543329296398
2007-10-22,999.4230769423799
2007-10-23,1008.4168495711411
2007-10-24,1005.448374661374
2007-10-25,1010.8633551816331
2007-10-26,1020.2971380520084
2007-10-29,1032.1281214550445
2007-10-30,1027.5194897927925
2007-10-31,1035.0937703155248
2007-11-01,1029.1020315539827
2007-11-02,1018.7139110908697
2007-11-05,1009.7364696494327
2007-11-06,1012.4708616031295
2007-11-07,1004.4446695685776
2007-11-08,991.0041335342377
2007-11-09,978.4608949971052
2007-11-12,970.5605859539078
2007-11-13,973.1598776568928
2007-11-14,983.5697427031623
2007-11-15,973.7338081333874
2007-11-16,964.5911425810913
2007-11-19,950.5202574890366
2007-11-20,955.2100346339378
2007-11-21,932.518217865503
2007-11-22,936.7140114093884
2007-11-23,947.3919571907101
2007-11-26,949.110004022852
2007-11-27,945.6156770277505
2007-11-28,963.2450884961926
2007-11-29,972.9327491337243
2007-11-30,984.0619361415213
2007-12-03,984.4220606562337
2007-12-04,972.7559714934074
2007-12-05,985.9205316984727
2007-12-06,991.9760828568125
2007-12-07,996.2939826989273
2007-12-10,996.7431836394388
2007-12-11,996.609772788115
2007-12-12,994.7067615653342
2007-12-13,976.2170089396258
2007-12-14,977.5055075940728
2007-12-17,960.2296521371468
2007-12-18,958.2537965986476
2007-12-19,955.8718254630871
2007-12-20,959.4181803997819
2007-12-21,971.4886455673233
2007-12-24,973.934151829219
2007-12-25,977.4476687337212
2007-12-26,976.7640692785243
2007-12-27,975.4679116650656
2007-12-28,969.8340514235733
2007-12-31,974.1513747737661
2008-01-01,974.1251826178878
2008-01-02,965.2348479277836
2008-01-03,962.2330385019163
2008-01-04,943.493141955963
2008-01-07,937.3996994889729
2008-01-08,942.9678940837107
2008-01-09,939.5581917928982
2008-01-10,929.3159374595772
2008-01-11,921.0048126599081
2008-01-14,921.7823714414988
2008-01-15,902.9296758300126
2008-01-16,888.4471995633686
2008-01-17,888.603840233417
2008-01-18,885.7296226150702
2008-01-21,847.0941588664418
2008-01-22,840.4758523219547
2008-01-23,837.8785401077768
2008-01-24,866.068933835769
2008-01-25,879.3308090998189
2008-01-28,862.2535675064054
2008-01-29,876.7057109889373
2008-01-30,868.8300258813141
2008-01-31,872.9917971381943
