Date,AC FAR EAST ex JAPAN ex HK VALUE
2000-12-29,100.0
2001-01-01,100.24856140427593
2001-01-02,100.3211253515203
2001-01-03,99.69216003143408
2001-01-04,103.75941265393604
2001-01-05,106.08997360788022
2001-01-08,106.80277217966513
2001-01-09,109.3983071106417
2001-01-10,107.5698179575492
2001-01-11,105.24119098436766
2001-01-12,106.43468520427584
2001-01-15,108.18518681605559
2001-01-16,109.5551047197169
2001-01-17,110.69819824497363
2001-01-18,109.89165285734843
2001-01-19,112.53788377355231
2001-01-22,114.3458381183368
2001-01-23,113.89505612233839
2001-01-24,115.95007514599833
2001-01-25,116.62761976126171
2001-01-26,114.99802176050541
2001-01-29,115.74850963072046
2001-01-30,115.47309147098298
2001-01-31,117.83720862528878
2001-02-01,116.37978519450515
2001-02-02,118.30712492008803
2001-02-05,114.15743926415692
2001-02-06,114.80655926542899
2001-02-07,113.34413256685902
2001-02-08,116.15754739512981
2001-02-09,116.56368917368671
2001-02-12,116.43345803696604
2001-02-13,118.25273028989531
2001-02-14,118.04318110430475
2001-02-15,120.76281775469802
2001-02-16,118.83327778487033
2001-02-19,116.76438557345487
2001-02-20,120.42027392788958
2001-02-21,118.51857352982208
2001-02-22,117.75534151516403
2001-02-23,118.15862772940235
2001-02-26,118.46231353298988
2001-02-27,116.61400356249146
2001-02-28,116.1362925488873
2001-03-01,112.77379420049463
2001-03-02,110.98396859513676
2001-03-05,112.03778461767166
2001-03-06,112.35978069717065
2001-03-07,112.55559703369003
2001-03-08,112.0011353035533
2001-03-09,111.04038449347414
2001-03-12,107.78017667725857
2001-03-13,107.26060504786318
2001-03-14,107.98514731692636
2001-03-15,108.45191533527405
2001-03-16,109.23587538374899
2001-03-19,107.42443823833585
2001-03-20,106.3075755722919
2001-03-21,106.85586519796622
2001-03-22,107.0784790543382
2001-03-23,107.43154144513701
2001-03-26,108.70298421074524
2001-03-27,107.47282084409733
2001-03-28,107.89035057484085
2001-03-29,107.56540847211136
2001-03-30,107.38496286140338
2001-04-02,105.62557635196045
2001-04-03,103.47741659931657
2001-04-04,99.34948341630293
2001-04-05,100.79974913943305
2001-04-06,101.48917999152879
2001-04-09,98.70253296794625
2001-04-10,100.01264275822369
2001-04-11,102.88534930482135
2001-04-12,102.28402906929632
2001-04-13,102.53814738399984
2001-04-16,102.62290460058506
2001-04-17,102.56226979797216
2001-04-18,106.0133116373461
2001-04-19,105.95141308678069
2001-04-20,103.66139390761319
2001-04-23,104.78729493953864
2001-04-24,105.21924550061729
2001-04-25,104.87652008755852
2001-04-26,104.16361021863732
2001-04-27,105.07954948295944
2001-04-30,106.8207604541371
2001-05-01,106.41133266183748
2001-05-02,107.40765549674674
2001-05-03,107.83232647871509
2001-05-04,106.20988742716563
2001-05-07,106.97472629121395
2001-05-08,106.31941379339548
2001-05-09,106.74514867607246
2001-05-10,106.22809092682658
2001-05-11,108.63227734644553
2001-05-14,107.94342068805302
2001-05-15,107.44382545505512
2001-05-16,105.98826555380575
2001-05-17,108.40617073898783
2001-05-18,108.9158984974069
2001-05-21,109.29716143808871
2001-05-22,110.98146564349138
2001-05-23,114.20810785868663
2001-05-24,115.33618812307904
2001-05-25,114.96217617990807
2001-05-28,113.75984741183456
2001-05-29,115.16952057247002
2001-05-30,114.1068854554132
2001-05-31,114.91031215399804
2001-06-01,114.35318844515555
2001-06-04,114.73140586377865
2001-06-05,115.00307743439666
2001-06-06,115.67904743049712
2001-06-07,114.83691300971454
2001-06-08,116.64365986011614
2001-06-11,117.23472362329845
2001-06-12,116.20108160767802
2001-06-13,115.7539745421803
2001-06-14,113.80155449327002
2001-06-15,113.99510475675055
2001-06-18,112.77267896216387
2001-06-19,112.96577877400476
2001-06-20,113.44770539388372
2001-06-21,113.66205694357427
2001-06-22,113.7555340057336
2001-06-25,112.85775371006847
2001-06-26,111.97256115081647
2001-06-27,112.36271267127579
2001-06-28,112.38436062053374
2001-06-29,114.47634651532508
2001-07-02,113.29023571753945
2001-07-03,113.00730086001258
2001-07-04,112.4893323699406
2001-07-05,113.81287431794806
2001-07-06,112.14674405369124
2001-07-09,110.23711463435515
2001-07-10,109.40393221595701
2001-07-11,106.80995639961645
2001-07-12,108.70131624097134
2001-07-13,106.87772933047373
2001-07-16,105.15586691326091
2001-07-17,104.7819096018678
2001-07-18,101.18232618570462
2001-07-19,101.19704474864913
2001-07-20,100.744457972304
2001-07-23,99.94810918151003
2001-07-24,98.5075794106021
2001-07-25,98.52948707468724
2001-07-26,100.43015608016644
2001-07-27,101.58292234332266
2001-07-30,101.20838526927082
2001-07-31,101.46398575447441
2001-08-01,101.86381195904909
2001-08-02,102.70385234798043
2001-08-03,102.56784931596268
2001-08-06,102.37900992969384
2001-08-07,102.59503882964898
2001-08-08,103.51857168526806
2001-08-09,100.53202625646297
2001-08-10,100.52749117816825
2001-08-13,100.8078286819921
2001-08-14,102.7069309807605
2001-08-15,101.61370614990993
2001-08-16,102.7648554037859
2001-08-17,101.68747991688069
2001-08-20,101.06105199847624
2001-08-21,101.40007868119544
2001-08-22,100.66812401393585
2001-08-23,100.9560472430308
2001-08-24,100.51324447474738
2001-08-27,102.35825697297552
2001-08-28,101.56470558920604
2001-08-29,101.88532976964161
2001-08-30,101.7289186513922
2001-08-31,101.11789308078806
2001-09-03,100.76842403285477
2001-09-04,103.43990129012052
2001-09-05,103.31803827466844
2001-09-06,102.51824981722122
2001-09-07,100.65884740859639
2001-09-10,100.24067260773077
2001-09-11,98.35789085879438
2001-09-12,93.91207255690021
2001-09-13,92.60591397788274
2001-09-14,87.88897798969106
2001-09-17,84.6335839102618
2001-09-18,84.85894349742733
2001-09-19,85.76740161397309
2001-09-20,84.78366394094485
2001-09-21,83.081251394894
2001-09-24,84.14035031108205
2001-09-25,82.32479759736299
2001-09-26,83.16496585697023
2001-09-27,83.80923916179299
2001-09-28,86.16521001697228
2001-10-01,85.42103371697485
