Date,ZHONG HUA VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.18822353318095
2001-01-03,96.33024092474074
2001-01-04,101.46509027911229
2001-01-05,103.5700877572025
2001-01-08,105.03482842243905
2001-01-09,104.86061428936668
2001-01-10,104.41787566793185
2001-01-11,99.99442044595398
2001-01-12,101.9092903392098
2001-01-15,102.38968175058754
2001-01-16,102.15122755391603
2001-01-17,102.01321788477725
2001-01-18,102.17529450741532
2001-01-19,105.70500772165991
2001-01-22,106.72659218064659
2001-01-23,105.26532010541817
2001-01-24,107.13667953222685
2001-01-25,107.45173885967543
2001-01-26,107.24057910842669
2001-01-29,106.60245682985287
2001-01-30,104.45829486826507
2001-01-31,105.67860674321341
2001-02-01,105.32305409421251
2001-02-02,104.99232319350718
2001-02-05,102.88616501066991
2001-02-06,104.51540447216277
2001-02-07,104.71978364768414
2001-02-08,105.13470694201398
2001-02-09,105.09786865075544
2001-02-12,104.72976610164933
2001-02-13,107.4548178372345
2001-02-14,108.25020303037755
2001-02-15,109.51262921172386
2001-02-16,107.2378784205508
2001-02-19,108.18347829313355
2001-02-20,110.3155561738885
2001-02-21,109.67839193601476
2001-02-22,109.84525393796004
2001-02-23,111.49467420968564
2001-02-26,113.70344074853722
2001-02-27,112.88489002913275
2001-02-28,111.49239122707677
2001-03-01,106.15030011981192
2001-03-02,104.3887763412303
2001-03-05,107.24130656451952
2001-03-06,109.74695463620188
2001-03-07,108.7886881577943
2001-03-08,108.05846869021948
2001-03-09,106.29524153822851
2001-03-12,102.05498229066183
2001-03-13,100.46964321857232
2001-03-14,100.24818694538799
2001-03-15,103.29222232215236
2001-03-16,104.12600019829449
2001-03-19,105.23957858191844
2001-03-20,102.67366505048514
2001-03-21,101.26226353530501
2001-03-22,99.54601967417206
2001-03-23,99.65287727532555
2001-03-26,102.17504573340095
2001-03-27,100.28213869924592
2001-03-28,101.51426806322405
2001-03-29,101.80210292114101
2001-03-30,102.96861795510215
2001-04-02,102.49945079024941
2001-04-03,101.1753459136502
2001-04-04,96.03024403009037
2001-04-05,96.71313366583668
2001-04-06,95.91535238729188
2001-04-09,93.41064166373044
2001-04-10,94.26692457587137
2001-04-11,97.08661815874706
2001-04-12,97.99969514529515
2001-04-13,98.00052361018008
2001-04-16,99.03006753490358
2001-04-17,96.95190324716788
2001-04-18,100.04204094452427
2001-04-19,101.23589734922186
2001-04-20,99.63876675820244
2001-04-23,99.61976590813289
2001-04-24,99.57316314218134
2001-04-25,99.0196599922014
2001-04-26,99.07851859573177
2001-04-27,100.77918940210157
2001-04-30,101.47585044517037
2001-05-01,100.94200905337338
2001-05-02,103.35271560856584
2001-05-03,102.6827398858076
2001-05-04,100.82162001960222
2001-05-07,102.56458812356841
