Date,AC ASIA PACIFIC ex JAPAN VALUE
2000-12-29,100.0
2001-01-01,100.19132720771577
2001-01-02,100.32483103682245
2001-01-03,99.94993487187905
2001-01-04,103.42013811277373
2001-01-05,105.02939905936445
2001-01-08,104.76604758239296
2001-01-09,105.94627432716214
2001-01-10,104.79330770556838
2001-01-11,102.52888469062364
2001-01-12,103.49129932480196
2001-01-15,104.3348774161937
2001-01-16,105.10745694878248
2001-01-17,106.05007284096142
2001-01-18,105.68858201105536
2001-01-19,108.40133264749005
2001-01-22,109.47672418532957
2001-01-23,108.52671849872398
2001-01-24,110.06599128570572
2001-01-25,110.91642454222897
2001-01-26,109.95567012183984
2001-01-29,110.07732529989855
2001-01-30,109.92613671215526
2001-01-31,111.28871220598748
2001-02-01,110.49432360088791
2001-02-02,111.68026262064744
2001-02-05,108.78542958555458
2001-02-06,109.8724855301202
2001-02-07,108.74826875670725
2001-02-08,110.6298080818833
2001-02-09,110.37334052066956
2001-02-12,110.29199086781264
2001-02-13,111.93384022484527
2001-02-14,111.95705963372194
2001-02-15,113.81741431815652
2001-02-16,111.94018161566214
2001-02-19,110.68399523182352
2001-02-20,112.93642755546757
2001-02-21,112.02176762560069
2001-02-22,111.45600853808445
2001-02-23,111.34549273481242
2001-02-26,112.08815444036692
2001-02-27,110.65779171329771
2001-02-28,110.7382098808232
2001-03-01,108.44864086522641
2001-03-02,106.82581441358889
2001-03-05,107.45384580433823
2001-03-06,107.49621186564231
2001-03-07,107.52901578719286
2001-03-08,106.8255909481173
2001-03-09,105.74454570506495
2001-03-12,103.12587807350499
2001-03-13,101.46910999962068
2001-03-14,102.14424120157017
2001-03-15,103.03243751548541
2001-03-16,103.7113532021572
2001-03-19,103.02866262316014
2001-03-20,101.88027913857803
2001-03-21,101.75090622434361
2001-03-22,101.36598768884191
2001-03-23,100.83308263662363
2001-03-26,102.27785200847629
2001-03-27,101.4276280385918
2001-03-28,102.38158422757284
2001-03-29,102.30198077611686
2001-03-30,101.4508602354147
2001-04-02,100.47181430854779
2001-04-03,99.12358895252477
2001-04-04,96.02228108769748
2001-04-05,97.21134528030939
2001-04-06,97.64810411605347
2001-04-09,95.40023500128162
2001-04-10,96.50192973982293
2001-04-11,99.11727752989782
2001-04-12,98.75591480875126
2001-04-13,98.88145085502777
2001-04-16,99.70869000421337
2001-04-17,99.2647556864925
2001-04-18,101.46831714140515
2001-04-19,102.90026039345207
2001-04-20,101.28877129377486
