Date,WORLD ex EUROPE
1969-12-31,100.0
1970-01-30,93.19016001
1970-02-27,97.89546914
1970-03-31,97.94031649
1970-04-30,88.24657173
1970-05-29,82.4404373
1970-06-30,79.60464061
1970-07-31,84.87438253
1970-08-31,88.31585775
1970-09-30,91.73025385
1970-10-30,90.12842138
1970-11-30,94.09814809999999
1970-12-31,99.49560426000001
1971-01-29,104.16888886
1971-02-26,105.49966312000001
1971-03-31,110.45811387
1971-04-30,113.80558424
1971-05-31,109.55642874
1971-06-30,110.72829553
1971-07-30,107.21114839
1971-08-31,110.26325352
1971-09-30,109.53625012
1971-10-29,105.24349939
1971-11-30,105.60644745
1971-12-31,115.76299311
1972-01-31,119.31590353
1972-02-29,123.39989414
1972-03-31,124.6621478
1972-04-28,126.13020922
1972-05-31,128.81660764
1972-06-30,126.74668859
1972-07-31,127.57507004
1972-08-31,131.92872091
1972-09-29,131.40252709
1972-10-31,132.81727249
1972-11-30,140.60001539
1972-12-29,143.92825733
1973-01-31,144.17993869
1973-02-28,143.08618204
1973-03-30,142.33907394
1973-04-30,133.14049758000002
1973-05-31,132.12904225
1973-06-29,131.8154152
1973-07-31,137.94759756
1973-08-31,132.23330335
1973-09-28,136.35027392
1973-10-31,137.1210231
1973-11-30,120.19446509999999
1973-12-31,120.02921028
1974-01-31,121.27237034000001
1974-02-28,122.63649422
1974-03-29,120.07696528
1974-04-30,116.15793298
1974-05-31,112.73356873
1974-06-28,109.82686255
1974-07-31,101.89360115000001
1974-08-30,92.25624281
1974-09-30,83.75309296
1974-10-31,93.10744527
1974-11-29,91.2219776
1974-12-31,89.08739593
1975-01-31,99.75963219
1975-02-28,107.18423766000001
1975-03-31,109.37083644
1975-04-30,112.8421047
1975-05-30,116.99280569999999
1975-06-30,121.36761557
1975-07-31,114.04524483
1975-08-29,111.01837045
1975-09-30,106.61821695
1975-10-31,113.58388889999999
1975-11-28,116.73288595
1975-12-31,116.06901392
1976-01-30,128.17174336
1976-02-27,127.70487506
1976-03-31,130.69319954
1976-04-30,129.92009694
1976-05-31,128.85343606
1976-06-30,133.98886811
1976-07-30,133.04592457
1976-08-31,133.39337895
1976-09-30,135.71414447
1976-10-29,132.23438223
1976-11-30,130.22903278
1976-12-31,139.64318562
1977-01-31,133.54728913
1977-02-28,132.48652848
1977-03-31,131.17002411
1977-04-29,131.67529185
1977-05-31,129.63422644
1977-06-30,135.42628345
1977-07-29,133.66934837
1977-08-31,132.65843183
1977-09-30,133.14466351000002
1977-10-31,129.18463849
1977-11-30,131.98611146
1977-12-30,133.24366798
1978-01-31,128.14655336
1978-02-28,126.93448041
1978-03-31,133.11942173
1978-04-28,141.67167898
1978-05-31,142.93984144
1978-06-30,144.47932874
1978-07-31,154.70886622
1978-08-31,157.69438853
1978-09-29,158.05929364
1978-10-31,151.58302899
1978-11-30,149.01469658
1978-12-29,152.99408266
1979-01-31,157.98674502
1979-02-28,153.02865609
1979-03-30,158.26904365000001
1979-04-30,157.19700501
1979-05-31,156.3371871
1979-06-29,160.82831821
1979-07-31,161.61356028
1979-08-31,168.65571069
1979-09-28,170.79597704
1979-10-31,159.02060748
1979-11-30,163.30586551
1979-12-31,169.05423559
1980-01-31,179.83715952
1980-02-29,179.21930896
1980-03-31,162.04127767
1980-04-30,170.80138031
1980-05-30,180.48808882
1980-06-30,187.77238067
1980-07-31,194.50329154
1980-08-29,198.97844624
1980-09-30,205.80350104000001
1980-10-31,211.41070615
1980-11-28,223.79180047
1980-12-31,220.10382577000001
1981-01-30,214.28418943
1981-02-27,215.62878287
1981-03-31,224.2437929
1981-04-30,224.98242815
1981-05-29,224.15074434000002
1981-06-30,224.92577952
1981-07-31,221.65322531
1981-08-31,214.89713905
1981-09-30,199.67880856
1981-10-30,205.37737309
1981-11-30,218.35109845
1981-12-31,214.34847648000002
1982-01-29,209.65886828
1982-02-26,195.80362786
1982-03-31,189.23011969
1982-04-30,199.40707606
1982-05-31,193.12295207
1982-06-30,186.18007174000002
1982-07-30,182.18940843000001
1982-08-31,198.52552229999998
1982-09-30,198.55726479
1982-10-29,214.91324932
1982-11-30,228.11675641
1982-12-31,237.99438257
1983-01-31,244.05473766
1983-02-28,248.19984262
1983-03-31,256.06719806
1983-04-29,273.71932815
1983-05-31,271.02268863
1983-06-30,280.30794952
1983-07-29,275.01052319
1983-08-31,278.07734787
1983-09-30,283.82823432
