Date,WORLD ex CANADA
1969-12-31,100.0
1970-01-30,94.047893
1970-02-27,96.917138
1970-03-31,97.180852
1970-04-30,88.215264
1970-05-29,82.812477
1970-06-30,80.454206
1970-07-31,85.398415
1970-08-31,88.157654
1970-09-30,90.848314
1970-10-30,89.503907
1970-11-30,91.385862
1970-12-31,96.034799
1971-01-29,100.518487
1971-02-26,101.650172
1971-03-31,106.106052
1971-04-30,109.790143
1971-05-31,107.211627
1971-06-30,108.398511
1971-07-30,106.559773
1971-08-31,108.800865
1971-09-30,107.762967
1971-10-29,103.723922
1971-11-30,104.655545
1971-12-31,113.964655
1972-01-31,118.085542
1972-02-29,122.641332
1972-03-31,124.410145
1972-04-28,126.108191
1972-05-31,128.48864
1972-06-30,125.262832
1972-07-31,127.305459
1972-08-31,130.696011
1972-09-29,128.651197
1972-10-31,129.888911
1972-11-30,136.739286
1972-12-29,139.106101
1973-01-31,139.448435
1973-02-28,140.58252
1973-03-30,140.773195
1973-04-30,133.63615
1973-05-31,133.447869
1973-06-29,134.205944
1973-07-31,137.23157
1973-08-31,131.30168
1973-09-28,135.07551
1973-10-31,136.095611
1973-11-30,118.264471
1973-12-31,117.289248
1974-01-31,118.039164
1974-02-28,119.729554
1974-03-29,116.683646
1974-04-30,115.106504
1974-05-31,110.71314
1974-06-28,107.251016
1974-07-31,100.492622
1974-08-30,90.803527
1974-09-30,82.376741
1974-10-31,90.198091
1974-11-29,89.162671
1974-12-31,87.575602
1975-01-31,100.300324
1975-02-28,109.484258
1975-03-31,110.480604
1975-04-30,115.195859
1975-05-30,117.933784
1975-06-30,119.352097
1975-07-31,112.494503
1975-08-29,110.71485
1975-09-30,106.110001
1975-10-31,113.998811
1975-11-28,116.855126
1975-12-31,117.142132
1976-01-30,127.510405
1976-02-27,126.220419
1976-03-31,127.85262
1976-04-30,126.774261
1976-05-31,124.521585
1976-06-30,128.576161
1976-07-30,127.398525
1976-08-31,127.146269
1976-09-30,128.329191
1976-10-29,123.845064
1976-11-30,124.01825
1976-12-31,133.042161
1977-01-31,128.554082
1977-02-28,128.007899
1977-03-31,127.13431
1977-04-29,128.699172
1977-05-31,126.972667
1977-06-30,131.730124
1977-07-29,129.912806
1977-08-31,130.628312
1977-09-30,132.292335
1977-10-31,130.291112
1977-11-30,131.708923
1977-12-30,134.127542
1978-01-31,130.406979
1978-02-28,129.378551
1978-03-31,135.231977
1978-04-28,141.433817
1978-05-31,142.981069
1978-06-30,144.482598
1978-07-31,154.981636
1978-08-31,158.550779
1978-09-29,160.234061
1978-10-31,157.266211
1978-11-30,151.168879
1978-12-29,156.118364
1979-01-31,160.120593
1979-02-28,156.832712
1979-03-30,162.947554
1979-04-30,162.500037
1979-05-31,159.361583
1979-06-29,163.657012
1979-07-31,165.301886
1979-08-31,171.45803
1979-09-28,174.941937
1979-10-31,162.164521
1979-11-30,166.670365
1979-12-31,170.775944
1980-01-31,180.304013
1980-02-29,179.066129
1980-03-31,161.018481
1980-04-30,171.837097
1980-05-30,179.935588
1980-06-30,188.28337
1980-07-31,193.926214
1980-08-29,197.714865
1980-09-30,204.023969
1980-10-31,210.578822
1980-11-28,219.369839
1980-12-31,214.951526
1981-01-30,208.454713
1981-02-27,209.291701
1981-03-31,216.289657
1981-04-30,216.595235
1981-05-29,211.744073
1981-06-30,211.330126
1981-07-31,208.238816
1981-08-31,203.890185
1981-09-30,189.226414
1981-10-30,195.459528
1981-11-30,209.475792
1981-12-31,205.251763
1982-01-29,202.850008
1982-02-26,190.661393
1982-03-31,185.654234
1982-04-30,195.114593
1982-05-31,190.127727
1982-06-30,182.106699
1982-07-30,179.276847
1982-08-31,191.586355
1982-09-30,192.565347
1982-10-29,205.434213
1982-11-30,216.59491
1982-12-31,225.888035
1983-01-31,230.57872
1983-02-28,235.226845
1983-03-31,243.562444
1983-04-29,260.565336
1983-05-31,257.576249
1983-06-30,265.74076
1983-07-29,260.675865
1983-08-31,262.040238
1983-09-30,267.384493
1983-10-31,264.786115
1983-11-30,270.865548
1983-12-30,274.451912
1984-01-31,277.400278
1984-02-29,272.7068
1984-03-30,286.420703
1984-04-30,285.597871
1984-05-31,263.780666
1984-06-29,266.319915
1984-07-31,256.851001
1984-08-31,282.102796
1984-09-28,281.05023
1984-10-31,284.350211
1984-11-30,283.17744
1984-12-31,288.864632
1985-01-31,304.663571
1985-02-28,305.764161
1985-03-29,316.41705
1985-04-30,315.365761
1985-05-31,331.75951
1985-06-28,337.920534
1985-07-31,344.444066
1985-08-30,347.455895
1985-09-30,350.96323
1985-10-31,370.247236
1985-11-29,390.728384
1985-12-31,409.544345
1986-01-31,416.343912
1986-02-28,454.838697
1986-03-31,499.289801
1986-04-30,513.033506
1986-05-30,511.189935
1986-06-30,532.484815
1986-07-31,537.42499
1986-08-29,584.900214
1986-09-30,561.033569
1986-10-31,550.666954
1986-11-28,574.303673
1986-12-31,585.642691
1987-01-30,653.907884
1987-02-27,675.029228
1987-03-31,716.061319
1987-04-30,759.656552
1987-05-29,760.670975
1987-06-30,759.430098
1987-07-31,773.098743
1987-08-31,819.915221
1987-09-30,805.386084
1987-10-30,669.546473
1987-11-30,653.076521
1987-12-31,680.648874
1988-01-29,697.725766
1988-02-29,737.876343
1988-03-31,759.670813
1988-04-29,768.978873
1988-05-31,753.735078
1988-06-30,750.809855
1988-07-29,765.524934
1988-08-31,723.204394
1988-09-30,754.092158
1988-10-31,804.748595
1988-11-30,833.370141
1988-12-30,840.279235
1989-01-31,869.473859
1989-02-28,864.37376
1989-03-31,858.215065
1989-04-28,877.71049
1989-05-31,855.241036
1989-06-30,844.568277
1989-07-31,940.640976
1989-08-31,916.59258
1989-09-29,943.428405
1989-10-31,910.832858
1989-11-30,947.743523
1989-12-29,978.287163
1990-01-31,933.594928
1990-02-28,892.195683
1990-03-30,836.3417
1990-04-30,825.519408
1990-05-31,912.907112
1990-06-29,906.050066
1990-07-31,913.75502
1990-08-31,826.893661
1990-09-28,737.982753
1990-10-31,809.380981
1990-11-30,794.856062
1990-12-31,810.714446
1991-01-31,840.92887
1991-02-28,919.083948
1991-03-29,891.024045
1991-04-30,897.635331
1991-05-31,917.365971
1991-06-28,859.489153
1991-07-31,900.586506
1991-08-30,897.062998
1991-09-30,921.658155
1991-10-31,935.604951
1991-11-29,894.051077
1991-12-31,960.633465
1992-01-31,941.737395
1992-02-28,924.961606
1992-03-31,881.3098500000001
1992-04-30,893.958039
1992-05-29,930.081791
1992-06-30,897.734327
1992-07-31,899.241406
1992-08-31,921.967462
1992-09-30,914.847643
1992-10-30,888.6366200000001
1992-11-30,905.714268
1992-12-31,912.3491389999999
1993-01-29,915.6324159999999
1993-02-26,936.3364039999999
1993-03-31,991.0711319999999
1993-04-30,1036.9915859999999
1993-05-31,1060.8256629999998
1993-06-30,1051.618753
1993-07-30,1073.701536
1993-08-31,1123.60211
1993-09-30,1103.334244
1993-10-29,1131.9080062603482
1993-11-30,1066.740101618737
1993-12-31,1118.749438853138
1994-01-31,1192.349846945929
1994-02-28,1177.7099873238337
1994-03-31,1126.6794967486028
1994-04-29,1162.379626462306
1994-05-31,1164.8506501869558
1994-06-30,1163.0093287238908
1994-07-29,1184.1718533753021
1994-08-31,1218.86852724212
1994-09-30,1185.2262972350316
1994-10-31,1219.8197455637842
1994-11-30,1166.9780794974508
1994-12-30,1177.807133939317
1995-01-31,1160.8118916610306
1995-02-28,1176.414890764882
1995-03-31,1232.9821709570099
1995-04-28,1276.1548046993646
1995-05-31,1285.8321139229774
1995-06-30,1284.6208398092765
1995-07-31,1349.583250160069
1995-08-31,1318.5157103493382
1995-09-29,1357.6628575379136
1995-10-31,1335.7642912527403
1995-11-30,1381.7719272075535
1995-12-29,1422.4961651238696
1996-01-31,1446.8597492433053
1996-02-29,1455.8683679475716
1996-03-29,1479.6903078755447
1996-04-30,1513.575888814252
1996-05-31,1514.0469591445185
1996-06-28,1522.5459155190922
1996-07-31,1468.263070626325
1996-08-30,1483.722878524358
1996-09-30,1541.485030467304
1996-10-31,1549.3223753149377
1996-11-29,1635.1688345524594
1996-12-31,1609.485452803103
1997-01-31,1626.991293582927
1997-02-28,1646.263761742052
1997-03-31,1614.7459163564017
1997-04-30,1667.6038454028974
