Date,NORTH AMERICA
1969-12-31,100.0
1970-01-30,93.555738
1970-02-27,98.581283
1970-03-31,99.154641
1970-04-30,90.433713
1970-05-29,85.092558
1970-06-30,82.188946
1970-07-31,88.154078
1970-08-31,91.674566
1970-09-30,94.915443
1970-10-30,94.116156
1970-11-30,99.061395
1970-12-31,104.416184
1971-01-29,109.006465
1971-02-26,110.046183
1971-03-31,114.43415
1971-04-30,118.337253
1971-05-31,113.876029
1971-06-30,114.513671
1971-07-30,110.789338
1971-08-31,115.219412
1971-09-30,113.776728
1971-10-29,109.569228
1971-11-30,110.029911
1971-12-31,117.149816
1972-01-31,119.714343
1972-02-29,123.056406
1972-03-31,124.849346
1972-04-28,125.058147
1972-05-31,125.356739
1972-06-30,123.476309
1972-07-31,122.874576
1972-08-31,127.533956
1972-09-29,127.802973
1972-10-31,129.178328
1972-11-30,134.084305
1972-12-29,136.511875
1973-01-31,133.732649
1973-02-28,127.958565
1973-03-30,126.627547
1973-04-30,121.873218
1973-05-31,119.777821
1973-06-29,120.124785
1973-07-31,124.809992
1973-08-31,120.914227
1973-09-28,125.122797
1973-10-31,126.137775
1973-11-30,113.141627
1973-12-31,114.932088
1974-01-31,113.607167
1974-02-28,113.964681
1974-03-29,111.230352
1974-04-30,106.80453
1974-05-31,103.097089
1974-06-28,101.304
1974-07-31,94.191032
1974-08-30,85.885186
1974-09-30,76.308544
1974-10-31,88.859982
1974-11-29,84.61297
1974-12-31,83.250975
1975-01-31,93.575357
1975-02-28,98.919132
1975-03-31,100.814772
1975-04-30,104.790488
1975-05-30,109.170286
1975-06-30,113.98574
1975-07-31,107.233342
1975-08-29,105.012962
1975-09-30,101.468474
1975-10-31,107.364138
1975-11-28,110.802889
1975-12-31,109.610014
1976-01-30,121.996086
1976-02-27,121.302922
1976-03-31,125.500219
1976-04-30,124.363371
1976-05-31,123.012941
1976-06-30,127.677473
1976-07-30,126.818265
1976-08-31,126.488781
1976-09-30,127.69377
1976-10-29,124.165778
1976-11-30,123.140952
1976-12-31,130.507486
1977-01-31,123.943756
