Date,MSCI Pacific ex Japan Health Care Index
1997-01-31,165.42109385240423
1997-02-28,170.31190428173383
1997-03-31,160.55081187460192
1997-04-30,171.0824046816963
1997-05-30,192.00207978157792
1997-06-30,176.59731297450284
1997-07-31,184.03238887847652
1997-08-29,157.14283174487304
1997-09-30,168.82520795725566
1997-10-31,119.28886746326376
1997-11-28,116.92340864833099
1997-12-31,113.76058970745879
1998-01-30,93.867777158801
1998-02-27,114.1891755895349
1998-03-31,114.21535624934508
1998-04-30,109.78150423363675
1998-05-29,98.7441846136847
1998-06-30,96.24834310125978
1998-07-31,95.21092237799517
1998-08-31,70.50579841138831
1998-09-30,74.91531845418494
1998-10-30,96.12817831767724
1998-11-30,102.20986269287339
1998-12-31,100.0
1999-01-29,110.882374
1999-02-26,113.752663
1999-03-31,112.77009
1999-04-30,116.405792
1999-05-31,113.128243
1999-06-30,123.899705
1999-07-30,122.066227
1999-08-31,139.742495
1999-09-30,131.370326
1999-10-29,134.136631
1999-11-30,146.705264
1999-12-31,155.841445
2000-01-31,150.118326
2000-02-29,148.683772
2000-03-31,138.8798656836271
2000-04-28,135.6817435690504
2000-05-31,137.14772097412128
2000-06-30,177.7449074867955
2000-07-31,176.88909132810033
2000-08-31,182.16249920023571
2000-09-29,165.04432697346778
2000-10-31,159.21508462775242
2000-11-30,167.82204165942508
2000-12-29,192.77715239251572
2001-01-01,192.77715239251572
2001-01-02,194.63591700152472
2001-01-03,196.6652340680716
2001-01-04,198.86850582421073
2001-01-05,201.13754746202096
2001-01-08,196.55280993677317
2001-01-09,192.64449894909316
2001-01-10,188.76640902027887
2001-01-11,184.62564117042697
2001-01-12,182.27282076486625
2001-01-15,174.05078030068202
2001-01-16,171.40626172182877
2001-01-17,174.66628843422944
2001-01-18,182.17470415309637
2001-01-19,184.37210564921224
2001-01-22,180.73812822701473
2001-01-23,178.5395635969533
2001-01-24,172.91442376343477
2001-01-25,172.0279394393717
2001-01-26,171.26059687890762
2001-01-29,171.02381874181427
2001-01-30,169.0600303926477
2001-01-31,171.69508346162587
2001-02-01,172.3247862897431
2001-02-02,170.73199185344797
2001-02-05,170.05552465179522
2001-02-06,172.255291790234
2001-02-07,172.66070941875213
2001-02-08,175.50660261867938
2001-02-09,172.1962235935592
2001-02-12,174.40165231064321
2001-02-13,173.09145010513842
