Date,PACIFIC
1969-12-31,100.0
1970-01-30,98.145039
1970-02-27,98.800802
1970-03-31,101.302417
1970-04-30,89.900544
1970-05-29,86.499156
1970-06-30,91.021571
1970-07-31,92.347399
1970-08-31,91.65889
1970-09-30,91.005372
1970-10-30,88.906451
1970-11-30,86.137628
1970-12-31,87.248334
1971-01-29,90.091806
1971-02-26,92.062029
1971-03-31,98.528927
1971-04-30,101.388305
1971-05-31,100.80132
1971-06-30,108.786934
1971-07-30,108.131587
1971-08-31,103.758297
1971-09-30,104.262722
1971-10-29,101.462642
1971-11-30,104.180566
1971-12-31,120.052977
1972-01-31,125.952697
1972-02-29,137.272459
1972-03-31,144.372741
1972-04-28,150.124328
1972-05-31,161.165761
1972-06-30,167.335565
1972-07-31,177.42053
1972-08-31,180.122548
1972-09-29,185.980563
1972-10-31,196.058326
1972-11-30,225.08748
1972-12-29,247.798225
1973-01-31,256.337741
1973-02-28,288.859405
1973-03-30,282.017389
1973-04-30,242.210766
1973-05-31,251.490203
1973-06-29,251.937271
1973-07-31,265.429565
1973-08-31,248.207741
1973-09-28,235.761606
1973-10-31,238.688486
1973-11-30,206.904292
1973-12-31,194.954278
1974-01-31,198.56975
1974-02-28,205.519313
1974-03-29,204.776873
1974-04-30,204.625005
1974-05-31,209.199501
1974-06-28,201.293697
1974-07-31,179.238232
1974-08-30,160.39773
1974-09-30,154.769278
1974-10-31,147.534509
1974-11-29,159.275048
1974-12-31,153.079806
1975-01-31,166.37052
1975-02-28,188.422067
1975-03-31,192.688955
1975-04-30,193.620467
1975-05-30,194.444382
1975-06-30,194.989558
1975-07-31,185.438864
1975-08-29,177.638265
1975-09-30,169.966094
1975-10-31,185.892933
1975-11-28,189.052865
1975-12-31,192.675251
1976-01-30,205.596373
1976-02-27,207.794517
1976-03-31,207.214541
1976-04-30,208.333823
1976-05-31,208.680063
1976-06-30,217.76625
1976-07-30,216.787977
1976-08-31,223.2435
1976-09-30,221.791331
1976-10-29,210.029411
1976-11-30,203.337735
1976-12-31,232.989603
1977-01-31,227.155644
1977-02-28,235.670352
1977-03-31,234.549489
1977-04-29,238.458517
1977-05-31,237.8687
1977-06-30,245.861808
1977-07-29,241.680254
