Date,EUROPE & MIDDLE EAST
2010-05-26,1000.0
2010-05-27,1033.2864268719018
2010-05-28,1035.7297666881052
2010-05-31,1034.6068918841056
2010-06-01,1037.6174369102616
2010-06-02,1031.656066714422
2010-06-03,1046.663495299597
2010-06-04,1014.5579677175664
2010-06-07,998.0845539021079
2010-06-08,988.7191880656815
2010-06-09,1015.9825785692135
2010-06-10,1035.7332390455788
2010-06-11,1038.8187063355692
2010-06-14,1067.4935456136768
2010-06-15,1077.3768431747167
2010-06-16,1079.4253761779476
2010-06-17,1084.633961861969
2010-06-18,1088.8819375817088
2010-06-21,1100.541784199225
2010-06-22,1086.279492643712
2010-06-23,1072.2050409716644
2010-06-24,1059.118856926074
2010-06-25,1050.9546709352926
2010-06-28,1067.2616926378164
2010-06-29,1022.7571706944871
2010-06-30,1026.8353866651232
2010-07-01,1018.0757681629199
2010-07-02,1029.5581461787094
2010-07-05,1021.5524955338808
2010-07-06,1057.022219800064
2010-07-07,1069.8504293496148
2010-07-08,1084.9249196241283
2010-07-09,1087.5812006296164
2010-07-12,1088.4974636129518
2010-07-13,1116.5824685842458
2010-07-14,1121.7414750035286
2010-07-15,1123.2769509055267
2010-07-16,1106.9421325416668
2010-07-19,1099.681493374327
2010-07-20,1093.6250649006818
2010-07-21,1100.6537431630995
2010-07-22,1130.968707829662
2010-07-23,1129.7906941542728
2010-07-26,1144.3956245460406
2010-07-27,1153.2958087275094
2010-07-28,1152.0451496127648
2010-07-29,1153.610829897662
2010-07-30,1144.657568625038
2010-08-02,1189.3420151615005
2010-08-03,1192.7512756554743
2010-08-04,1187.2498812047982
2010-08-05,1184.537107767778
2010-08-06,1184.1519850484588
2010-08-09,1196.4172303469131
2010-08-10,1172.2029311160748
2010-08-11,1133.255905210248
2010-08-12,1130.03400943403
2010-08-13,1125.388541114883
2010-08-16,1133.035884304059
2010-08-17,1147.812753325774
2010-08-18,1142.9655448347767
2010-08-19,1127.2694180906683
2010-08-20,1104.3196826195988
2010-08-23,1108.9758083576412
2010-08-24,1092.5687049059518
2010-08-25,1079.5326763880519
2010-08-26,1098.3822323143895
2010-08-27,1103.5692412117496
2010-08-30,1100.7908691756845
2010-08-31,1103.3922939215668
2010-09-01,1143.2222619419574
2010-09-02,1143.627455854652
2010-09-03,1156.4878387130263
2010-09-06,1160.5156306142414
2010-09-07,1141.8240105708064
2010-09-08,1155.2403045703554
2010-09-09,1166.559438738919
2010-09-10,1163.6725226271108
2010-09-13,1184.565798153515
2010-09-14,1193.966418168188
2010-09-15,1195.0555556381973
2010-09-16,1192.3508600497385
2010-09-17,1184.1893150661351
2010-09-20,1203.6204238084686
2010-09-21,1202.4711819283254
2010-09-22,1210.5282542105745
2010-09-23,1203.052989853311
2010-09-24,1229.1386361942302
2010-09-27,1223.1855759034338
2010-09-28,1227.1870979880327
2010-09-29,1225.7663359639846
2010-09-30,1224.477745949153
2010-10-01,1230.1339229420191
2010-10-04,1217.6504330547152
2010-10-05,1247.9775517292162
2010-10-06,1258.5773296032437
2010-10-07,1262.2314328377008
2010-10-08,1261.208094137936
2010-10-11,1262.2660033290524
