Date,EUROPE ex SWITZERLAND
1969-12-31,100.0
1970-01-30,99.21414837
1970-02-27,96.05844239999999
1970-03-31,97.33483217
1970-04-30,90.27654705
1970-05-29,85.32504383
1970-06-30,86.3500936
1970-07-31,90.48320447
1970-08-31,90.9873221
1970-09-30,92.21760112
1970-10-30,91.76268461000001
1970-11-30,87.52359038
1970-12-31,89.51695211
1971-01-29,93.11041787
1971-02-26,93.36399572
1971-03-31,96.32561904
1971-04-30,100.36733973
1971-05-31,103.47093192
1971-06-30,104.12346269
1971-07-30,108.95837364
1971-08-31,108.74965864
1971-09-30,106.680064
1971-10-29,103.36171842
1971-11-30,105.74223623
1971-12-31,113.09056333000001
1972-01-31,119.63854531
1972-02-29,126.16256593
1972-03-31,129.67448199999998
1972-04-28,132.28997379999998
1972-05-31,134.1080417
1972-06-30,127.50966446
1972-07-31,134.06197363
1972-08-31,134.69990964000002
1972-09-29,126.34399441000001
1972-10-31,126.16383913
1972-11-30,130.01758195
1972-12-29,128.54060074
1973-01-31,128.80610768
1973-02-28,137.68084548000002
1973-03-30,141.96052125
1973-04-30,143.13863715
1973-05-31,144.47146874
1973-06-29,149.90266474
1973-07-31,142.04794483
1973-08-31,136.06994246
1973-09-28,138.68515882
1973-10-31,142.39712348
1973-11-30,120.79391385
1973-12-31,116.93012376
1974-01-31,116.51391377
1974-02-28,120.47719775
1974-03-29,114.93685012
1974-04-30,120.22482784
1974-05-31,111.28289734
1974-06-28,104.99711418
1974-07-31,103.52754951
1974-08-30,92.99659829000001
1974-09-30,83.91741591
1974-10-31,87.35736431000001
1974-11-29,87.36586823
1974-12-31,88.00460671
1975-01-31,108.60791833
1975-02-28,123.45050193
1975-03-31,119.50615114
1975-04-30,128.25527201
1975-05-30,126.22867838
1975-06-30,117.50930769
1975-07-31,113.23419815
1975-08-29,116.37724179
1975-09-30,110.92207409
1975-10-31,119.16610912
1975-11-28,122.04457011000001
1975-12-31,124.40738104
1976-01-30,129.89019528
1976-02-27,127.17210009
1976-03-31,123.40320313000001
1976-04-30,121.87062739999999
1976-05-31,115.56780869
1976-06-30,115.04938298
1976-07-30,112.7343344
1976-08-31,110.11873207000001
1976-09-30,106.88515676
1976-10-29,98.54948742
1976-11-30,103.36981296
1976-12-31,112.5887278
1977-01-31,113.61719429
1977-02-28,115.10947263
1977-03-31,115.96077129
1977-04-29,120.58481508
1977-05-31,120.09454775
1977-06-30,121.39389875
1977-07-29,119.08205683
1977-08-31,124.54364645
1977-09-30,129.64033322
1977-10-31,132.7553308
1977-11-30,129.76760236
1977-12-30,136.47569955
1978-01-31,135.31906147
1978-02-28,134.59770561
1978-03-31,140.07706659000002
1978-04-28,139.12646865
1978-05-31,142.38053033
1978-06-30,142.88388549
1978-07-31,154.10276673
1978-08-31,158.92797922
1978-09-29,165.77620121
1978-10-31,174.11733219
1978-11-30,159.40589109
1978-12-29,166.55594491
1979-01-31,166.07962927
1979-02-28,169.81875878
1979-03-30,181.59176696
1979-04-30,184.56649152
1979-05-31,175.06488159
1979-06-29,179.93148821
1979-07-31,182.74530841
1979-08-31,188.31111182
1979-09-28,197.01769322
1979-10-31,179.37256638
1979-11-30,187.07490642
1979-12-31,187.28024916
1980-01-31,197.57581609000002
1980-02-29,201.78260012
1980-03-31,173.22433743
1980-04-30,189.88695394
1980-05-30,195.24859608
1980-06-30,209.29518039
1980-07-31,212.60311905
1980-08-29,214.35532302000001
1980-09-30,218.21117557
1980-10-31,227.23699059999998
