Date,EAFE + CANADA
1969-12-31,100.0
1970-01-30,99.373887
1970-02-27,98.023252
1970-03-31,99.42718
1970-04-30,90.604403
1970-05-29,85.391118
1970-06-30,87.574369
1970-07-31,91.436423
1970-08-31,92.3334
1970-09-30,93.757568
1970-10-30,92.819366
1970-11-30,89.984808
1970-12-31,91.907545
1971-01-29,95.467463
1971-02-26,96.100772
1971-03-31,100.202578
1971-04-30,103.346622
1971-05-31,104.453098
1971-06-30,106.3657
1971-07-30,110.126341
1971-08-31,109.268069
1971-09-30,107.643733
1971-10-29,103.928777
1971-11-30,106.755783
1971-12-31,116.520329
1972-01-31,123.032702
1972-02-29,130.485028
1972-03-31,134.14011299999999
1972-04-28,136.915486
1972-05-31,141.665027
1972-06-30,138.666615
1972-07-31,144.949322
1972-08-31,147.552142
1972-09-29,143.179196
1972-10-31,143.987589
1972-11-30,153.017212
1972-12-29,158.16142
1973-01-31,160.479623
1973-02-28,171.778956
1973-03-30,172.692981
1973-04-30,163.145673
1973-05-31,165.893789
1973-06-29,169.819152
1973-07-31,168.741209
1973-08-31,160.873061
1973-09-28,160.336835
1973-10-31,164.524793
1973-11-30,141.530565
1973-12-31,136.112019
1974-01-31,137.359169
1974-02-28,141.923015
1974-03-29,138.206738
1974-04-30,139.978241
1974-05-31,133.729115
1974-06-28,127.761856
1974-07-31,122.18514
1974-08-30,109.581946
1974-09-30,101.12944
1974-10-31,103.104992
1974-11-29,104.60304
1974-12-31,103.642544
1975-01-31,121.763052
1975-02-28,136.228601
1975-03-31,134.404262
1975-04-30,140.198207
1975-05-30,139.433287
1975-06-30,134.815973
1975-07-31,129.659207
1975-08-29,129.246136
1975-09-30,123.218611
1975-10-31,131.975017
1975-11-28,135.741925
1975-12-31,137.781953
1976-01-30,145.704667
1976-02-27,145.400536
1976-03-31,142.901997
1976-04-30,142.483577
1976-05-31,139.063328
1976-06-30,140.921125
1976-07-30,139.124214
1976-08-31,138.961568
1976-09-30,136.532328
1976-10-29,128.129341
1976-11-30,127.614445
1976-12-31,142.192059
1977-01-31,140.907296
1977-02-28,143.487073
1977-03-31,143.895365
1977-04-29,147.266488
1977-05-31,146.364976
1977-06-30,149.790662
1977-07-29,147.582448
1977-08-31,152.803116
1977-09-30,156.906434
1977-10-31,159.472315
1977-11-30,158.83278
1977-12-30,164.907995
1978-01-31,165.730826
1978-02-28,167.345111
1978-03-31,179.070232
1978-04-28,177.987051
1978-05-31,181.979746
1978-06-30,189.327093
1978-07-31,205.22946
1978-08-31,209.253143
1978-09-29,215.434212
1978-10-31,226.052392
1978-11-30,207.149863
1978-12-29,216.926079
1979-01-31,218.358751
1979-02-28,217.692572
1979-03-30,223.712936
1979-04-30,223.243579
1979-05-31,219.318353
1979-06-29,224.049972
1979-07-31,225.272662
1979-08-31,232.046931
1979-09-28,242.482141
1979-10-31,222.390983
1979-11-30,226.531074
1979-12-31,234.644484
1980-01-31,247.922198
1980-02-29,250.166376
1980-03-31,220.015054
1980-04-30,239.155107
1980-05-30,250.967056
1980-06-30,266.926212
1980-07-31,266.587857
1980-08-29,275.005836
1980-09-30,283.09008
1980-10-31,292.639273
1980-11-28,288.14501
1980-12-31,287.473943
1981-01-30,283.376826
1981-02-27,279.117253
1981-03-31,290.007371
