Date,EUROPE ex UK
1969-12-31,100.0
1970-01-30,99.03555
1970-02-27,97.557321
1970-03-31,97.966206
1970-04-30,92.775475
1970-05-29,87.617019
1970-06-30,86.634915
1970-07-31,91.391136
1970-08-31,92.702047
1970-09-30,90.701458
1970-10-30,90.040714
1970-11-30,87.374674
1970-12-31,87.028276
1971-01-29,93.298956
1971-02-26,94.951143
1971-03-31,94.67692
1971-04-30,93.794286
1971-05-31,95.640806
1971-06-30,95.716326
1971-07-30,98.262806
1971-08-31,96.854972
1971-09-30,93.133277
1971-10-29,89.383714
1971-11-30,91.901583
1971-12-31,97.286751
1972-01-31,103.443979
1972-02-29,108.396385
1972-03-31,113.738576
1972-04-28,114.700995
1972-05-31,120.158221
1972-06-30,118.03707
1972-07-31,123.868689
1972-08-31,124.650988
1972-09-29,121.958437
1972-10-31,121.796242
1972-11-30,121.495713
1972-12-29,121.09519
1973-01-31,127.531985
1973-02-28,140.918744
1973-03-30,147.259959
1973-04-30,147.481586
1973-05-31,148.209164
1973-06-29,157.673076
1973-07-31,151.007467
1973-08-31,145.670667
1973-09-28,149.165127
1973-10-31,152.351958
1973-11-30,129.098841
1973-12-31,126.539505
1974-01-31,128.959993
1974-02-28,130.439211
1974-03-29,133.381796
1974-04-30,136.938811
1974-05-31,127.796331
1974-06-28,123.623345
1974-07-31,124.943238
1974-08-30,114.087969
1974-09-30,103.802089
1974-10-31,108.610895
1974-11-29,114.463951
1974-12-31,114.788434
1975-01-31,131.770171
1975-02-28,142.774705
1975-03-31,141.404368
1975-04-30,146.989342
1975-05-30,141.618619
1975-06-30,138.466424
1975-07-31,133.624804
1975-08-29,130.918566
1975-09-30,122.412952
1975-10-31,133.484025
1975-11-28,139.695345
1975-12-31,141.181124
1976-01-30,143.937429
1976-02-27,142.014493
1976-03-31,140.446124
1976-04-30,137.982509
1976-05-31,135.260548
1976-06-30,134.798058
1976-07-30,133.165248
1976-08-31,131.928248
1976-09-30,132.837399
1976-10-29,125.707721
1976-11-30,129.01946
1976-12-31,134.335324
1977-01-31,130.613024
1977-02-28,130.978397
1977-03-31,130.501763
1977-04-29,135.522189
1977-05-31,132.587089
1977-06-30,133.0895
1977-07-29,131.128704
1977-08-31,132.201427
1977-09-30,134.930993
1977-10-31,139.070557
1977-11-30,139.710613
1977-12-30,146.276216
1978-01-31,148.193186
1978-02-28,152.045905
1978-03-31,157.925395
1978-04-28,154.595762
1978-05-31,157.078298
1978-06-30,159.710203
1978-07-31,169.734552
1978-08-31,176.295785
1978-09-29,186.020497
1978-10-31,196.539262
1978-11-30,175.65164
1978-12-29,186.150721
1979-01-31,187.953978
1979-02-28,185.639638
1979-03-30,188.460222
1979-04-30,186.987053
1979-05-31,179.919973
1979-06-29,187.807548
1979-07-31,191.261409
1979-08-31,197.57201
1979-09-28,211.198084
1979-10-31,193.77715
1979-11-30,201.498726
1979-12-31,202.362401
1980-01-31,206.14448
1980-02-29,203.251765
1980-03-31,172.853978
1980-04-30,192.483793
1980-05-30,199.494967
1980-06-30,207.210106
1980-07-31,207.714576
1980-08-29,207.254631
1980-09-30,208.816451
1980-10-31,208.570108
1980-11-28,206.755072
1980-12-31,198.984371
1981-01-30,186.442857
1981-02-27,187.912293
1981-03-31,192.22447
1981-04-30,185.231792
1981-05-29,170.342295
1981-06-30,168.520165
1981-07-31,164.646197
1981-08-31,167.352428
1981-09-30,162.257292
1981-10-30,166.885784
1981-11-30,179.413185
1981-12-31,174.383143
1982-01-29,172.751384
1982-02-26,170.424851
1982-03-31,167.465741
1982-04-30,173.262416
1982-05-31,168.764429
1982-06-30,152.789741
1982-07-30,154.144329
1982-08-31,153.823545
1982-09-30,154.139443
1982-10-29,155.234327
1982-11-30,163.812765
1982-12-31,176.877657
1983-01-31,179.509873
1983-02-28,190.933702
1983-03-31,205.451843
1983-04-29,214.188891
1983-05-31,205.82998
1983-06-30,211.122325
1983-07-29,211.867188
1983-08-31,205.394619
1983-09-30,211.9268
1983-10-31,214.363531
1983-11-30,218.473145
1983-12-30,221.090277
1984-01-31,230.215153
1984-02-29,235.681014
1984-03-30,238.926289
1984-04-30,234.328373
1984-05-31,222.574563
1984-06-29,220.789892
1984-07-31,205.30785
1984-08-31,220.287334
1984-09-28,217.379588
1984-10-31,218.98223
1984-11-30,214.765159
1984-12-31,215.320175
1985-01-31,229.1692
1985-02-28,221.463318
1985-03-29,240.059584
1985-04-30,247.659439
1985-05-31,260.814611
1985-06-28,272.950892
1985-07-31,292.785222
1985-08-30,307.29303
1985-09-30,324.101353
1985-10-31,360.771437
1985-11-29,389.091971
1985-12-31,427.938993
1986-01-31,440.665804
1986-02-28,492.871
1986-03-31,531.042
1986-04-30,590.658
1986-05-30,536.387546
1986-06-30,549.054169
1986-07-31,568.659019
1986-08-29,646.145293
1986-09-30,611.420382
1986-10-31,611.124115
1986-11-28,648.730099
1986-12-31,656.985941
1987-01-30,664.335204
1987-02-27,658.472471
1987-03-31,690.645626
1987-04-30,706.456192
1987-05-29,675.654175
1987-06-30,692.200236
1987-07-31,721.654852
1987-08-31,741.711412
1987-09-30,725.160149
1987-10-30,599.97348
1987-11-30,573.929678
1987-12-31,583.359153
1988-01-29,545.316011
1988-02-29,602.805411
1988-03-31,611.259768
1988-04-29,619.097926
1988-05-31,611.940533
1988-06-30,615.357098
1988-07-29,613.632804
1988-08-31,594.86677
1988-09-30,629.261656
1988-10-31,692.94068
1988-11-30,702.085994
1988-12-30,715.896542
1989-01-31,708.923822
1989-02-28,707.784668
1989-03-31,713.32639
1989-04-28,739.50522
1989-05-31,710.136369
1989-06-30,753.488779
1989-07-31,827.888372
1989-08-31,822.913624
1989-09-29,848.03756
1989-10-31,806.543724
1989-11-30,852.228745
1989-12-29,947.002531
1990-01-31,939.739798
1990-02-28,918.909427
1990-03-30,953.142127
1990-04-30,945.917928
1990-05-31,992.657929
1990-06-29,1014.99766
1990-07-31,1057.246744
1990-08-31,926.395989
1990-09-28,801.909793
1990-10-31,871.197554
1990-11-30,856.817408
1990-12-31,840.559664
1991-01-31,866.553886
1991-02-28,945.911485
1991-03-29,873.66837
1991-04-30,865.902277
1991-05-31,904.276836
1991-06-28,828.545263
1991-07-31,861.132723
1991-08-30,872.4805
1991-09-30,893.918873
1991-10-31,877.767763
1991-11-29,871.434022
1991-12-31,935.2698614999999
1992-01-31,940.8970346
1992-02-28,953.7145989999999
1992-03-31,933.4207134999999
1992-04-30,947.8842485
1992-05-29,1001.7295105
1992-06-30,996.1282887
1992-07-31,961.6911233
1992-08-31,958.002445
1992-09-30,943.0242096
1992-10-30,883.3926064999999
1992-11-30,875.4949524
1992-12-31,884.6132058999999
1993-01-29,899.983027
1993-02-26,931.138479
1993-03-31,966.6630739999999
1993-04-30,983.4010979999999
1993-05-31,996.174222
1993-06-30,978.936648
1993-07-30,986.166709
1993-08-31,1083.356634
1993-09-30,1085.3606869999999
1993-10-29,1132.1130220102493
1993-11-30,1090.5546186757492
1993-12-31,1172.6195947469705
1994-01-31,1236.5974106849662
1994-02-28,1203.1219690212959
1994-03-31,1195.9265563485967
1994-04-29,1248.7108003888234
1994-05-31,1202.1463485186703
1994-06-30,1180.7638133748055
1994-07-29,1241.7950036656769
1994-08-31,1264.4942630082874
1994-09-30,1218.8226266448298
1994-10-31,1262.3428371942787
1994-11-30,1217.5132618750997
1994-12-30,1227.4065539844012
1995-01-31,1222.6177829699247
1995-02-28,1261.2111292612572
1995-03-31,1300.989738842952
1995-04-28,1355.1483427325009
1995-05-31,1380.9158748836512
1995-06-30,1399.9330201855335
1995-07-31,1470.1614519688428
1995-08-31,1401.9182201423973
1995-09-29,1444.1415419066886
1995-10-31,1434.5889829839948
1995-11-30,1445.563255711998
1995-12-29,1495.1835978726758
1996-01-31,1511.1359699110121
1996-02-29,1546.362173401339
1996-03-29,1578.2859349749067
1996-04-30,1580.3274700418028
1996-05-31,1589.468668360506
1996-06-28,1620.0592098612972
1996-07-31,1584.7275012023445
1996-08-30,1614.7527585933178
1996-09-30,1647.035136535683
1996-10-31,1665.4578093420096
1996-11-29,1744.4479260529558
1996-12-31,1764.8710021971328
1997-01-31,1798.6583307113463
1997-02-28,1806.6348002078696
1997-03-31,1884.4937201351274
1997-04-30,1853.9828856532542
1997-05-30,1930.3864223382259
1997-06-30,2061.637938620985
1997-07-31,2158.281977609741
1997-08-29,1993.5899184131652
1997-09-30,2197.0927788851636
1997-10-31,2076.9345252996523
1997-11-28,2119.4900884237886
1997-12-31,2195.6971245082314
1998-01-30,2279.8428700911136
1998-02-27,2467.5804952369326
1998-03-31,2664.179473751122
1998-04-30,2736.391138632561
1998-05-29,2859.6562247951565
1998-06-30,2885.4811283648664
1998-07-31,2991.849669618244
1998-08-31,2550.8863266996054
1998-09-30,2426.9311727021122
1998-10-30,2642.3079832401913
1998-11-30,2792.55371396001
1998-12-31,2928.7236909697667
1999-01-29,2913.061307869166
1999-02-26,2780.803096396339
1999-03-31,2785.9259558712033
1999-04-30,2856.8492513978213
1999-05-31,2729.7377790448336
1999-06-30,2793.9252671513827
1999-07-30,2812.2593530829517
1999-08-31,2859.518211257042
1999-09-30,2848.6086554366802
1999-10-29,2963.2931109664355
1999-11-30,3062.786885042819
1999-12-31,3436.7639902877486
2000-01-31,3220.355961119486
2000-02-29,3493.910708121468
2000-03-31,3509.4480162997556
2000-04-28,3350.7820239031475
2000-05-31,3360.579671628456
2000-06-30,3449.9521178337295
2000-07-31,3362.927930320412
2000-08-31,3291.5965816607436
2000-09-29,3109.686017683096
2000-10-31,3065.4543218229833
2000-11-30,2974.381856595141
2000-12-29,3179.998887447742
2001-01-01,3179.998887447742
2001-01-02,3168.5330187083346
2001-01-03,3131.0980947735925
2001-01-04,3190.0987099272197
2001-01-05,3196.1132068140855
2001-01-08,3175.517238283631
2001-01-09,3117.3907665440693
2001-01-10,3099.7715569398347
2001-01-11,3173.338766300889
2001-01-12,3201.5334895798496
2001-01-15,3185.2534269157304
2001-01-16,3145.1323640173914
