Date,PACIFIC ex JAPAN
1969-12-31,100.0
1970-01-30,97.693
1970-02-27,97.429752
1970-03-31,97.366375
1970-04-30,87.857667
1970-05-29,82.861937
1970-06-30,92.130559
1970-07-31,95.339123
1970-08-31,95.116252
1970-09-30,95.087391
1970-10-30,87.629643
1970-11-30,84.54817
1970-12-31,86.375017
1971-01-29,85.764579
1971-02-26,83.863553
1971-03-31,87.743749
1971-04-30,86.224965
1971-05-31,85.972713
1971-06-30,89.711586
1971-07-30,87.139874
1971-08-31,88.146502
1971-09-30,83.667038
1971-10-29,83.645445
1971-11-30,78.475433
1971-12-31,94.926563
1972-01-31,93.181244
1972-02-29,101.283419
1972-03-31,106.517673
1972-04-28,107.611587
1972-05-31,112.63134
1972-06-30,116.485749
1972-07-31,116.098641
1972-08-31,114.836384
1972-09-29,114.373191
1972-10-31,127.864682
1972-11-30,136.602495
1972-12-29,157.305015
1973-01-31,172.168435
1973-02-28,217.777678
1973-03-30,196.72719
1973-04-30,150.377433
1973-05-31,162.944482
1973-06-29,154.563711
1973-07-31,158.925507
1973-08-31,138.326058
1973-09-28,133.468821
1973-10-31,144.368569
1973-11-30,127.394601
1973-12-31,118.857064
1974-01-31,130.545222
1974-02-28,133.620921
1974-03-29,124.002708
1974-04-30,116.828616
1974-05-31,113.148028
1974-06-28,107.681509
1974-07-31,91.070937
1974-08-30,83.641378
1974-09-30,63.09084
1974-10-31,74.398601
1974-11-29,71.705859
1974-12-31,69.609066
1975-01-31,89.547524
1975-02-28,96.158334
1975-03-31,97.334841
1975-04-30,98.853032
1975-05-30,103.467652
1975-06-30,100.022572
1975-07-31,96.194865
1975-08-29,93.176306
1975-09-30,97.532462
1975-10-31,101.222268
1975-11-28,106.660171
1975-12-31,112.21797
1976-01-30,122.221086
1976-02-27,125.29754
1976-03-31,123.830483
1976-04-30,124.033429
1976-05-31,122.43394
1976-06-30,124.71601
1976-07-30,131.235138
1976-08-31,132.578759
1976-09-30,125.782305
1976-10-29,118.817133
1976-11-30,105.155268
1976-12-31,117.467787
1977-01-31,117.186068
1977-02-28,114.34155
1977-03-31,116.555407
1977-04-29,117.54963
1977-05-31,119.414422
1977-06-30,120.187014
1977-07-29,115.223292
1977-08-31,113.218709
1977-09-30,111.765908
1977-10-31,116.109897
1977-11-30,114.96621
1977-12-30,120.026995
1978-01-31,116.56412
1978-02-28,113.541827
1978-03-31,121.84693
1978-04-28,127.137797
1978-05-31,132.377034
1978-06-30,142.983542
1978-07-31,151.15018
1978-08-31,168.376878
1978-09-29,165.034265
1978-10-31,167.43908
1978-11-30,142.098851
1978-12-29,147.196176
1979-01-31,157.526379
1979-02-28,156.91289
1979-03-30,159.392328
1979-04-30,156.78881
1979-05-31,162.271642
1979-06-29,157.940872
1979-07-31,166.320137
1979-08-31,177.872642
1979-09-28,196.086086
1979-10-31,191.655039
1979-11-30,196.273445
1979-12-31,221.661173
1980-01-31,253.483465
1980-02-29,258.174775
1980-03-31,213.840689
1980-04-30,234.033373
1980-05-30,258.977964
1980-06-30,286.560568
1980-07-31,298.054032
1980-08-29,315.562729
1980-09-30,321.481019
1980-10-31,362.278281
1980-11-28,353.725611
1980-12-31,354.979162
1981-01-30,347.289275
1981-02-27,336.448748
1981-03-31,343.27391
1981-04-30,349.010297
1981-05-29,364.015915
1981-06-30,368.837975
1981-07-31,332.100842
1981-08-31,313.722427
1981-09-30,267.471366
1981-10-30,264.940259
1981-11-30,302.907188
1981-12-31,297.506259
1982-01-29,279.795026
1982-02-26,249.001344
1982-03-31,233.504555
