Date,EUROPE
1969-12-31,100.0
1970-01-30,99.13
1970-02-27,96.046
1970-03-31,97.256
1970-04-30,90.097
1970-05-29,85.279
1970-06-30,86.276
1970-07-31,90.365
1970-08-31,91.033
1970-09-30,92.012
1970-10-30,91.525
1970-11-30,87.321
1970-12-31,89.356
1971-01-29,93.149
1971-02-26,93.415
1971-03-31,96.474
1971-04-30,100.456
1971-05-31,103.218
1971-06-30,104.068
1971-07-30,108.764
1971-08-31,108.629
1971-09-30,106.468
1971-10-29,102.911
1971-11-30,105.704
1971-12-31,112.882
1972-01-31,119.575
1972-02-29,126.07
1972-03-31,129.56900000000002
1972-04-28,132.024
1972-05-31,134.246
1972-06-30,127.472
1972-07-31,134.139
1972-08-31,134.976
1972-09-29,127.025
1972-10-31,126.778
1972-11-30,130.181
1972-12-29,129.133
1973-01-31,129.7
1973-02-28,138.715
1973-03-30,142.595
1973-04-30,143.33
1973-05-31,145.388
1973-06-29,150.955
1973-07-31,142.888
1973-08-31,136.833
1973-09-28,139.723
1973-10-31,143.384
1973-11-30,121.678
1973-12-31,117.805
1974-01-31,117.62
1974-02-28,121.24
1974-03-29,116.304
1974-04-30,121.299
1974-05-31,111.878
1974-06-28,106.099
1974-07-31,104.939
1974-08-30,94.119
1974-09-30,84.967
1974-10-31,88.703
1974-11-29,88.814
1974-12-31,89.45
1975-01-31,110.456
1975-02-28,124.979
1975-03-31,121.054
1975-04-30,129.738
1975-05-30,127.718
1975-06-30,119.557
1975-07-31,115.023
1975-08-29,117.487
1975-09-30,111.706
1975-10-31,120.701
1975-11-28,123.862
1975-12-31,126.529
1976-01-30,132.042
1976-02-27,129.456
1976-03-31,126.001
1976-04-30,124.483
1976-05-31,118.74
1976-06-30,118.491
1976-07-30,116.345
1976-08-31,113.914
1976-09-30,110.878
1976-10-29,102.731
1976-11-30,107.312
1976-12-31,116.657
1977-01-31,117.472
1977-02-28,118.553
1977-03-31,119.457
1977-04-29,123.884
1977-05-31,123.05
1977-06-30,124.608
1977-07-29,122.739
1977-08-31,128.267
1977-09-30,133.803
1977-10-31,137.204
1977-11-30,134.931
