Date,EASEA INDEX (EAFE ex JAPAN)
1969-12-31,100.0
1970-01-30,98.89985
1970-02-27,95.967087
1970-03-31,96.974589
1970-04-30,89.508123
1970-05-29,84.632296
1970-06-30,86.466277
1970-07-31,90.443199
1970-08-31,90.988037
1970-09-30,91.888579
1970-10-30,90.697922
1970-11-30,86.51225
1970-12-31,88.469382
1971-01-29,91.745693
1971-02-26,91.843372
1971-03-31,95.016567
1971-04-30,98.341564
1971-05-31,100.623884
1971-06-30,101.434797
1971-07-30,106.511707
1971-08-31,106.070624
1971-09-30,103.354292
1971-10-29,100.15807
1971-11-30,102.570515
1971-12-31,110.645426
1972-01-31,116.417201
1972-02-29,123.242428
1972-03-31,126.642896
1972-04-28,128.693829
1972-05-31,131.096089
1972-06-30,125.199935
1972-07-31,130.708857
1972-08-31,131.524978
1972-09-29,123.999924
1972-10-31,124.316565
1972-11-30,127.712207
1972-12-29,128.889436
1973-01-31,131.012399
1973-02-28,141.618011
1973-03-30,142.640657
1973-04-30,138.22454
1973-05-31,141.365055
1973-06-29,145.137409
1973-07-31,138.742707
1973-08-31,131.339907
1973-09-28,133.241951
1973-10-31,137.540696
1973-11-30,117.261211
1973-12-31,113.05009
1974-01-31,114.183283
1974-02-28,117.602612
1974-03-29,112.362782
1974-04-30,115.845046
1974-05-31,107.431721
1974-06-28,101.919809
1974-07-31,99.071422
1974-08-30,89.066894
1974-09-30,79.089571
1974-10-31,83.475027
1974-11-29,83.281482
1974-12-31,83.591424
1975-01-31,103.690963
1975-02-28,116.604452
1975-03-31,113.415839
1975-04-30,120.91275
1975-05-30,119.714696
1975-06-30,112.421253
1975-07-31,108.181849
1975-08-29,109.920475
1975-09-30,105.601264
1975-10-31,113.64656
1975-11-28,116.932754
1975-12-31,119.805567
1976-01-30,125.568012
1976-02-27,123.704881
1976-03-31,120.611999
1976-04-30,119.343135
1976-05-31,114.289817
1976-06-30,114.327503
1976-07-30,113.214065
1976-08-31,111.290007
1976-09-30,107.955674
1976-10-29,100.27805
1976-11-30,102.613523
1976-12-31,111.904697
1977-01-31,112.565969
1977-02-28,113.160695
1977-03-31,114.178473
1977-04-29,118.030076
1977-05-31,117.536792
1977-06-30,118.938475
1977-07-29,116.793673
1977-08-31,121.233031
1977-09-30,125.749592
1977-10-31,129.115482
1977-11-30,127.062778
1977-12-30,133.779748
1978-01-31,133.227755
1978-02-28,132.614585
1978-03-31,137.700209
1978-04-28,136.446875
1978-05-31,140.047839
1978-06-30,141.842509
1978-07-31,152.361547
1978-08-31,159.012523
1978-09-29,164.368349
1978-10-31,171.485394
1978-11-30,155.256738
1978-12-29,162.846753
1979-01-31,164.663343
1979-02-28,167.448936
1979-03-30,177.062818
1979-04-30,178.898345
1979-05-31,171.407854
1979-06-29,175.363122
1979-07-31,178.641146
1979-08-31,184.749793
