Date,WORLD ex UK
1969-12-31,100.0
1970-01-30,93.985662
1970-02-27,97.794782
1970-03-31,97.891007
1970-04-30,88.830276
1970-05-29,83.115812
1970-06-30,80.521851
1970-07-31,85.721657
1970-08-31,88.865437
1970-09-30,91.499459
1970-10-30,90.03476
1970-11-30,92.969015
1970-12-31,97.456648
1971-01-29,102.380128
1971-02-26,103.76068
1971-03-31,107.886725
1971-04-30,110.564162
1971-05-31,107.233529
1971-06-30,108.240625
1971-07-30,105.578436
1971-08-31,107.983071
1971-09-30,106.826964
1971-10-29,102.626096
1971-11-30,103.287764
1971-12-31,112.741771
1972-01-31,116.634004
1972-02-29,120.814148
1972-03-31,122.632042
1972-04-28,124.024597
1972-05-31,127.072078
1972-06-30,125.004393
1972-07-31,126.479257
1972-08-31,130.339783
1972-09-29,129.522851
1972-10-31,130.717542
1972-11-30,137.38186
1972-12-29,140.243888
1973-01-31,141.437199
1973-02-28,142.338598
1973-03-30,142.565903
1973-04-30,134.685943
1973-05-31,133.908235
1973-06-29,134.876145
1973-07-31,139.247549
1973-08-31,133.60513
1973-09-28,137.615614
1973-10-31,138.725243
1973-11-30,120.960085
1973-12-31,120.437308
1974-01-31,121.854627
1974-02-28,123.230143
1974-03-29,121.509496
1974-04-30,118.678884
1974-05-31,114.448374
1974-06-28,111.368968
1974-07-31,104.806486
1974-08-30,95.032925
1974-09-30,86.307243
1974-10-31,94.890674
1974-11-29,94.162773
1974-12-31,92.411544
1975-01-31,103.969419
1975-02-28,111.889181
1975-03-31,113.527624
1975-04-30,117.294904
1975-05-30,119.976595
1975-06-30,123.156693
1975-07-31,116.269048
1975-08-29,113.313413
1975-09-30,108.30807
1975-10-31,115.862022
1975-11-28,119.463952
1975-12-31,119.140138
1976-01-30,129.700856
1976-02-27,129.010947
1976-03-31,131.271732
1976-04-30,130.241268
1976-05-31,128.92465
1976-06-30,133.151667
1976-07-30,132.106747
1976-08-31,132.204871
1976-09-30,134.286523
1976-10-29,130.26666
1976-11-30,129.102823
1976-12-31,137.811141
1977-01-31,132.128723
1977-02-28,131.295963
1977-03-31,130.119707
1977-04-29,131.323862
1977-05-31,129.158771
1977-06-30,134.088696
1977-07-29,132.312866
1977-08-31,131.632663
1977-09-30,132.462068
1977-10-31,129.782746
1977-11-30,132.230077
1977-12-30,134.29873
1978-01-31,130.317223
