Date,EAFE ex ISRAEL
2010-05-26,1000.0
2010-05-27,1027.398092128828
2010-05-28,1033.1678460136527
2010-05-31,1031.146890898748
2010-06-01,1031.5811598693708
2010-06-02,1020.6922453260722
2010-06-03,1039.844987672091
2010-06-04,1018.2403401005158
2010-06-07,994.9474877163354
2010-06-08,991.900129948594
2010-06-09,1007.8121228644046
2010-06-10,1025.3719003851945
2010-06-11,1031.347791958294
2010-06-14,1054.8400516484805
2010-06-15,1062.274004743987
2010-06-16,1068.6628995602155
2010-06-17,1071.3745198480378
2010-06-18,1074.3848529432837
2010-06-21,1089.6947256487435
2010-06-22,1077.9930864623318
2010-06-23,1064.0220494917758
2010-06-24,1056.8698782658291
2010-06-25,1046.6235574478014
2010-06-28,1056.1038686076402
2010-06-29,1023.4487726370647
2010-06-30,1020.8921958820804
2010-07-01,1013.259696722316
2010-07-02,1020.6022117973404
2010-07-05,1015.4720474328335
2010-07-06,1045.4660861404186
2010-07-07,1052.5233117794244
2010-07-08,1068.5254211217443
2010-07-09,1072.015644804952
2010-07-12,1071.58145948406
2010-07-13,1089.9759532955998
2010-07-14,1099.8145811523505
2010-07-15,1098.1493208564104
2010-07-16,1084.94295280666
2010-07-19,1077.550605078459
2010-07-20,1072.3288391365509
2010-07-21,1076.1027318015329
2010-07-22,1095.3976411108417
2010-07-23,1101.3015275833525
2010-07-26,1113.6795769789205
2010-07-27,1118.2925350981993
2010-07-28,1124.2144446795112
2010-07-29,1126.8307112387226
2010-07-30,1118.63625351023
2010-08-02,1150.9243788278727
2010-08-03,1158.1677222933315
2010-08-04,1148.7869582846997
2010-08-05,1151.8067323585126
2010-08-06,1155.5736525504076
2010-08-09,1161.0150187950344
2010-08-10,1142.3541875573035
2010-08-11,1109.8013579399346
2010-08-12,1102.2269540179548
2010-08-13,1100.5767943917624
2010-08-16,1106.9008123710237
2010-08-17,1116.547637014419
2010-08-18,1116.1894687369627
2010-08-19,1109.731090446378
2010-08-20,1086.6430002985999
2010-08-23,1090.4575359417
2010-08-24,1079.3331236886488
2010-08-25,1063.9705187198963
2010-08-26,1079.2793947304206
2010-08-27,1084.8519656501314
2010-08-30,1088.6450761291458
2010-08-31,1083.4060039324681
2010-09-01,1113.9646824682777
2010-09-02,1118.8267540844852
2010-09-03,1128.8030065329228
2010-09-06,1138.1560602373982
2010-09-07,1126.314261526475
2010-09-08,1129.446245056694
2010-09-09,1141.040917272686
2010-09-10,1139.6839405656026
2010-09-13,1158.5168282486686
2010-09-14,1166.4890662853784
2010-09-15,1165.09705360794
2010-09-16,1160.6952405832844
2010-09-17,1158.1842830398987
2010-09-20,1172.0276723996194
2010-09-21,1171.5095214422433
2010-09-22,1179.7837964734435
2010-09-23,1175.2162508578513
2010-09-24,1190.186266745678
2010-09-27,1192.3218803877003
2010-09-28,1195.480834880164
2010-09-29,1196.770627496646
2010-09-30,1189.5691400580863
2010-10-01,1194.7902137683825
2010-10-04,1185.6971416373635
2010-10-05,1209.046268947571
2010-10-06,1223.5465474913678
2010-10-07,1228.9135436200033
2010-10-08,1227.791704092503
2010-10-11,1228.5516597954884
2010-10-12,1217.2543276314505
2010-10-13,1237.0274704202739
2010-10-14,1251.3014017235662
2010-10-15,1243.6752058172262
2010-10-18,1244.3113813273233
2010-10-19,1226.9278608446543
2010-10-20,1240.3226773243598
2010-10-21,1244.6583086518676
2010-10-22,1238.1458373555597
2010-10-25,1248.284487896948
2010-10-26,1235.1578456593725
2010-10-27,1219.2209581309835
2010-10-28,1233.0510813612966
2010-10-29,1232.9423815303714
2010-11-01,1233.6474051136581
2010-11-02,1246.526320550551
2010-11-03,1242.1376959784727
2010-11-04,1278.5362149645941
2010-11-05,1275.8671661063129
2010-11-08,1270.7028310574735
2010-11-09,1275.930922021147
2010-11-10,1252.2697024618944
2010-11-11,1253.010056736328
2010-11-12,1246.4867594445734
2010-11-15,1245.551353933424
2010-11-16,1220.5296679260755
