Date,FAR EAST
1969-12-31,100.0
1970-01-30,98.752025
1970-02-27,100.251619
1970-03-31,104.094622
1970-04-30,92.350985
1970-05-29,89.960017
1970-06-30,91.729808
1970-07-31,92.328417
1970-08-31,91.653505
1970-09-30,90.629208
1970-10-30,91.532646
1970-11-30,89.390638
1970-12-31,90.563674
1971-01-29,95.51813
1971-02-26,99.11737
1971-03-31,106.633262
1971-04-30,112.228352
1971-05-31,112.398606
1971-06-30,123.801561
1971-07-30,124.432705
1971-08-31,119.143775
1971-09-30,123.595171
1971-10-29,119.223206
1971-11-30,123.820945
1971-12-31,140.105827
1972-01-31,150.253468
1972-02-29,163.244415
1972-03-31,172.5136
1972-04-28,182.110362
1972-05-31,196.858981
1972-06-30,204.916889
1972-07-31,222.878024
1972-08-31,226.672092
1972-09-29,236.978116
1972-10-31,249.497306
1972-11-30,292.081313
1972-12-29,324.670864
1973-01-31,335.918483
1973-02-28,383.851754
1973-03-30,373.731839
1973-04-30,317.44113
1973-05-31,327.698938
1973-06-29,329.5176
1973-07-31,348.764525
1973-08-31,328.223685
1973-09-28,310.96696
1973-10-31,312.94449
1973-11-30,269.207093
1973-12-31,251.85143
1974-01-31,252.148682
1974-02-28,258.453217
1974-03-29,260.308906
1974-04-30,261.764358
1974-05-31,274.874211
1974-06-28,265.330601
1974-07-31,237.88281
1974-08-30,210.382217
1974-09-30,210.344689
1974-10-31,194.518097
1974-11-29,210.964018
1974-12-31,202.776389
1975-01-31,216.767358
1975-02-28,248.865043
1975-03-31,255.785612
1975-04-30,257.695425
1975-05-30,255.843559
1975-06-30,257.613539
1975-07-31,244.061956
1975-08-29,233.563185
1975-09-30,220.134856
1975-10-31,242.84032
1975-11-28,245.261251
1975-12-31,249.536348
1976-01-30,268.081224
1976-02-27,270.727974
1976-03-31,270.748229
1976-04-30,271.539873
1976-05-31,271.662178
1976-06-30,284.652779
1976-07-30,279.215807
1976-08-31,288.9292
1976-09-30,290.221276
1976-10-29,275.098393
1976-11-30,272.940107
1976-12-31,313.633054
1977-01-31,304.371806
1977-02-28,318.046181
1977-03-31,314.466731
1977-04-29,320.667055
1977-05-31,318.256783
1977-06-30,330.253519
1977-07-29,325.973815
1977-08-31,342.338789
1977-09-30,346.061003
1977-10-31,352.213814
1977-11-30,353.444662
1977-12-30,355.405114
1978-01-31,369.228869
1978-02-28,382.57461
1978-03-31,431.14244
1978-04-28,429.0911
1978-05-31,433.675543
1978-06-30,477.115588
1978-07-31,524.775651
1978-08-31,523.846942
1978-09-29,530.898192
1978-10-31,572.149944
1978-11-30,512.529757
1978-12-29,535.957271
1979-01-31,537.797886
1979-02-28,516.693334
1979-03-30,500.237165
1979-04-30,486.057325
1979-05-31,494.307326
1979-06-29,495.720979
1979-07-31,497.254074
1979-08-31,499.164524
1979-09-28,513.609587
1979-10-31,475.664841
1979-11-30,462.159442
1979-12-31,494.684108
1980-01-31,507.02086
1980-02-29,489.774928
1980-03-31,468.853979
1980-04-30,509.0231
1980-05-30,539.555154
1980-06-30,566.522804
1980-07-31,547.123364
1980-08-29,582.970378
1980-09-30,614.24539
1980-10-31,641.988692
1980-11-28,622.378138
1980-12-31,661.516309
1981-01-30,678.767355
1981-02-27,668.232793
1981-03-31,697.538428
1981-04-30,745.992453
1981-05-29,737.506482
1981-06-30,763.897649
1981-07-31,730.248175
1981-08-31,744.900881
1981-09-30,665.797547
1981-10-30,667.981779
1981-11-30,735.530519
1981-12-31,744.339437
1982-01-29,731.899706
1982-02-26,670.83195
1982-03-31,610.125031
1982-04-30,667.25223
1982-05-31,649.903223
1982-06-30,605.158533
1982-07-30,579.055072
1982-08-31,574.354072
1982-09-30,550.57264
1982-10-29,547.222731
1982-11-30,635.840953
1982-12-31,707.152657
1983-01-31,687.348969
1983-02-28,704.844182
1983-03-31,729.293712
1983-04-29,747.22145
1983-05-31,742.960878
1983-06-30,766.510722
1983-07-29,772.685102
1983-08-31,760.531357
1983-09-30,805.014045
1983-10-31,804.802243
1983-11-30,813.658796
1983-12-30,875.27494
1984-01-31,921.491881
1984-02-29,915.777047
1984-03-30,1063.761714
1984-04-30,1042.773879
1984-05-31,917.874788
1984-06-29,918.042355
1984-07-31,855.999256
1984-08-31,927.518738
1984-09-28,924.525267
1984-10-31,964.183059
1984-11-30,972.31862
1984-12-31,1008.797101
1985-01-31,1010.469927
1985-02-28,1040.323358
1985-03-29,1094.952465
1985-04-30,1063.750208
1985-05-31,1101.545952
1985-06-28,1230.033708
1985-07-31,1153.297441
1985-08-30,1175.269714
1985-09-30,1290.436455
1985-10-31,1332.761178
1985-11-29,1350.243793
1985-12-31,1422.219942
1986-01-31,1457.472049
1986-02-28,1624.038
1986-03-31,1949.665
1986-04-30,2025.951
1986-05-30,2014.568081
1986-06-30,2214.37316
1986-07-31,2499.234667
1986-08-29,2724.357212
1986-09-30,2793.594766
1986-10-31,2452.515589
1986-11-28,2606.107789
1986-12-31,2795.315467
1987-01-30,3230.737104
1987-02-27,3303.836258
1987-03-31,3643.966657
1987-04-30,4196.649529
1987-05-29,4205.010857
1987-06-30,3914.539988
1987-07-31,3799.811577
1987-08-31,4255.896567
1987-09-30,4120.068667
1987-10-30,3740.846
1987-11-30,3883.997366
1987-12-31,3941.338583
1988-01-29,4152.79931
1988-02-29,4457.44243
1988-03-31,4791.202018
1988-04-29,4844.572192
1988-05-31,4630.926201
1988-06-30,4473.308656
1988-07-29,4674.371368
1988-08-31,4319.972429
1988-09-30,4500.686144
1988-10-31,4873.460249
1988-11-30,5296.426385
1988-12-30,5329.84797
1989-01-31,5363.891913
1989-02-28,5463.341783
1989-03-31,5281.482174
1989-04-28,5281.800777
1989-05-31,4982.114183
1989-06-30,4750.198278
1989-07-31,5375.029796
1989-08-31,5010.430438
1989-09-29,5331.221681
1989-10-31,5192.638461
1989-11-30,5453.995366
1989-12-29,5451.704062
1990-01-31,5134.004131
1990-02-28,4630.196606
1990-03-30,3767.608383
1990-04-30,3805.444315
1990-05-31,4341.855278
1990-06-29,4152.479167
1990-07-31,4110.068477
1990-08-31,3703.759976
1990-09-28,3103.321922
1990-10-31,3831.367409
1990-11-30,3388.337942
1990-12-31,3544.906154
1991-01-31,3650.980381
1991-02-28,4109.34426
1991-03-29,3873.759349
1991-04-30,3963.254077
1991-05-31,3952.15006
1991-06-28,3679.733113
1991-07-31,3798.905815
1991-08-30,3598.012307
1991-09-30,3890.026083
1991-10-31,4053.207405
1991-11-29,3788.362972
1991-12-31,3911.4722115
1992-01-31,3757.2445681
1992-02-28,3477.2764700000002
1992-03-31,3125.427135
1992-04-30,2964.4146529
1992-05-29,3208.6623919999997
1992-06-30,2945.3580831
1992-07-31,2905.8196568
1992-08-31,3352.8584544
1992-09-30,3280.0787757
1992-10-30,3169.8417148
1992-11-30,3229.1658770999998
1992-12-31,3173.7862766
1993-01-29,3173.854851
1993-02-26,3322.0127549999997
1993-03-31,3741.250028
1993-04-30,4371.06595
1993-05-31,4508.004574
1993-06-30,4434.474782
1993-07-30,4687.303327
1993-08-31,4821.3560019999995
1993-09-30,4637.857370000001
1993-10-29,4717.717885093798
1993-11-30,4031.330741599615
1993-12-31,4302.306638599277
1994-01-31,4802.5648196295
1994-02-28,4950.860094538447
1994-03-31,4683.899646378079
1994-04-29,4887.341082179448
1994-05-31,4996.781744945737
1994-06-30,5184.271688439294
1994-07-29,5054.046116085999
1994-08-31,5132.250672563712
1994-09-30,5010.95716749316
1994-10-31,5135.823769814217
1994-11-30,4844.106060847616
1994-12-30,4874.828328124606
1995-01-31,4563.0460979053705
1995-02-28,4435.202112063153
1995-03-31,4798.335582245949
1995-04-28,4993.784812510081
1995-05-31,4788.922620769605
1995-06-30,4577.230323175605
1995-07-31,4903.162631706309
1995-08-31,4703.291001486017
1995-09-29,4750.762673570105
1995-10-31,4509.673760482093
1995-11-30,4742.410215665786
1995-12-29,4983.132449404232
1996-01-31,4983.606436223098
1996-02-29,4914.377443307778
1996-03-29,5075.976536254609
1996-04-30,5337.265875536765
1996-05-31,5095.654423000295
1996-06-28,5105.325351295967
1996-07-31,4867.224964447371
1996-08-30,4711.034101645129
1996-09-30,4876.05162197948
1996-10-31,4618.699870856387
1996-11-29,4740.351601369167
1996-12-31,4475.524248537396
1997-01-31,4080.793345796709
1997-02-28,4166.775343310535
1997-03-31,4002.160494801928
1997-04-30,4083.6770695929904
1997-05-30,4511.202740684647
1997-06-30,4800.289029933252
1997-07-31,4679.719957353155
1997-08-29,4203.64318089101
1997-09-30,4169.287491028029
1997-10-31,3666.063249063686
1997-11-28,3453.811624309742
1997-12-31,3280.5396400115255
1998-01-30,3456.9567114545894
1998-02-27,3587.224369310889
1998-03-31,3369.797256695988
1998-04-30,3300.6756609128056
1998-05-29,3072.9846077753596
1998-06-30,3069.376222360697
1998-07-31,3009.669926208228
1998-08-31,2661.3179864686913
1998-09-30,2633.9980956063373
1998-10-30,3117.5846731447077
1998-11-30,3254.7826362887736
1998-12-31,3358.9586000992435
1999-01-29,3361.4801983175853
1999-02-26,3297.345471616464
1999-03-31,3749.98764971989
1999-04-30,3983.6285062841253
1999-05-31,3759.653586379195
1999-06-30,4124.465712721058
1999-07-30,4472.6561023659115
1999-08-31,4447.950179034422
1999-09-30,4672.131599716311
1999-10-29,4876.757433161656
1999-11-30,5117.999921057078
1999-12-31,5455.426152960979
2000-01-31,5188.803238770613
2000-02-29,5076.088320831862
2000-03-31,5460.460839164847
2000-04-28,5062.24776867841
2000-05-31,4759.922303898408
