Date,EUROPE ex EMU
1987-12-31,30.92143473
1988-01-29,30.687948470000002
1988-02-29,30.99407956
1988-03-31,32.248560760000004
1988-04-29,32.95893945
1988-05-31,32.19571512
1988-06-30,31.33843548
1988-07-29,31.5344725
1988-08-31,29.61970313
1988-09-30,31.05898038
1988-10-31,33.69161181
1988-11-30,34.19352839
1988-12-30,33.94396697
1989-01-31,36.80621383
1989-02-28,36.38508276
1989-03-31,36.65609333
1989-04-28,37.3052833
1989-05-31,34.967718
1989-06-30,36.21743079
1989-07-31,41.29104699
1989-08-31,40.42068479
1989-09-29,40.26456992
1989-10-31,36.97224225
1989-11-30,38.78686856
1989-12-29,42.31338476
1990-01-31,42.60847502
1990-02-28,41.68842482
1990-03-30,40.55613772
1990-04-30,38.57164623
1990-05-31,44.13470178
1990-06-29,46.31390783
1990-07-31,48.25228902
1990-08-31,44.92008169
1990-09-28,40.31930336
1990-10-31,43.198139850000004
1990-11-30,44.474280470000004
1990-12-31,44.19233686
1991-01-31,46.2209236
1991-02-28,49.91873815
1991-03-29,47.31011025
1991-04-30,46.55565066
1991-05-31,47.450513640000004
1991-06-28,43.65738603
1991-07-31,48.058539950000004
1991-08-30,48.9596464
1991-09-30,50.35663402
1991-10-31,49.22320982
1991-11-29,47.086732399999995
1991-12-31,50.97642922
1992-01-31,50.64471175
1992-02-28,50.00468667
1992-03-31,47.83548074
1992-04-30,52.17046487
1992-05-29,55.40441163
1992-06-30,53.79205644
1992-07-31,52.30649913
1992-08-31,51.97766551
1992-09-30,51.50027665
1992-10-30,47.27150123
1992-11-30,47.70473425
1992-12-31,49.64922786
1993-01-29,48.83638406
1993-02-26,47.90667757
1993-03-31,51.11855712
1993-04-30,52.83411501
1993-05-31,54.123469820000004
1993-06-30,53.489278320000004
1993-07-30,53.40016457
1993-08-31,57.19390532
1993-09-30,57.16825608
1993-10-29,59.84763814
1993-11-30,59.530656130000004
1993-12-31,64.13209097000001
1994-01-31,68.21968117
1994-02-28,64.90927106
1994-03-31,61.37303961
1994-04-29,63.08021722
1994-05-31,60.6378378
1994-06-30,60.72231239
1994-07-29,63.13457333
1994-08-31,65.93868425
1994-09-30,63.69915563
1994-10-31,66.86453847
1994-11-30,64.35702686
1994-12-30,64.78677531
1995-01-31,64.08227977
1995-02-28,65.19677344
1995-03-31,69.24581067
1995-04-28,70.79966879
1995-05-31,72.74588183
1995-06-30,73.50498533
1995-07-31,77.00743688
1995-08-31,75.00347554
1995-09-29,78.75675486
1995-10-31,79.08175443
1995-11-30,79.83553635
1995-12-29,81.85266792
1996-01-31,80.55292146000001
1996-02-29,82.45338029
1996-03-29,83.88842036
1996-04-30,84.13005655
1996-05-31,84.44658562000001
1996-06-28,85.22221267
1996-07-31,84.86749052
1996-08-30,89.12686699999999
1996-09-30,90.27038108
1996-10-31,93.46431632000001
1996-11-29,97.84524416000001
1996-12-31,100.0
1997-01-31,99.06000736
1997-02-28,101.18139045000001
1997-03-31,103.64707681
1997-04-30,104.44184939
1997-05-30,110.21953781
1997-06-30,114.08020512
1997-07-31,118.58842356364808
