Date,WORLD ex AUSTRALIA
1969-12-31,100.0
1970-01-30,94.404555
1970-02-27,97.445253
1970-03-31,97.762315
1970-04-30,88.666085
1970-05-29,83.075741
1970-06-30,80.773785
1970-07-31,85.83802
1970-08-31,88.753097
1970-09-30,91.683093
1970-10-30,90.486999
1970-11-30,92.654105
1970-12-31,97.321174
1971-01-29,101.930169
1971-02-26,103.067746
1971-03-31,107.564846
1971-04-30,111.226098
1971-05-31,108.600248
1971-06-30,109.705311
1971-07-30,108.000754
1971-08-31,110.469551
1971-09-30,109.590241
1971-10-29,105.359621
1971-11-30,106.289603
1971-12-31,115.633673
1972-01-31,120.001641
1972-02-29,124.48029
1972-03-31,126.16855899999999
1972-04-28,127.910109
1972-05-31,130.469472
1972-06-30,127.335116
1972-07-31,129.450903
1972-08-31,133.172224
1972-09-29,131.180049
1972-10-31,132.158617
1972-11-30,139.138676
1972-12-29,141.669871
1973-01-31,141.917035
1973-02-28,142.887745
1973-03-30,143.093739
1973-04-30,135.913471
1973-05-31,135.321828
1973-06-29,136.243126
1973-07-31,139.502527
1973-08-31,133.860279
1973-09-28,137.867788
1973-10-31,139.153534
1973-11-30,121.006477
1973-12-31,120.019471
1974-01-31,120.6644
1974-02-28,122.352935
1974-03-29,119.352585
1974-04-30,117.414176
1974-05-31,112.930318
1974-06-28,109.439553
1974-07-31,103.140663
1974-08-30,93.064654
1974-09-30,84.688841
1974-10-31,92.609604
1974-11-29,91.083822
1974-12-31,89.606444
1975-01-31,102.548843
1975-02-28,111.727599
1975-03-31,112.593565
1975-04-30,117.362446
1975-05-30,119.999664
1975-06-30,121.592059
1975-07-31,114.805562
1975-08-29,113.063192
1975-09-30,108.12815
1975-10-31,115.651281
1975-11-28,118.734059
1975-12-31,118.774532
1976-01-30,129.541111
1976-02-27,128.530868
1976-03-31,130.123991
1976-04-30,129.109029
1976-05-31,126.897983
1976-06-30,130.843739
1976-07-30,129.363761
1976-08-31,129.071235
1976-09-30,130.380413
1976-10-29,125.876554
1976-11-30,125.837031
1976-12-31,135.2294
1977-01-31,130.5905
1977-02-28,130.06791
1977-03-31,129.128662
1977-04-29,130.584999
1977-05-31,128.691739
1977-06-30,133.623017
1977-07-29,131.919172
1977-08-31,132.511364
1977-09-30,134.18664
1977-10-31,131.720987
1977-11-30,133.452836
1977-12-30,135.959903
1978-01-31,132.001198
1978-02-28,131.084314
1978-03-31,136.992131
1978-04-28,143.102154
1978-05-31,144.817541
1978-06-30,146.281114
1978-07-31,156.835041
1978-08-31,160.331394
1978-09-29,162.094949
1978-10-31,159.002766
1978-11-30,153.417297
1978-12-29,158.341983
1979-01-31,162.348598
1979-02-28,159.148939
1979-03-30,165.825178
1979-04-30,165.667504
1979-05-31,162.652236
1979-06-29,167.461929
1979-07-31,168.639313
1979-08-31,175.157802
1979-09-28,178.920549
1979-10-31,165.378946
1979-11-30,170.643437
1979-12-31,174.854196
1980-01-31,184.806003
1980-02-29,184.757278
1980-03-31,165.193675
1980-04-30,175.967678
1980-05-30,184.233685
1980-06-30,192.908979
1980-07-31,198.960333
1980-08-29,202.624003
1980-09-30,208.512758
1980-10-31,214.330696
1980-11-28,223.703771
1980-12-31,218.70669
1981-01-30,212.779255
1981-02-27,213.612397
1981-03-31,220.804777
1981-04-30,220.951074
1981-05-29,216.539118
1981-06-30,216.22095
1981-07-31,213.038376
1981-08-31,208.685205
1981-09-30,193.058785
1981-10-30,199.346763
1981-11-30,214.036892
1981-12-31,209.433712
1982-01-29,206.759277
1982-02-26,194.393377
1982-03-31,189.232119
1982-04-30,198.221265
1982-05-31,193.146376
1982-06-30,184.546132
1982-07-30,182.214916
1982-08-31,195.568649
1982-09-30,196.377152
1982-10-29,210.072384
1982-11-30,221.40316
1982-12-31,231.306194
1983-01-31,235.9086
1983-02-28,241.188697
1983-03-31,249.970402
1983-04-29,267.478546
1983-05-31,264.516101
1983-06-30,273.023524
1983-07-29,267.539128
1983-08-31,268.791282
1983-09-30,274.076818
1983-10-31,270.827424
1983-11-30,277.44576
1983-12-30,280.892939
1984-01-31,283.241144
1984-02-29,278.624415
1984-03-30,291.7322
1984-04-30,290.655168
1984-05-31,269.302562
1984-06-29,276.290663
1984-07-31,261.929096
1984-08-31,288.157677
1984-09-28,287.056998
1984-10-31,289.940545
1984-11-30,288.740404
1984-12-31,294.950281
1985-01-31,311.35204
1985-02-28,312.379514
1985-03-29,323.181866
1985-04-30,322.272937
1985-05-31,338.884898
1985-06-28,344.908405
1985-07-31,351.181983
1985-08-30,354.204082
1985-09-30,356.408551
1985-10-31,375.630637
1985-11-29,397.255131
1985-12-31,415.945031
1986-01-31,421.317771
1986-02-28,460.17879
1986-03-31,504.966257
1986-04-30,518.169434
1986-05-30,516.494584
1986-06-30,538.252136
1986-07-31,543.589168
1986-08-29,591.044892
1986-09-30,566.612777
1986-10-31,555.747124
1986-11-28,579.320812
1986-12-31,590.165354
1987-01-30,660.240849
1987-02-27,681.058481
1987-03-31,722.626616
1987-04-30,765.096498
1987-05-29,765.635662
1987-06-30,764.768432
1987-07-31,778.800605
1987-08-31,824.206709
1987-09-30,808.935069
1987-10-30,675.462047
1987-11-30,657.832912
1987-12-31,686.201702
1988-01-29,703.528344
1988-02-29,744.565904
1988-03-31,765.631664
1988-04-29,774.580868
1988-05-31,757.092173
1988-06-30,756.221567
1988-07-29,769.718891
1988-08-31,726.864818
1988-09-30,758.432171
1988-10-31,808.659738
1988-11-30,837.312706
1988-12-30,844.878241
1989-01-31,874.525922
1989-02-28,870.782713
1989-03-31,864.679721
1989-04-28,884.510067
1989-05-31,862.613804
1989-06-30,852.391916
1989-07-31,948.777772
1989-08-31,924.17155
1989-09-29,950.443403
1989-10-31,918.622924
1989-11-30,955.914665
1989-12-29,986.126347
1990-01-31,939.28501
1990-02-28,899.108359
1990-03-30,844.098114
1990-04-30,832.32261
1990-05-31,919.856475
1990-06-29,912.393927
1990-07-31,919.914815
1990-08-31,832.523184
1990-09-28,743.709449
1990-10-31,815.250008
1990-11-30,801.357608
1990-12-31,818.394103
1991-01-31,847.786942
1991-02-28,926.208134
1991-03-29,898.042455
1991-04-30,903.831789
1991-05-31,924.777675
1991-06-28,866.377943
1991-07-31,906.80043
1991-08-30,903.695489
1991-09-30,926.942248
1991-10-31,941.139036
1991-11-29,899.951283
1991-12-31,966.275741
1992-01-31,948.23895
1992-02-28,931.222814
1992-03-31,886.247034
1992-04-30,897.963142
1992-05-29,933.793112
1992-06-30,902.226815
1992-07-31,904.641452
1992-08-31,927.954425
1992-09-30,919.679272
1992-10-30,894.990902
1992-11-30,910.8590459999999
1992-12-31,916.8005529999999
1993-01-29,920.100164
1993-02-26,940.8650100000001
1993-03-31,995.416898
1993-04-30,1041.904795
1993-05-31,1066.278736
