Date,NORDIC COUNTRIES
1969-12-31,100.0
1970-01-30,97.453967
1970-02-27,92.336773
1970-03-31,94.573269
1970-04-30,86.537018
1970-05-29,81.236432
1970-06-30,86.034464
1970-07-31,92.11323
1970-08-31,89.447981
1970-09-30,87.83144
1970-10-30,81.931623
1970-11-30,86.838803
1970-12-31,86.958208
1971-01-29,92.621476
1971-02-26,95.463675
1971-03-31,95.733389
1971-04-30,94.253742
1971-05-31,98.470447
1971-06-30,101.496648
1971-07-30,102.018627
1971-08-31,104.00985
1971-09-30,101.200955
1971-10-29,102.709903
1971-11-30,107.207428
1971-12-31,111.868764
1972-01-31,115.649788
1972-02-29,115.124643
1972-03-31,122.127764
1972-04-28,124.473444
1972-05-31,122.004043
1972-06-30,126.50513
1972-07-31,129.466424
1972-08-31,134.573709
1972-09-29,132.584605
1972-10-31,134.639836
1972-11-30,139.194968
1972-12-29,139.103824
1973-01-31,149.337693
1973-02-28,159.225145
1973-03-30,158.51948
1973-04-30,167.852363
1973-05-31,181.120614
1973-06-29,192.926001
1973-07-31,196.335547
1973-08-31,181.01328
1973-09-28,180.313731
1973-10-31,184.657419
1973-11-30,162.587697
1973-12-31,164.402604
1974-01-31,167.663195
1974-02-28,174.065525
1974-03-29,179.716548
1974-04-30,184.969773
1974-05-31,168.704598
1974-06-28,163.548836
1974-07-31,167.596983
1974-08-30,149.371526
1974-09-30,142.442954
1974-10-31,155.455935
1974-11-29,149.889685
1974-12-31,154.089677
1975-01-31,170.105603
1975-02-28,183.980822
1975-03-31,178.520807
1975-04-30,187.303996
1975-05-30,184.170283
1975-06-30,188.233431
1975-07-31,180.072464
1975-08-29,174.013626
1975-09-30,169.126931
1975-10-31,178.48313
1975-11-28,172.727934
1975-12-31,175.049819
1976-01-30,187.678073
1976-02-27,185.220681
1976-03-31,185.353631
1976-04-30,198.651314
1976-05-31,191.779609
1976-06-30,193.273727
1976-07-30,195.007893
1976-08-31,186.645313
1976-09-30,185.198074
1976-10-29,172.931759
1976-11-30,176.616999
1976-12-31,185.494208
1977-01-31,172.262766
1977-02-28,185.850484
1977-03-31,188.320484
1977-04-29,179.611796
1977-05-31,175.163977
1977-06-30,163.428839
1977-07-29,161.100796
1977-08-31,143.607542
1977-09-30,151.19372
1977-10-31,147.058143
1977-11-30,138.762622
1977-12-30,151.603006
1978-01-31,159.820734
1978-02-28,158.592819
1978-03-31,165.217004
1978-04-28,169.144851
1978-05-31,166.104351
1978-06-30,167.81992
1978-07-31,181.088345
1978-08-31,187.915372
1978-09-29,182.545296
1978-10-31,185.423766
1978-11-30,172.184003
1978-12-29,176.417264
1979-01-31,187.85806
1979-02-28,184.666049
1979-03-30,185.725017
1979-04-30,182.194616
1979-05-31,183.576252
1979-06-29,191.202896
1979-07-31,196.618836
1979-08-31,194.9805
1979-09-28,203.1422
1979-10-31,200.78693
1979-11-30,213.247782
1979-12-31,213.835845
1980-01-31,219.968242
1980-02-29,212.384815
1980-03-31,185.165664
1980-04-30,203.298539
1980-05-30,210.628706
1980-06-30,213.269701
1980-07-31,213.685366
1980-08-29,207.162917
1980-09-30,216.085101
1980-10-31,227.652734
1980-11-28,233.208836
1980-12-31,231.415564
1981-01-30,221.081628
1981-02-27,237.139315
1981-03-31,249.710216
1981-04-30,236.673611
1981-05-29,235.653636
1981-06-30,252.44233
1981-07-31,260.158012
1981-08-31,265.605533
1981-09-30,240.468491
1981-10-30,268.141628
1981-11-30,292.350488
1981-12-31,282.835356
1982-01-29,278.931909
