Date,EMU
1987-12-31,35.91850672
1988-01-29,33.02040215
1988-02-29,37.027809930000004
1988-03-31,37.4974914
1988-04-29,38.04079962
1988-05-31,37.53575734
1988-06-30,37.90106644
1988-07-29,37.81210334
1988-08-31,36.76435457
1988-09-30,38.998857290000004
1988-10-31,42.95024849
1988-11-30,43.36175779
1988-12-30,44.1815802
1989-01-31,43.55117344
1989-02-28,43.05960389
1989-03-31,43.361635899999996
1989-04-28,45.06895125
1989-05-31,43.334594270000004
1989-06-30,45.37698991
1989-07-31,49.63510432
1989-08-31,49.49177201
1989-09-29,51.48351219
1989-10-31,48.98375938
1989-11-30,52.01951226
1989-12-29,58.48295281
1990-01-31,57.78273766
1990-02-28,56.264275899999994
1990-03-30,59.34229938
1990-04-30,58.96917398
1990-05-31,60.56501378
1990-06-29,61.85912684
1990-07-31,64.48482781
1990-08-31,56.17546074
1990-09-28,48.657050899999994
1990-10-31,53.43685616
1990-11-30,52.87521153
1990-12-31,51.6463125
1991-01-31,52.687520150000005
1991-02-28,57.741999830000005
1991-03-29,52.92295402
1991-04-30,52.69876722
1991-05-31,54.87392304
1991-06-28,50.02307212
1991-07-31,51.727306299999995
1991-08-30,52.64087069
1991-09-30,54.31197841
1991-10-31,53.26677355
1991-11-29,53.27479846
1991-12-31,57.16925245
1992-01-31,57.55093446
1992-02-28,58.8305296
1992-03-31,57.30177623
1992-04-30,58.30716369
1992-05-29,61.29042954
1992-06-30,60.885402830000004
1992-07-31,58.15644641
1992-08-31,58.16702222
1992-09-30,56.72226134
1992-10-30,53.569710699999995
1992-11-30,52.96624525
1992-12-31,53.10635715
1993-01-29,54.333717650000004
1993-02-26,56.85552356
1993-03-31,58.82810251
1993-04-30,59.377279290000004
1993-05-31,59.10876454
1993-06-30,58.05094817
1993-07-30,58.5909225
1993-08-31,64.84189932
1993-09-30,64.45309273
1993-10-29,66.77270006
1993-11-30,64.14867456
1993-12-31,68.80623576
1994-01-31,71.31830994
1994-02-28,69.87047628
1994-03-31,69.93104163
1994-04-29,73.82514585
1994-05-31,70.39594235
1994-06-30,68.79150059999999
1994-07-29,73.30997171
1994-08-31,74.68647749
1994-09-30,71.28348996
1994-10-31,73.93047566
1994-11-30,71.03579777
1994-12-30,71.36478614
1995-01-31,71.03669232
1995-02-28,73.03815103
1995-03-31,75.24453082000001
1995-04-28,78.41977911000001
1995-05-31,79.44756639
1995-06-30,80.11116333
1995-07-31,84.67089522
1995-08-31,80.27624086
1995-09-29,81.01954568000001
1995-10-31,79.85217493
1995-11-30,80.20755297
1995-12-29,83.32130334
1996-01-31,85.93492337
1996-02-29,87.01358692000001
1996-03-29,87.54939883
1996-04-30,88.59417355000001
1996-05-31,89.65396836000001
1996-06-28,90.81084913000001
1996-07-31,88.88668381000001
1996-08-30,89.61951757
1996-09-30,92.30076709000001
1996-10-31,93.25376389
1996-11-29,98.36311897
1996-12-31,100.0
1997-01-31,101.52390788
1997-02-28,102.02842073000001
1997-03-31,106.14335261000001
1997-04-30,104.27867136
1997-05-30,107.39300054
1997-06-30,114.44384813
1997-07-31,120.65283769632589
1997-08-29,111.38340100537728
1997-09-30,122.5118585194883
1997-10-31,114.90062469213423
1997-11-28,117.16828949429774
1997-12-31,121.43799733319055
1998-01-30,126.57518319656837
1998-02-27,136.83890707595404
1998-03-31,149.54623574038774
1998-04-30,154.60036466168935
1998-05-29,162.22919530646809
1998-06-30,164.4308226580343
1998-07-31,169.9292812532133
1998-08-31,145.45134084923285
1998-09-30,139.92618539400763
1998-10-30,150.9249579476292
1998-11-30,159.9625070761692
1998-12-31,169.02638071737368
1999-01-29,167.95673760042854
1999-02-26,159.88409707238665
1999-03-31,160.29626732547106
1999-04-30,164.66761351377664
1999-05-31,157.26289771673197
1999-06-30,161.54224672381417
1999-07-30,161.02937772129198
1999-08-31,164.505171946579
1999-09-30,163.68658146409257
1999-10-29,170.47536631401707
1999-11-30,176.66477305749302
1999-12-31,200.74942961770407
2000-01-31,188.5176044224408
2000-02-29,205.67682493874227
2000-03-31,205.10858740180782
2000-04-28,195.06429870556744
2000-05-31,194.68253476709836
2000-06-30,200.24209389491315
2000-07-31,194.27425414041045
2000-08-31,189.54475233471018
2000-09-29,180.09569974749263
2000-10-31,177.8367803749742
2000-11-30,171.46071550473462
2000-12-29,183.23735050990678
2001-01-01,183.23735050990678
2001-01-02,182.15170404542422
2001-01-03,179.98652512352297
2001-01-04,183.21204126579886
2001-01-05,183.88455061071994
2001-01-08,182.58248965077084
2001-01-09,179.0801198649081
2001-01-10,178.28152430659492
2001-01-11,183.00230040767974
2001-01-12,185.13712573339745
2001-01-15,184.13755103907172
2001-01-16,181.60336373118355
2001-01-17,183.2954945842579
2001-01-18,185.26232839695788
2001-01-19,182.7040085317113
2001-01-22,183.22553805731116
2001-01-23,183.60938807891145
2001-01-24,181.69289418844357
2001-01-25,181.591308913511
2001-01-26,181.44720761867868
2001-01-29,180.6135911166321
2001-01-30,181.3773311200365
2001-01-31,184.25235390605843
2001-02-01,183.97603070214657
2001-02-02,180.8863097956878
2001-02-05,181.807161345468
2001-02-06,181.56071899101534
2001-02-07,179.04239814832198
2001-02-08,177.16472662669136
2001-02-09,175.53037213936042
2001-02-12,178.2405663482718
2001-02-13,176.27882436417877
2001-02-14,172.9620968024925
2001-02-15,172.2308800734872
2001-02-16,171.39295337211232
2001-02-19,172.1003017875459
2001-02-20,168.83461892042828
2001-02-21,167.24005732599636
2001-02-22,164.49384498959975
2001-02-23,161.03281238956188
2001-02-26,163.92018674605842
