Date,EAFE
1969-12-31,100.0
1970-01-30,98.829
1970-02-27,96.502
1970-03-31,97.957
1970-04-30,89.742
1970-05-29,85.226
1970-06-30,87.03
1970-07-31,90.442
1970-08-31,90.762
1970-09-30,91.377
1970-10-30,90.528
1970-11-30,86.578
1970-12-31,88.339223
1971-01-29,91.854
1971-02-26,92.605
1971-03-31,96.532
1971-04-30,100.187
1971-05-31,101.99
1971-06-30,104.325
1971-07-30,108.678
1971-08-31,107.075
1971-09-30,105.383
1971-10-29,101.97
1971-11-30,105.237
1971-12-31,114.48
1972-01-31,121.047
1972-02-29,128.897
1972-03-31,133.042
1972-04-28,136.122
1972-05-31,140.438
1972-06-30,136.607
1972-07-31,143.877
1972-08-31,145.386
1972-09-29,140.55
1972-10-31,141.932
1972-11-30,151.185
1972-12-29,156.092
1973-01-31,158.677
1973-02-28,171.691
1973-03-30,172.664
1973-04-30,162.877
1973-05-31,166.73
1973-06-29,170.73
1973-07-31,168.514
1973-08-31,159.844
1973-09-28,158.664
1973-10-31,161.977
1973-11-30,138.575
1973-12-31,132.799
1974-01-31,133.599
1974-02-28,137.931
1974-03-29,134.259
1974-04-30,137.758
1974-05-31,132.278
1974-06-28,126.185
1974-07-31,119.666
1974-08-30,107.237
1974-09-30,99.355
1974-10-31,100.134
1974-11-29,103.213
1974-12-31,102.037
1975-01-31,120.137
1975-02-28,135.854
1975-03-31,134.28
1975-04-30,140.509
1975-05-30,139.32
1975-06-30,133.774
1975-07-31,128.166
1975-08-29,127.846
1975-09-30,121.919
1975-10-31,132.319
1975-11-28,135.335
1975-12-31,138.15
1976-01-30,145.328
1976-02-27,144.095
1976-03-31,141.537
1976-04-30,140.765
1976-05-31,136.844
1976-06-30,139.014
1976-07-30,137.261
1976-08-31,137.228
1976-09-30,134.735
1976-10-29,126.019
1976-11-30,127.44
1976-12-31,141.657
1977-01-31,140.697
1977-02-28,143.677
1977-03-31,144.009
1977-04-29,148.091
1977-05-31,147.36
1977-06-30,150.533
1977-07-29,148.138
1977-08-31,154.557
1977-09-30,159.025
1977-10-31,162.873
1977-11-30,161.366
1977-12-30,167.236
1978-01-31,169.255
1978-02-28,171.073
1978-03-31,183.41
1978-04-28,181.935
1978-05-31,185.501
1978-06-30,193.723
1978-07-31,210.438
1978-08-31,214.561
1978-09-29,220.8
1978-10-31,233.339
1978-11-30,211.478
1978-12-29,221.792
1979-01-31,222.957
1979-02-28,221.597
1979-03-30,226.539
1979-04-30,225.463
1979-05-31,220.589
1979-06-29,224.333
1979-07-31,226.752
1979-08-31,232.01
1979-09-28,241.968
1979-10-31,222.442
1979-11-30,224.985
1979-12-31,232.329
1980-01-31,243.294
1980-02-29,242.009
1980-03-31,216.019
1980-04-30,236.139
1980-05-30,246.841
1980-06-30,262.278
1980-07-31,260.655
1980-08-29,269.365
1980-09-30,278.428
1980-10-31,289.826
1980-11-28,283.663
1980-12-31,284.786
1981-01-30,280.574
1981-02-27,276.575
1981-03-31,286.27
1981-04-30,293.742
1981-05-29,281.09
1981-06-30,282.829
1981-07-31,271.116
1981-08-31,277.247
1981-09-30,249.427
1981-10-30,253.291
1981-11-30,281.179
1981-12-31,278.298
1982-01-29,276.192
1982-02-26,258.409
1982-03-31,245.683
1982-04-30,261.4
1982-05-31,257.793
1982-06-30,238.293
1982-07-30,235.351
1982-08-31,235.315
1982-09-30,233.644
1982-10-29,234.469
1982-11-30,253.11
1982-12-31,273.128
1983-01-31,270.643
1983-02-28,278.0
1983-03-31,288.67
1983-04-29,305.015
1983-05-31,303.385
1983-06-30,310.174
1983-07-29,310.762
1983-08-31,305.681
1983-09-30,317.432
1983-10-31,317.046
1983-11-30,324.462
1983-12-30,337.836
1984-01-31,352.821
1984-02-29,355.913
1984-03-30,389.306
1984-04-30,382.822
1984-05-31,343.938
1984-06-29,343.51
1984-07-31,321.482
1984-08-31,348.715
1984-09-28,345.638
1984-10-31,354.281
1984-11-30,355.62
1984-12-31,362.775
1985-01-31,370.929
1985-02-28,368.736
1985-03-29,397.34
1985-04-30,395.98
1985-05-31,412.806
1985-06-28,423.412
1985-07-31,445.28
1985-08-30,459.583
1985-09-30,486.477
1985-10-31,519.576
1985-11-29,540.905
1985-12-31,566.52518
1986-01-31,580.72703
1986-02-28,645.055973
1986-03-31,735.763667
1986-04-30,783.942982
1986-05-30,749.078974
1986-06-30,800.14832
1986-07-31,849.475876
1986-08-29,933.205718
1986-09-30,923.627427
1986-10-31,861.929824
1986-11-28,911.593972
1986-12-31,959.919589
1987-01-30,1061.858978
1987-02-27,1093.681426
1987-03-31,1183.333769
1987-04-30,1308.506443
1987-05-29,1308.500939
1987-06-30,1266.813226
1987-07-31,1264.5858
1987-08-31,1359.422448
1987-09-30,1338.028025
1987-10-30,1150.541
1987-11-30,1161.865406
1987-12-31,1196.371136
1988-01-29,1217.729154
1988-02-29,1298.93673
1988-03-31,1378.764323
1988-04-29,1398.768145
1988-05-31,1353.954585
1988-06-30,1318.27153
1988-07-29,1359.630594
1988-08-31,1271.226601
1988-09-30,1326.755109
1988-10-31,1440.298168
1988-11-30,1526.090975
1988-12-30,1534.571349
1989-01-31,1561.596172
1989-02-28,1569.626836
1989-03-31,1538.82142
1989-04-28,1553.093495
1989-05-31,1468.57198
1989-06-30,1443.878007
1989-07-31,1625.186137
1989-08-31,1552.098769
1989-09-29,1622.766589
1989-10-31,1557.562613
1989-11-30,1635.850072
1989-12-29,1696.261365
1990-01-31,1633.145249
1990-02-28,1519.159521
1990-03-30,1360.858342
1990-04-30,1350.061606
1990-05-31,1504.148486
1990-06-29,1490.883945
1990-07-31,1511.882747
1990-08-31,1365.08197
1990-09-28,1174.83804
1990-10-31,1357.869859
1990-11-30,1277.75178
1990-12-31,1298.543677
1991-01-31,1340.49541
1991-02-28,1484.181531
1991-03-29,1395.063817
1991-04-30,1408.793521
1991-05-31,1423.534471
1991-06-28,1318.940397
1991-07-31,1383.72755
1991-08-30,1355.593719
1991-09-30,1432.013828
1991-10-31,1452.288359
1991-11-29,1384.484633
1991-12-31,1456.0062539
1992-01-31,1424.9338655
1992-02-28,1373.9314095
1992-03-31,1283.221542
1992-04-30,1289.2579600000001
1992-05-29,1375.5532515
1992-06-30,1310.3523801
1992-07-31,1276.8163312
1992-08-31,1356.8987436999998
1992-09-30,1330.1037258
1992-10-30,1260.3344711
1992-11-30,1272.1944806
1992-12-31,1278.7744679
1993-01-29,1278.617028
1993-02-26,1317.239676
1993-03-31,1432.057548
1993-04-30,1567.963745
1993-05-31,1601.079417
1993-06-30,1576.0985449999998
1993-07-30,1631.269721
1993-08-31,1719.3312159999998
1993-09-30,1680.630414
1993-10-29,1732.423236408476
1993-11-30,1580.9913846325312
1993-12-31,1695.1502774324322
1994-01-31,1838.4674752071344
1994-02-28,1833.3749533753205
1994-03-31,1754.4085866801506
1994-04-29,1828.8465233858785
1994-05-31,1818.3470349026031
1994-06-30,1844.0441912825277
1994-07-29,1861.7783550798765
1994-08-31,1905.8557563455329
