Date,KOKUSAI INDEX (WORLD ex JP)
1969-12-31,100.0
1970-01-30,94.290068
1970-02-27,97.317043
1970-03-31,97.455547
1970-04-30,88.473267
1970-05-29,82.749603
1970-06-30,80.555847
1970-07-31,85.777715
1970-08-31,88.779277
1970-09-30,91.819909
1970-10-30,90.358355
1970-11-30,92.595823
1970-12-31,97.372686
1971-01-29,101.807798
1971-02-26,102.712531
1971-03-31,107.020746
1971-04-30,110.414758
1971-05-31,107.708962
1971-06-30,108.339516
1971-07-30,106.490211
1971-08-31,109.306363
1971-09-30,108.036519
1971-10-29,103.94466
1971-11-30,104.502411
1971-12-31,113.697923
1972-01-31,117.591154
1972-02-29,121.758397
1972-03-31,123.193925
1972-04-28,124.55614
1972-05-31,126.627959
1972-06-30,123.188307
1972-07-31,124.537512
1972-08-31,128.108193
1972-09-29,125.6032
1972-10-31,126.418949
1972-11-30,131.862748
1972-12-29,133.461387
1973-01-31,133.530621
1973-02-28,133.249117
1973-03-30,133.418398
1973-04-30,127.737261
1973-05-31,126.928591
1973-06-29,127.560657
1973-07-31,130.030202
1973-08-31,124.713537
1973-09-28,129.688946
1973-10-31,131.231592
1973-11-30,114.336871
1973-12-31,114.055917
1974-01-31,115.083377
1974-02-28,116.570357
1974-03-29,113.038156
1974-04-30,110.733814
1974-05-31,105.240153
1974-06-28,101.987551
1974-07-31,96.500771
1974-08-30,87.3583
1974-09-30,78.078039
1974-10-31,87.724469
1974-11-29,85.093478
1974-12-31,83.973326
1975-01-31,97.347819
1975-02-28,105.225547
1975-03-31,105.744253
1975-04-30,110.687756
1975-05-30,113.719411
1975-06-30,115.174934
1975-07-31,108.751659
1975-08-29,107.469004
1975-09-30,103.247703
1975-10-31,109.874508
1975-11-28,113.141234
1975-12-31,113.095581
1976-01-30,123.594297
1976-02-27,122.465359
1976-03-31,124.092686
1976-04-30,122.983239
1976-05-31,120.600318
1976-06-30,124.022754
1976-07-30,123.008484
1976-08-31,122.143655
1976-09-30,123.219414
1976-10-29,119.196301
1976-11-30,118.842017
1976-12-31,126.588739
1977-01-31,122.275755
1977-02-28,120.772285
1977-03-31,120.081282
1977-04-29,121.258733
1977-05-31,119.477522
1977-06-30,123.94283
1977-07-29,122.253228
1977-08-31,121.776552
1977-09-30,123.259008
1977-10-31,120.412356
1977-11-30,122.123499
1977-12-30,124.811992
1978-01-31,119.644147
1978-02-28,117.727886
1978-03-31,121.148517
1978-04-28,127.904739
1978-05-31,129.595231
1978-06-30,128.713672
1978-07-31,137.094112
1978-08-31,141.402212
1978-09-29,142.70605
1978-10-31,136.907173
1978-11-30,133.973774
1978-12-29,137.847887
1979-01-31,142.303918
1979-02-28,140.254793
1979-03-30,148.438288
1979-04-30,149.092063
1979-05-31,145.558607
1979-06-29,150.409373
1979-07-31,151.836563
1979-08-31,158.999361
1979-09-28,162.659408
1979-10-31,150.637777
1979-11-30,157.251548
1979-12-31,160.437537
1980-01-31,171.328359
1980-02-29,172.642495
1980-03-31,151.664785
1980-04-30,161.104837
1980-05-30,168.687962
1980-06-30,177.045743
1980-07-31,185.270376
1980-08-29,187.309568
1980-09-30,191.650399
1980-10-31,197.386454
1980-11-28,208.476091
1980-12-31,200.442811
1981-01-30,192.615052
1981-02-27,193.856107
1981-03-31,199.742614
1981-04-30,196.691844
1981-05-29,193.113127
1981-06-30,191.116282
1981-07-31,188.738703
1981-08-31,182.434442
1981-09-30,169.57248
1981-10-30,176.024828
1981-11-30,188.401971
1981-12-31,182.726896
1982-01-29,180.101842
1982-02-26,169.992521
1982-03-31,167.955582
1982-04-30,174.771462
1982-05-31,170.820926
1982-06-30,163.612831
1982-07-30,162.304496
1982-08-31,176.239148
1982-09-30,178.442233
1982-10-29,192.74652
1982-11-30,198.664771
1982-12-31,204.903523
1983-01-31,211.9344
1983-02-28,216.52742
1983-03-31,223.900777
1983-04-29,242.002784
1983-05-31,239.055766
