Date,EM LATIN AMERICA ex BRAZIL IMI GROWTH
1996-05-31,1000.0
1996-06-28,993.0214415020314
1996-07-31,945.6055684226035
1996-08-30,971.9430648730646
1996-09-30,988.3258319519834
1996-10-31,935.9352230134632
1996-11-29,949.2560908576742
1996-12-31,950.6690407994618
1997-01-01,950.6758359199682
1997-01-02,946.7254862277763
1997-01-03,955.6560474454267
1997-01-06,967.889441175301
1997-01-07,977.0736994855529
1997-01-08,991.0408348599493
1997-01-09,991.2510934469908
1997-01-10,995.7177429168217
1997-01-13,995.0900290474614
1997-01-14,1009.1824919780663
1997-01-15,1023.6479934337627
1997-01-16,1017.8305449008419
1997-01-17,1026.090050471372
1997-01-20,1029.2932829176884
1997-01-21,1026.2228276165329
1997-01-22,1021.875349492657
1997-01-23,1023.7640725541697
1997-01-24,1010.0705577049424
1997-01-27,1004.2602938692922
1997-01-28,1006.2568287833479
1997-01-29,1000.3379049796362
1997-01-30,1009.0904082161311
1997-01-31,1010.5288137523701
1997-02-03,1013.6660971765057
1997-02-04,1020.5404555230755
1997-02-05,1020.7835756244383
1997-02-06,1018.9301412774659
1997-02-07,1025.7337053101928
1997-02-10,1027.2746750542635
1997-02-11,1030.891799742267
1997-02-12,1042.7166615572119
1997-02-13,1045.387434139329
1997-02-14,1050.4156544402533
1997-02-17,1054.053405997527
1997-02-18,1055.8714380723106
1997-02-19,1064.2889141127569
1997-02-20,1063.198108841188
1997-02-21,1071.0847210445124
1997-02-24,1079.2919659452866
1997-02-25,1086.9117042729827
1997-02-26,1077.8523915508167
1997-02-27,1054.6096822205502
1997-02-28,1051.105246098206
1997-03-03,1037.554909332645
1997-03-04,1034.8278997763093
1997-03-05,1033.0776343034936
1997-03-06,1037.5630516123658
1997-03-07,1046.0032353792467
1997-03-10,1056.1725439306524
1997-03-11,1047.9867207675045
1997-03-12,1040.8979214119572
1997-03-13,1033.7731492681546
1997-03-14,1036.2087244026359
1997-03-17,1030.1047750569571
1997-03-18,1030.6371884187788
1997-03-19,1034.4504318824008
1997-03-20,1033.4367891252193
1997-03-21,1036.136992979805
1997-03-24,1041.5386347870844
1997-03-25,1044.9449377508279
1997-03-26,1046.7454282269757
1997-03-27,1048.0836032447298
1997-03-28,1047.9572547589648
1997-03-31,1034.313616525588
1997-04-01,1030.6627981264269
1997-04-02,1032.562596336445
1997-04-03,1033.6198192259976
1997-04-04,1035.442061853518
1997-04-07,1044.5730841321015
1997-04-08,1043.515779027317
1997-04-09,1045.0361740118788
1997-04-10,1043.1836374526888
1997-04-11,1034.7366750202534
1997-04-14,1035.0003390758257
1997-04-15,1038.312449548622
1997-04-16,1047.8005410956684
1997-04-17,1044.4330430932284
1997-04-18,1045.9008625318538
1997-04-21,1041.8843006365566
1997-04-22,1052.4221403525712
1997-04-23,1056.6854254007753
1997-04-24,1049.7508603373535
1997-04-25,1050.752773637264
1997-04-28,1041.45456092927
1997-04-29,1046.9665372729694
1997-04-30,1047.4925513358432
1997-05-01,1048.1097407698187
1997-05-02,1054.0245557798514
1997-05-05,1057.0575631065794
1997-05-06,1060.1703433466864
1997-05-07,1056.4096185253336
1997-05-08,1064.9492536362113
1997-05-09,1068.8561745846987
1997-05-12,1072.7376981713949
1997-05-13,1072.7783660868552
1997-05-14,1070.0956620674358
1997-05-15,1071.9400764203135
1997-05-16,1072.5346273922219
1997-05-19,1075.3106652298482
1997-05-20,1083.3063582106358
1997-05-21,1091.6448891119524
1997-05-22,1095.3044265645397
1997-05-23,1099.3892332457483
1997-05-26,1098.3448463659774
1997-05-27,1099.1271123966364
1997-05-28,1095.7373419651756
1997-05-29,1098.844332516845
1997-05-30,1113.3697675586511
1997-06-02,1128.3143575338454
1997-06-03,1130.0975056330512
1997-06-04,1128.58961945573
1997-06-05,1123.3943410134634
1997-06-06,1124.3838841399893
1997-06-09,1123.614413038738
1997-06-10,1126.5207190317606
1997-06-11,1135.5444379890175
1997-06-12,1148.8012879365567
1997-06-13,1153.7279262051673
1997-06-16,1152.2297861956888
1997-06-17,1154.2175268100445
1997-06-18,1157.1787495069693
1997-06-19,1161.9511268198635
1997-06-20,1167.139828132358
1997-06-23,1164.7518049731395
1997-06-24,1164.435916489402
1997-06-25,1163.1406294900585
1997-06-26,1167.7283392182007
1997-06-27,1171.7356185482256
1997-06-30,1172.4788626307075
1997-07-01,1182.8671434129046
1997-07-02,1187.416115213161
1997-07-03,1193.9723899295368
