Date,EM GCC COUNTRIES IMI GROWTH
2014-05-30,1000.0
2014-06-02,981.7175331677844
2014-06-03,958.7900992874586
2014-06-04,949.6655167725975
2014-06-05,960.7904186258259
2014-06-06,960.7780339071206
2014-06-09,909.9724901425893
2014-06-10,894.0483543792411
2014-06-11,885.5018827412999
2014-06-12,904.7091735442066
2014-06-13,904.7032656983589
2014-06-16,849.4515661301618
2014-06-17,849.5483540691582
2014-06-18,860.8923632527046
2014-06-19,862.8413662983105
2014-06-20,862.8413662983104
2014-06-23,821.6342860061509
2014-06-24,796.6719902718833
2014-06-25,807.1159735791733
2014-06-26,785.7957025663154
2014-06-27,785.7910178333047
2014-06-30,731.8328066931391
2014-07-01,768.9803232099092
2014-07-02,815.0990844137704
2014-07-03,817.8321934945237
2014-07-04,817.8377441414723
2014-07-07,833.6788775827038
2014-07-08,837.732286283481
2014-07-09,840.9997940459424
2014-07-10,857.4398750777162
2014-07-11,857.4398750777162
2014-07-14,863.863334092086
2014-07-15,879.8104396254113
2014-07-16,893.6990131378211
2014-07-17,895.2693509077014
2014-07-18,895.2693509077014
2014-07-21,870.4596127118336
2014-07-22,872.713783797368
2014-07-23,865.4054304854814
2014-07-24,850.7413310767728
2014-07-25,850.7413310767728
2014-07-28,854.3913666553584
2014-07-29,854.4087651382328
2014-07-30,854.4087651382326
2014-07-31,867.0067597183969
2014-08-01,867.0067597183969
2014-08-04,869.5821103172502
2014-08-05,872.3662264732394
2014-08-06,855.9716731640139
2014-08-07,859.880120737277
2014-08-08,859.880120737277
2014-08-11,870.1285665325738
2014-08-12,873.8278999345738
2014-08-13,889.9175511186501
2014-08-14,888.4170754880146
2014-08-15,888.3995958328425
2014-08-18,896.0173043427296
2014-08-19,904.2669735907185
2014-08-20,901.99884220125
2014-08-21,908.6379039919246
2014-08-22,908.6063749468204
2014-08-25,915.4694176053423
2014-08-26,918.9959955321228
2014-08-27,915.322038442576
2014-08-28,883.367592301939
2014-08-29,883.3854717629188
2014-09-01,915.8256435032445
2014-09-02,919.0795978111702
2014-09-03,929.1111263043372
2014-09-04,932.2746542360554
2014-09-05,932.2746542360557
2014-09-08,930.7749100405883
2014-09-09,931.1105516221188
2014-09-10,914.0145092718324
