Date,EM EASTERN EUROPE IMI GROWTH
1996-11-29,220.74819191974723
1996-12-31,229.9955156652716
1997-01-01,229.9955156652716
1997-01-02,231.21694641648932
1997-01-03,230.6572615982143
1997-01-06,233.19323007934636
1997-01-07,236.81458461108411
1997-01-08,237.8864888427899
1997-01-09,240.27362104260894
1997-01-10,239.58835501127183
1997-01-13,240.25692536655922
1997-01-14,241.04132330635798
1997-01-15,242.99662499587816
1997-01-16,244.71381608139424
1997-01-17,242.61639788619698
1997-01-20,242.35598071649093
1997-01-21,243.41774916101312
1997-01-22,243.49972810094667
1997-01-23,243.95630663947944
1997-01-24,246.88171813798203
1997-01-27,248.44244228892376
1997-01-28,248.6990150552708
1997-01-29,245.95940376190555
1997-01-30,247.73370429000323
1997-01-31,249.2864123796242
1997-02-03,253.33179445005592
1997-02-04,256.5256152051089
1997-02-05,259.06850161306755
1997-02-06,262.03297241434746
1997-02-07,260.9723516988774
1997-02-10,258.33476133274314
1997-02-11,258.52109927523975
1997-02-12,257.95488223020493
1997-02-13,256.10396868292196
1997-02-14,260.8916725955827
1997-02-17,260.1214262839883
1997-02-18,262.2239994000854
1997-02-19,260.582721572793
1997-02-20,260.1086875791143
1997-02-21,261.5069695453264
1997-02-24,263.18559373799945
1997-02-25,262.74005837004336
1997-02-26,261.2176997397307
1997-02-27,254.11241109110605
1997-02-28,250.89994702753646
1997-03-03,251.7330372601029
1997-03-04,250.05136587079946
1997-03-05,245.40293351003226
1997-03-06,243.48761751111127
1997-03-07,243.84730119226663
1997-03-10,244.02522796532665
1997-03-11,242.08250150105152
1997-03-12,242.70565946787096
1997-03-13,239.75686839098955
1997-03-14,237.0632919670378
1997-03-17,236.05659757719047
1997-03-18,236.06546325593314
1997-03-19,234.40657259950362
1997-03-20,230.11297350008175
1997-03-21,229.80007804657325
1997-03-24,229.88437971939712
1997-03-25,229.77048980714284
1997-03-26,232.11428947608593
1997-03-27,235.22256415928445
1997-03-28,235.0295811834054
1997-03-31,235.57813101636717
