Date,EM (EMERGING MARKETS) IMI GROWTH
1994-05-31,530.9514030597519
1994-06-30,519.9365275243165
1994-07-29,552.9582083766721
1994-08-31,629.0056437805597
1994-09-30,640.454354335737
1994-10-31,638.1499179514785
1994-11-30,603.3264232375194
1994-12-30,573.4126282196942
1995-01-31,528.034307744645
1995-02-28,526.3653820243567
1995-03-31,510.59015790943266
1995-04-28,516.8306822659567
1995-05-31,560.7341573178737
1995-06-30,554.5732940298386
1995-07-31,566.1721060553892
1995-08-31,551.2943478641195
1995-09-29,547.9365438073355
1995-10-31,531.177258839602
1995-11-30,516.1193874524638
1995-12-29,540.1219280472626
1996-01-31,578.6149741663907
1996-02-29,568.375664830154
1996-03-29,567.2944491800317
1996-04-30,584.0484150524952
1996-05-31,584.8159334665631
1996-06-28,587.0215523866941
1996-07-31,544.4594492103558
1996-08-30,558.1498156743253
1996-09-30,565.1640307484357
1996-10-31,545.4398682497571
1996-11-29,552.4967400201331
1996-12-31,554.687877456834
1997-01-01,554.7511474466367
1997-01-02,553.6721141712958
1997-01-03,556.0960023737242
1997-01-06,559.0711704386351
1997-01-07,564.6015912111177
1997-01-08,570.8869029153592
1997-01-09,572.4982771553599
1997-01-10,575.976371122224
1997-01-13,576.0928540961183
1997-01-14,579.1194435886431
1997-01-15,584.3501883803526
1997-01-16,584.2241036398915
1997-01-17,586.6381715028168
1997-01-20,589.9903283710669
1997-01-21,588.5839424928232
1997-01-22,589.3376742882863
1997-01-23,591.1981099678517
1997-01-24,591.1778156150426
1997-01-27,592.1222204786066
1997-01-28,590.9976435999826
1997-01-29,587.7223977512992
1997-01-30,589.6363073220544
1997-01-31,590.4224750574091
1997-02-03,593.0037590991657
1997-02-04,594.047564974028
1997-02-05,597.2664144784603
1997-02-06,599.1377964357711
1997-02-07,601.8950807706129
1997-02-10,603.6670447054208
1997-02-11,604.4506079151167
1997-02-12,609.9484479728352
1997-02-13,612.297572550652
1997-02-14,611.6661300048622
1997-02-17,614.7716495231056
1997-02-18,614.3012164299541
1997-02-19,617.8472217761214
1997-02-20,618.1107725135279
1997-02-21,617.9773225724554
1997-02-24,619.8898970528841
1997-02-25,624.1452992140123
1997-02-26,620.3751973683158
1997-02-27,614.1780809868267
1997-02-28,614.9817022042375
1997-03-03,614.1928964887396
1997-03-04,613.9348171683243
1997-03-05,612.2192074789809
1997-03-06,612.8595845422248
1997-03-07,615.0064871670841
1997-03-10,618.1360934250979
1997-03-11,619.2735846624923
1997-03-12,617.3860664629298
1997-03-13,615.1630328977268
1997-03-14,612.1913502381624
1997-03-17,612.109234557664
1997-03-18,610.2392271598688
1997-03-19,608.4203047987526
1997-03-20,609.8589258801177
1997-03-21,605.6614016740601
1997-03-24,602.9316936007145
1997-03-25,604.865951577201
1997-03-26,606.6150049210898
1997-03-27,606.9541211143487
1997-03-28,606.7777025498677
1997-03-31,599.5593314106096
1997-04-01,596.8005918823528
1997-04-02,598.3545868543785
1997-04-03,597.5835749540456
1997-04-04,600.0095098628591
1997-04-07,601.1992925298174
1997-04-08,601.059429774192
1997-04-09,604.0210195331559
1997-04-10,600.2812091366147
1997-04-11,596.4681525676336
1997-04-14,590.205970707856
1997-04-15,588.9682795893773
1997-04-16,590.9667106356836
1997-04-17,589.5859477065794
1997-04-18,589.1180323667389
1997-04-21,591.928279586087
1997-04-22,591.2780409169188
1997-04-23,595.2251600849235
1997-04-24,593.9985213164118
1997-04-25,592.5853955904607
1997-04-28,589.6250866503763
1997-04-29,587.1198508674726
1997-04-30,588.6400743546624
1997-05-01,588.8872769830515
1997-05-02,588.0456992783943
1997-05-05,588.4821879820463
1997-05-06,590.5772732205182
1997-05-07,590.2235477098138
1997-05-08,591.197621881272
1997-05-09,591.6847315383083
1997-05-12,588.1557013637652
1997-05-13,586.7526515642523
1997-05-14,583.544743805917
1997-05-15,580.6220829134684
1997-05-16,581.8160793483893
1997-05-19,583.6819921341639
1997-05-20,586.0179757032307
1997-05-21,588.5027697183006
