Date,EM FAR EAST IMI GROWTH
1994-05-31,1162.2606401278185
1994-06-30,1114.06965461423
1994-07-29,1167.3792115829374
1994-08-31,1303.8384535619728
1994-09-30,1315.7939705950298
1994-10-31,1336.7476642671572
1994-11-30,1219.8947306648142
1994-12-30,1175.9796020656659
1995-01-31,1046.9557970335472
1995-02-28,1137.826802141024
1995-03-31,1132.6159385889152
1995-04-28,1120.5532255475914
1995-05-31,1257.4909108542186
1995-06-30,1250.837726728574
1995-07-31,1279.511892534112
1995-08-31,1212.8122731061485
1995-09-29,1200.8584531135273
1995-10-31,1165.4820177182044
1995-11-30,1119.2773372984898
1995-12-29,1189.1462924047385
1996-01-31,1279.3127966907962
1996-02-29,1270.0732064393703
1996-03-29,1287.44527206604
1996-04-30,1348.1144321035201
1996-05-31,1339.846352597486
1996-06-28,1309.2814178617134
1996-07-31,1176.0477119544894
1996-08-30,1222.7579660044848
1996-09-30,1238.3933941185724
1996-10-31,1185.3055354995302
1996-11-29,1217.7217245869094
1996-12-31,1202.0969218418893
1997-01-01,1202.436172675619
1997-01-02,1198.8938195547555
1997-01-03,1203.6808177477676
1997-01-06,1207.207331632412
1997-01-07,1212.5006491316908
1997-01-08,1224.6903122363842
1997-01-09,1226.4176165485662
1997-01-10,1233.5235098811113
1997-01-13,1230.5968786141398
1997-01-14,1225.553723669115
1997-01-15,1233.0346662901052
1997-01-16,1239.8952848605497
1997-01-17,1243.703979292456
1997-01-20,1256.7437453530604
1997-01-21,1248.7110264820851
1997-01-22,1251.317644006483
1997-01-23,1254.6290688029999
1997-01-24,1260.7201639072277
1997-01-27,1254.7545995484247
1997-01-28,1250.7564167285148
1997-01-29,1245.2773436618013
1997-01-30,1249.5290113899375
1997-01-31,1249.0638466681048
1997-02-03,1245.4107986457257
1997-02-04,1243.2139950980813
1997-02-05,1246.0937673634471
1997-02-06,1248.1043350816549
1997-02-07,1247.6566663747683
1997-02-10,1248.37195533968
1997-02-11,1249.3704264466853
1997-02-12,1251.0937838319803
1997-02-13,1255.9199125488026
1997-02-14,1253.808509009683
1997-02-17,1259.1243378361924
1997-02-18,1251.7769306644213
1997-02-19,1267.7124726407185
1997-02-20,1275.2934598521144
1997-02-21,1275.7658196876264
1997-02-24,1274.3061409581978
1997-02-25,1279.5728472433073
1997-02-26,1273.8022351685263
1997-02-27,1269.521030167819
1997-02-28,1273.135607863302
1997-03-03,1265.6920494951687
1997-03-04,1260.038867395448
1997-03-05,1258.0278897430235
1997-03-06,1255.366784521245
1997-03-07,1261.11051825775
1997-03-10,1258.2660399509177
1997-03-11,1263.0034714370618
1997-03-12,1263.4387953271575
1997-03-13,1256.8635672543473
1997-03-14,1243.628909590746
1997-03-17,1248.5831713814107
1997-03-18,1246.267190419503
1997-03-19,1245.1661570843671
1997-03-20,1244.8020122150538
1997-03-21,1225.3622751185878
1997-03-24,1211.2878601689765
1997-03-25,1214.686074295219
1997-03-26,1226.6894564579884
1997-03-27,1228.648426955452
1997-03-28,1229.6874271233514
1997-03-31,1223.3722195167395
1997-04-01,1215.9812250378275
1997-04-02,1216.0206242586169
1997-04-03,1204.6874637454737
1997-04-04,1198.2389097645703
1997-04-07,1196.2836263368029
1997-04-08,1202.2206375270412
1997-04-09,1209.2393161731352
1997-04-10,1199.7908552355802
1997-04-11,1194.9846949794864
1997-04-14,1176.8526427666834
