Date,ANDEAN VALUE
2002-05-31,1000.0
2002-06-03,1001.4608830410286
2002-06-04,986.5050370591649
2002-06-05,993.7007949376488
2002-06-06,987.1278178865674
2002-06-07,977.3902306435306
2002-06-10,980.9379583630281
2002-06-11,975.4210753429488
2002-06-12,962.3141544493136
2002-06-13,960.573519427623
2002-06-14,959.6673917428708
2002-06-17,971.1441459165964
2002-06-18,966.148799855554
2002-06-19,946.8237552982426
2002-06-20,930.0804584076841
2002-06-21,905.3293790829871
2002-06-24,882.0131072079581
2002-06-25,895.5561286616614
2002-06-26,857.2895539976744
2002-06-27,870.1264481413934
2002-06-28,872.3516558106605
2002-07-01,870.7202557944013
2002-07-02,858.7786000054842
2002-07-03,854.247889561205
2002-07-04,864.4437701741853
2002-07-05,879.0887569220343
2002-07-08,863.9200571492548
2002-07-09,856.0040703119854
2002-07-10,855.6286960856702
2002-07-11,849.7184251093753
2002-07-12,851.3929106912018
2002-07-15,830.4725017562625
2002-07-16,821.5868274869616
2002-07-17,828.7332984578117
2002-07-18,832.8563848816806
2002-07-19,834.1819090002584
2002-07-22,832.8031130846605
2002-07-23,828.2177335141095
2002-07-24,827.3643930363555
2002-07-25,819.7057229383937
2002-07-26,833.0693345731056
2002-07-29,862.7791170924295
2002-07-30,866.5437219418684
2002-07-31,875.1370035583656
2002-08-01,878.1794590121863
2002-08-02,888.6045290149806
2002-08-05,874.5788320076599
2002-08-06,900.194445986525
2002-08-07,914.3192833511605
2002-08-08,929.4036025960055
2002-08-09,918.5407551353477
2002-08-12,903.481406422418
2002-08-13,898.0535688818521
2002-08-14,892.5121097506644
2002-08-15,901.8436890495826
2002-08-16,902.5865309438218
2002-08-19,912.7475326454022
2002-08-20,909.3977942081277
2002-08-21,900.2615413886085
2002-08-22,915.2702226255952
2002-08-23,909.8199571282217
2002-08-26,909.9683511534987
2002-08-27,897.9039669173397
2002-08-28,884.6530394968723
2002-08-29,885.7386875203727
2002-08-30,896.6089777136023
2002-09-02,888.5192576157193
2002-09-03,867.7242797890862
2002-09-04,868.0722476473276
2002-09-05,866.1977324791525
2002-09-06,867.5885570718931
2002-09-09,881.5601496904068
2002-09-10,888.4257876469749
2002-09-11,887.0521835582662
2002-09-12,874.7219203946312
2002-09-13,866.5323115410994
2002-09-16,864.8221411191604
2002-09-17,865.9161571154464
2002-09-18,858.7557875785803
2002-09-19,853.2950826891682
2002-09-20,833.3849638103708
2002-09-23,807.8455975915487
2002-09-24,799.0695151482125
2002-09-25,810.6891123627278
2002-09-26,822.5138078829599
2002-09-27,812.3895975897783
2002-09-30,800.1406959691546
2002-10-01,810.2199305884145
2002-10-02,809.6310067603221
2002-10-03,807.1551642425379
2002-10-04,815.7103135171811
2002-10-07,801.9908223316143
2002-10-08,803.7112254516429
2002-10-09,779.8118805575729
2002-10-10,777.5538718982135
2002-10-11,791.5259683174008
2002-10-14,788.4128198613038
2002-10-15,790.4386417698767
