Date,EM EASTERN EUROPE VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.05274073763165
2001-01-03,93.83454332797415
2001-01-04,99.59684667426765
2001-01-05,99.57618121626072
2001-01-08,99.33284581715081
2001-01-09,100.39899487017061
2001-01-10,102.29493620948394
2001-01-11,102.85212976374808
2001-01-12,104.38647359380826
2001-01-15,106.59217315564145
2001-01-16,105.53943963167073
2001-01-17,109.40472642001302
2001-01-18,107.25157101487888
2001-01-19,110.9867644580902
2001-01-22,108.17139292067282
2001-01-23,109.29184950933276
2001-01-24,113.58121472295538
2001-01-25,114.81616264192206
2001-01-26,114.86540613740162
2001-01-29,114.65769771227767
2001-01-30,114.38281248006996
2001-01-31,114.05317753550548
2001-02-01,111.57526874692941
2001-02-02,112.78462831348894
2001-02-05,108.38128008002768
2001-02-06,110.77535784613049
2001-02-07,108.673766345786
2001-02-08,111.68869509848433
2001-02-09,109.69119651576845
2001-02-12,109.41399697137423
2001-02-13,113.34212237873466
2001-02-14,113.11030134220957
2001-02-15,117.86361125948461
2001-02-16,113.03021893387995
2001-02-19,111.14697765642418
2001-02-20,110.86018234621574
2001-02-21,103.64326692112073
2001-02-22,105.38058887324037
2001-02-23,103.22750011983699
2001-02-26,105.95601845676381
2001-02-27,103.48134147039578
2001-02-28,104.40972505421546
2001-03-01,101.68115098057147
2001-03-02,101.91496321800528
2001-03-05,105.41011926052126
2001-03-06,108.19765950454305
2001-03-07,108.92947205189628
2001-03-08,108.27654953419723
2001-03-09,107.67616583395285
2001-03-12,103.7865130138082
2001-03-13,104.42510024741067
2001-03-14,101.68749592914575
2001-03-15,104.19727218352104
2001-03-16,104.82987199554152
2001-03-19,106.7048550763414
2001-03-20,106.78975858498092
2001-03-21,104.66944523568456
2001-03-22,103.97373837231109
2001-03-23,104.74789870500493
2001-03-26,106.44430589560693
2001-03-27,105.84355921444195
2001-03-28,105.92264880435292
2001-03-29,104.90762949552051
2001-03-30,105.43549444411546
2001-04-02,104.11717316460155
2001-04-03,100.70693646257855
2001-04-04,98.59350123911085
2001-04-05,102.73683548931838
2001-04-06,101.93902775002601
2001-04-09,103.01591047455314
2001-04-10,105.06201421797397
2001-04-11,107.5725925197724
2001-04-12,106.4681631021303
2001-04-13,107.46491742152214
2001-04-16,107.51673466641824
2001-04-17,106.70705841882952
2001-04-18,111.14878462474569
2001-04-19,110.78189438736922
2001-04-20,107.88440568101935
2001-04-23,105.48055518247679
2001-04-24,106.43593437026696
2001-04-25,106.82638877654945
2001-04-26,109.14744086407342
2001-04-27,111.09308748596065
2001-04-30,110.7746117617701
2001-05-01,110.31397317098853
2001-05-02,110.84122913640513
2001-05-03,110.23840360310079
2001-05-04,110.17448761640296
2001-05-07,111.52339176784302
