Date,EM FAR EAST VALUE
2000-12-29,100.0
2001-01-01,100.31418682213977
2001-01-02,101.09385812317039
2001-01-03,100.74146408909783
2001-01-04,105.27495939273089
2001-01-05,107.53523769581342
2001-01-08,108.69808098431986
2001-01-09,111.68651503613177
2001-01-10,109.45700421669194
2001-01-11,107.61907505912623
2001-01-12,109.27034684318302
2001-01-15,111.29332202126444
2001-01-16,113.11555368468002
2001-01-17,114.32451998717052
2001-01-18,114.4392629569561
2001-01-19,117.61381997897696
2001-01-22,119.73404949304955
2001-01-23,119.38173599585137
2001-01-24,121.54244449037007
2001-01-25,122.30242011285182
2001-01-26,120.55729825771317
2001-01-29,120.88587580454795
2001-01-30,120.14247576739307
2001-01-31,122.95469453464747
2001-02-01,121.37603061044081
2001-02-02,123.75019546074725
2001-02-05,119.01981057498664
2001-02-06,119.70363912158003
2001-02-07,117.98604075877347
2001-02-08,120.69508961740556
2001-02-09,121.43155112752024
2001-02-12,121.11408758818617
2001-02-13,123.3092474186525
2001-02-14,123.16126883122801
2001-02-15,126.03159080575391
2001-02-16,124.00113165451971
2001-02-19,121.78053886306492
2001-02-20,125.79024936515873
2001-02-21,123.69434273449826
2001-02-22,122.68181035579386
2001-02-23,123.20167173024596
2001-02-26,123.20824489838172
2001-02-27,121.46873594972733
2001-02-28,120.73042322311753
2001-03-01,117.26301201685654
2001-03-02,115.09471878437348
2001-03-05,116.466566129297
2001-03-06,116.8905168480739
2001-03-07,117.01037540349459
2001-03-08,116.42760027621055
2001-03-09,115.03213263689048
2001-03-12,111.67656351648301
2001-03-13,111.53191026150373
2001-03-14,112.40586966261702
2001-03-15,112.98771030522984
2001-03-16,114.2559180773157
2001-03-19,112.67860758472062
2001-03-20,111.20174561774235
2001-03-21,112.12655506206656
2001-03-22,112.78440453594528
2001-03-23,112.82915164598164
2001-03-26,114.38519616812073
2001-03-27,112.99099132119494
2001-03-28,113.66364524255447
2001-03-29,113.38328765949053
2001-03-30,112.48441127310794
2001-04-02,110.62246080443312
2001-04-03,108.17098404880927
2001-04-04,103.63758624344162
2001-04-05,104.41352136215012
2001-04-06,105.72268409050147
2001-04-09,103.4598693802067
2001-04-10,104.73334357922235
2001-04-11,108.06632189841743
2001-04-12,107.61953090450467
2001-04-13,107.9413095807396
2001-04-16,107.93454015271524
2001-04-17,108.1032920094919
2001-04-18,111.87332161752123
2001-04-19,111.69226571197132
2001-04-20,108.97228203059427
2001-04-23,109.76965495072237
2001-04-24,110.35801585340288
2001-04-25,110.42388387170732
2001-04-26,109.40303092449052
2001-04-27,110.15098221459287
2001-04-30,111.56735736124078
2001-05-01,111.07620390989352
2001-05-02,112.46711231128927
2001-05-03,113.09611226393748
2001-05-04,111.3375181311017
2001-05-07,112.24342116638664
2001-05-08,111.47927284669268
2001-05-09,112.46598821384325
2001-05-10,111.5939343392458
2001-05-11,113.99338132658143
2001-05-14,113.44275479518525
2001-05-15,112.89502152001427
2001-05-16,111.4614223767415
2001-05-17,114.21668305618827
2001-05-18,114.96269096552273
2001-05-21,115.41120258804258
2001-05-22,117.1504984005743
2001-05-23,120.8948931009934
2001-05-24,121.97551844668688
2001-05-25,121.6659377836427
2001-05-28,120.27954193243251
2001-05-29,121.47739239698406
2001-05-30,120.58854249096112
2001-05-31,121.37545851396995
2001-06-01,120.73160085096335
2001-06-04,121.1147128894555
2001-06-05,121.3782345403838
2001-06-06,122.1299900163285
2001-06-07,120.96664215435337
2001-06-08,122.96570198727467
2001-06-11,123.88289436867765
2001-06-12,122.88506788318604
2001-06-13,121.93676257227983
2001-06-14,119.53230650267358
2001-06-15,119.63546531914768
2001-06-18,118.10987616814799
2001-06-19,118.45965181038355
2001-06-20,118.95661948431757
2001-06-21,119.21480474434934
2001-06-22,118.82069626559871
2001-06-25,117.91679731955257
2001-06-26,117.00392570066249
2001-06-27,117.74355315506905
2001-06-28,117.55945854991803
2001-06-29,119.93161160352419
2001-07-02,118.9812810075019
2001-07-03,118.69597553270478
2001-07-04,118.23364428180655
2001-07-05,119.81667002628612
2001-07-06,118.33204672004523
2001-07-09,116.27617492852887
