Date,EM LATIN AMERICA VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.55447531914528
2001-01-03,102.65908987935998
2001-01-04,104.66654277534661
2001-01-05,101.95490274345086
2001-01-08,102.999972883386
2001-01-09,105.47952063017202
2001-01-10,104.51009138677169
2001-01-11,104.76681676767332
2001-01-12,104.48921862832472
2001-01-15,105.65116724672973
2001-01-16,104.63596455266567
2001-01-17,107.41235578982158
2001-01-18,108.19291149276742
2001-01-19,110.17068288703487
2001-01-22,110.0520309724192
2001-01-23,111.92191263288815
2001-01-24,113.88456310337276
2001-01-25,114.02922051012128
2001-01-26,115.00526641640008
2001-01-29,115.39022141661181
2001-01-30,114.696546244615
2001-01-31,115.12366617018799
2001-02-01,111.48683085093089
2001-02-02,111.10232428575202
2001-02-05,109.37748739063649
2001-02-06,110.8823117761591
2001-02-07,109.2108540073298
2001-02-08,112.79770574786906
2001-02-09,111.31575074548307
2001-02-12,110.8016554427216
2001-02-13,112.12087853929042
2001-02-14,112.36150801730506
2001-02-15,114.38071033325342
2001-02-16,109.73745493993229
2001-02-19,108.69167094419595
2001-02-20,109.24383330602734
2001-02-21,106.38447361706596
2001-02-22,107.8608620860583
2001-02-23,107.61993909279215
2001-02-26,108.63937209998375
2001-02-27,107.32138000218255
2001-02-28,106.33706325243863
2001-03-01,106.95505981600941
2001-03-02,108.03035719844387
2001-03-05,109.1803305552139
2001-03-06,109.20577147205562
2001-03-07,109.80229392996351
2001-03-08,110.05702477142167
2001-03-09,109.11605385392255
2001-03-12,106.06222525087807
2001-03-13,107.74023069834377
2001-03-14,105.8427491907842
2001-03-15,105.97288154235893
2001-03-16,106.97998313567491
2001-03-19,105.55203400484115
2001-03-20,105.96823889917314
2001-03-21,106.63040242192213
2001-03-22,103.31763756908201
2001-03-23,102.52500352117717
2001-03-26,105.3819293928836
2001-03-27,106.8138191299951
2001-03-28,106.46028581133244
2001-03-29,106.07892687385856
2001-03-30,106.92361294246277
2001-04-02,106.71180292629987
2001-04-03,103.59275154436041
2001-04-04,101.8456490393386
2001-04-05,104.95299994100893
2001-04-06,104.53220645114887
2001-04-09,106.18583727431229
2001-04-10,109.68913552917144
2001-04-11,109.62587134249421
2001-04-12,108.33918920228925
2001-04-13,108.33505596099474
2001-04-16,107.48766326204873
2001-04-17,108.86395227247934
2001-04-18,113.49179359429887
2001-04-19,108.82724098184438
2001-04-20,104.16736265429559
2001-04-23,103.0660144915924
2001-04-24,104.5251463253866
2001-04-25,103.96776016046961
2001-04-26,106.6440328861302
2001-04-27,108.768986604395
2001-04-30,110.77231390694034
2001-05-01,109.815645244835
2001-05-02,109.70636213021221
2001-05-03,109.17659757250335
2001-05-04,109.96775773191088
2001-05-07,109.4269102344005
