Date,EM EUROPE VALUE
2000-12-29,100.0
2001-01-01,100.00000245188059
2001-01-02,99.67482319907347
2001-01-03,97.10260502546879
2001-01-04,100.99785356479273
2001-01-05,99.5299965530557
2001-01-08,99.9763725163556
2001-01-09,100.96668156322399
2001-01-10,103.14625190308604
2001-01-11,105.06229281101201
2001-01-12,104.857643255796
2001-01-15,103.11954230168715
2001-01-16,102.97845723976698
2001-01-17,106.58215790837758
2001-01-18,104.88798113464337
2001-01-19,107.4270554488727
2001-01-22,104.76497701528022
2001-01-23,104.47936075151661
2001-01-24,106.24608827908864
2001-01-25,107.10308868280124
2001-01-26,106.5378620456455
2001-01-29,105.9663238679948
2001-01-30,106.62585202034151
2001-01-31,108.3068934404292
2001-02-01,106.90022594725038
2001-02-02,106.17439956334364
2001-02-05,102.36165337252436
2001-02-06,104.59628867351599
2001-02-07,102.64923191873619
2001-02-08,104.42714941641977
2001-02-09,103.37155176954501
2001-02-12,102.26353557920157
2001-02-13,104.83108573343421
2001-02-14,106.25965875015793
2001-02-15,107.93843316168483
2001-02-16,106.99900121390769
2001-02-19,103.3911837594666
2001-02-20,103.2920794552833
2001-02-21,96.06396375841868
2001-02-22,92.70904309907739
2001-02-23,90.2852632020054
2001-02-26,93.72521353992383
2001-02-27,92.29968912200633
2001-02-28,93.08222502819355
2001-03-01,93.13597115660725
2001-03-02,94.2732411778929
2001-03-05,95.65773224470254
2001-03-06,96.82472637851627
2001-03-07,96.87721349743812
2001-03-08,98.09924822314515
2001-03-09,98.20650404917072
2001-03-12,94.30844197205927
2001-03-13,94.40523674272858
2001-03-14,90.3512818360186
2001-03-15,92.66317197995056
2001-03-16,93.83441154645107
2001-03-19,93.67863061124247
2001-03-20,95.1717988511953
2001-03-21,93.37249742626572
2001-03-22,92.61127791723165
2001-03-23,92.81224197927257
2001-03-26,93.68427191764978
2001-03-27,92.52945076165291
2001-03-28,91.95283985594976
2001-03-29,89.94078876456794
2001-03-30,92.48544841732884
2001-04-02,90.7961411813351
2001-04-03,87.54740541027739
2001-04-04,87.01470166392261
2001-04-05,90.38283831789008
2001-04-06,89.65869821260931
2001-04-09,89.04687494244988
2001-04-10,89.91072162931884
2001-04-11,91.83096450042513
2001-04-12,93.00087392239244
2001-04-13,93.21743963731168
2001-04-16,95.25705508013564
2001-04-17,94.19862861874795
2001-04-18,97.28185891050745
2001-04-19,97.78379314058176
2001-04-20,96.52620620520396
2001-04-23,95.65983045221756
2001-04-24,96.551637622333
2001-04-25,96.40144104412232
2001-04-26,98.56779879749368
2001-04-27,103.38195076614707
2001-04-30,103.96498076283643
2001-05-01,103.14112644338728
2001-05-02,102.43206213514485
2001-05-03,102.86342485712132
2001-05-04,102.73408882739375
2001-05-07,101.85983995777204
2001-05-08,103.02057586696203
2001-05-09,101.79717324207168
2001-05-10,102.13280818789369
2001-05-11,101.67614010683654
2001-05-14,100.8261960498363
2001-05-15,99.61075320882867
2001-05-16,100.94250014186414
2001-05-17,102.42342651149627
2001-05-18,104.98808324016072
2001-05-21,105.27272369001209
2001-05-22,105.4010478308334
2001-05-23,104.92705490443525
2001-05-24,104.83483564233406
2001-05-25,105.72548408610288
2001-05-28,103.76738640113058
2001-05-29,102.4961915977197
2001-05-30,101.55230953205798
2001-05-31,103.07983754551525
2001-06-01,105.65702343381905
2001-06-04,107.48408546221482
