Date,EM EASTERN EUROPE ex RUSSIA VALUE
2007-05-31,1000.0
2007-06-01,1019.2594223102251
2007-06-04,1018.2865824931009
2007-06-05,1022.8204366431147
2007-06-06,1005.6946582752831
2007-06-07,1007.1804968811376
2007-06-08,998.2146320842944
2007-06-11,1006.6041661045527
2007-06-12,999.9531925006571
2007-06-13,1011.0668406762853
2007-06-14,1023.7013771045054
2007-06-15,1041.2454438153263
2007-06-18,1037.876549597101
2007-06-19,1038.310197642655
2007-06-20,1030.609603010024
2007-06-21,1019.9104210982391
2007-06-22,1053.7658259689988
2007-06-25,1074.4567045627136
2007-06-26,1101.4634856017633
2007-06-27,1081.7452021054448
2007-06-28,1095.2218132239025
2007-06-29,1086.5360738464217
2007-07-02,1086.8702725242608
2007-07-03,1109.7481480325957
2007-07-04,1115.2233223054966
2007-07-05,1107.9700263918974
2007-07-06,1123.2856098064115
2007-07-09,1126.9375888616557
2007-07-10,1107.4634478983307
2007-07-11,1108.309156430806
2007-07-12,1122.0111771745871
2007-07-13,1131.97798555141
2007-07-16,1136.1818837727326
2007-07-17,1127.0473031197778
2007-07-18,1123.59015061006
2007-07-19,1136.1345291851271
2007-07-20,1122.3122976112525
2007-07-23,1141.6463984066627
2007-07-24,1120.2577112117626
2007-07-25,1115.4908666958147
2007-07-26,1090.7521991075268
2007-07-27,1087.2584832650496
2007-07-30,1081.1404771635255
2007-07-31,1086.8134664293655
2007-08-01,1069.6680865614298
2007-08-02,1075.6196420009185
2007-08-03,1062.7614765656092
2007-08-06,1052.5251629730608
2007-08-07,1062.9502853662161
2007-08-08,1072.117718366786
2007-08-09,1047.7638883340253
2007-08-10,1022.4737140013362
2007-08-13,1043.1633143864856
2007-08-14,1024.8852614684654
2007-08-15,1020.6749836702704
2007-08-16,974.7611257164504
2007-08-17,982.5368968638511
2007-08-20,985.430020782175
2007-08-21,980.2294488578774
2007-08-22,1022.8478734332288
2007-08-23,1032.4677707391866
2007-08-24,1049.3865583190088
2007-08-27,1048.4131517411383
2007-08-28,1033.0940388559711
2007-08-29,1045.6893952570165
2007-08-30,1044.044040399036
2007-08-31,1058.111483118383
2007-09-03,1060.8594615770253
2007-09-04,1067.0374385036102
2007-09-05,1055.0330060442486
2007-09-06,1053.4961901051822
2007-09-07,1037.8177174386074
2007-09-10,1029.6858341096622
2007-09-11,1040.723792501662
2007-09-12,1053.3389280913232
2007-09-13,1065.8707798538658
2007-09-14,1059.3442941760966
2007-09-17,1055.271866521767
2007-09-18,1066.5335224413195
2007-09-19,1100.227304732159
2007-09-20,1102.0812041019715
2007-09-21,1104.028610060104
2007-09-24,1097.0838314770758
2007-09-25,1099.7303675244573
2007-09-26,1103.0439186349263
2007-09-27,1100.4686890505761
2007-09-28,1097.197113531227
2007-10-01,1110.0215157973942
2007-10-02,1114.772147952867
2007-10-03,1103.1845510160938
2007-10-04,1104.4642373517208
2007-10-05,1111.846102295025
2007-10-08,1112.3048446143287
2007-10-09,1129.7558649633293
2007-10-10,1121.128721543783
2007-10-11,1152.6156388545003
2007-10-12,1150.8643757391649
2007-10-15,1162.3532931507955
2007-10-16,1146.1169896450258
2007-10-17,1149.3459779412512
2007-10-18,1136.3203743281106
2007-10-19,1139.9276910564388
2007-10-22,1138.89526992686
2007-10-23,1160.6288199255566
2007-10-24,1157.8727146622539
2007-10-25,1169.7087732240686
2007-10-26,1176.4957801105916
2007-10-29,1186.506594486144
2007-10-30,1174.5273719742663
2007-10-31,1173.8096937633982
2007-11-01,1171.8049646799682
2007-11-02,1159.494280513003
2007-11-05,1151.4532829888892
2007-11-06,1159.505561615818
2007-11-07,1141.2257873355802
2007-11-08,1136.2817218382777
2007-11-09,1122.4956955081248
2007-11-12,1104.3837850415882
2007-11-13,1112.7412253515472
2007-11-14,1111.140047063265
2007-11-15,1097.0406870654706
2007-11-16,1089.4707866815957
2007-11-19,1091.5914969970688
2007-11-20,1092.8735353636062
2007-11-21,1072.052054127117
2007-11-22,1076.0367638439902
2007-11-23,1084.4441522311135
2007-11-26,1069.2587491169286
2007-11-27,1042.9145901631048
2007-11-28,1075.4041182123203
2007-11-29,1078.4659610560818
2007-11-30,1098.0631951927971
2007-12-03,1089.1691986150756
2007-12-04,1096.1065391243276
2007-12-05,1132.9959073488453
2007-12-06,1145.1441356656933
2007-12-07,1152.9804826698012
2007-12-10,1163.8032267373449
2007-12-11,1153.537165867857
2007-12-12,1155.8528259911834
2007-12-13,1133.6695931096149
2007-12-14,1114.1242090436126
2007-12-17,1083.8945194467992
