Date,MALAYSIA SMALL VALUE
1998-12-31,262.70040415271274
1999-01-01,262.70040415271274
1999-01-04,255.77353463170914
1999-01-05,261.800008780248
1999-01-06,273.08170974209185
1999-01-07,272.8544955942775
1999-01-08,280.09081714201176
1999-01-11,285.6489520889409
1999-01-12,281.44757627236794
1999-01-13,275.6039484302871
1999-01-14,273.34669683187474
1999-01-15,277.1268393187491
1999-01-18,276.95956434459794
1999-01-19,276.73287103815125
1999-01-20,277.59388684190856
1999-01-21,283.674693041247
1999-01-22,292.1332091101421
1999-01-25,290.1937243990233
1999-01-26,286.7056295973
1999-01-27,286.68188598476735
1999-01-28,281.91313888515845
1999-01-29,283.27500822143094
1999-02-01,284.5780557182255
1999-02-02,272.1271443223903
1999-02-03,265.5410344699228
1999-02-04,272.52725439510317
1999-02-05,264.34816253771373
1999-02-08,245.59718313618652
1999-02-09,260.18770035122355
1999-02-10,254.54041318334893
1999-02-11,263.6890744968372
1999-02-12,270.03038339376633
1999-02-15,271.0276922453519
1999-02-16,272.3973760210105
1999-02-17,271.11213958113564
1999-02-18,267.0446497692858
1999-02-19,270.2079827508583
1999-02-22,267.91693093869407
1999-02-23,266.7183720620356
1999-02-24,260.31212322611765
1999-02-25,260.0802043643544
1999-02-26,314.9362176555754
1999-03-01,308.0476199885169
1999-03-02,305.0433990335238
1999-03-03,299.1163797133014
1999-03-04,303.8029546964942
1999-03-05,300.6937649006959
1999-03-08,298.4047032909723
1999-03-09,304.80877925952
1999-03-10,299.1494717332959
1999-03-11,298.68711528327515
1999-03-12,298.96966325344573
1999-03-15,295.69690407029105
1999-03-16,292.8428077817025
1999-03-17,288.16891984209843
1999-03-18,290.02523079644874
1999-03-19,291.104191961764
1999-03-22,282.16690822537504
1999-03-23,278.5389678990938
1999-03-24,269.3552428614688
1999-03-25,278.5740402131278
1999-03-26,282.50824898749426
1999-03-29,282.9563818822211
1999-03-30,280.53958874042513
1999-03-31,284.9948578474121
1999-04-01,301.5385047214422
1999-04-02,315.37307091895366
1999-04-05,307.45710839098155
1999-04-06,313.03103685803734
1999-04-07,307.5668741676418
1999-04-08,304.76989805185616
1999-04-09,312.76176182947165
1999-04-12,309.94408266824337
1999-04-13,319.20173896303334
1999-04-14,314.80397010183947
1999-04-15,324.67328520356733
1999-04-16,342.040577325793
1999-04-19,354.13268522067
1999-04-20,346.4864017447445
1999-04-21,340.5468550668182
1999-04-22,358.3068532579976
1999-04-23,363.9526534293752
1999-04-26,385.21057795199437
1999-04-27,376.25500889095304
1999-04-28,376.56549829470924
1999-04-29,386.4647142450342
1999-04-30,391.01875552200005
1999-05-03,382.5845423466045
1999-05-04,388.0961297675632
1999-05-05,395.64886844182934
1999-05-06,395.97898194504376
1999-05-07,387.73196722843494
1999-05-10,395.2624539663246
1999-05-11,413.8976440736632
1999-05-12,410.2342795128755
1999-05-13,413.60185649296085
1999-05-14,420.1849114601781
1999-05-17,426.76871721845794
1999-05-18,453.8437830003756
1999-05-19,457.55575338255267
1999-05-20,470.3606338715282
1999-05-21,469.1569127138834
1999-05-24,440.23465022655364
1999-05-25,453.8222451634391
1999-05-26,452.5295151699144
1999-05-27,451.2691825683126
1999-05-28,440.48789019237023
1999-05-31,425.97964259209243
1999-06-01,446.50922292917215
1999-06-02,437.14272025445416
1999-06-03,436.1372323330788
1999-06-04,434.50892810618666
1999-06-07,428.1818063092588
1999-06-08,448.7266856096243
1999-06-09,446.62596200951737
1999-06-10,456.41336714478535
1999-06-11,464.44850428296974
