Date,SOUTH AFRICA SMALL VALUE
1999-05-31,158.76672660559856
1999-06-01,160.43522355361512
1999-06-02,162.28087341344707
1999-06-03,162.64655326456256
1999-06-04,165.96425659419782
1999-06-07,170.30048640990216
1999-06-08,168.56324230351098
1999-06-09,167.82028392048463
1999-06-10,166.42230673864358
1999-06-11,168.3924698409878
1999-06-14,169.24821905054637
1999-06-15,169.73279690916115
1999-06-16,171.78227853978888
1999-06-17,172.82362674835838
1999-06-18,173.9725055427338
1999-06-21,175.90765849540014
1999-06-22,176.8226177591699
1999-06-23,174.7711529478967
1999-06-24,173.04272236831355
1999-06-25,170.51789727177095
1999-06-28,172.46656291700566
1999-06-29,174.25291877309786
1999-06-30,175.3694341850805
1999-07-01,176.88599011338516
1999-07-02,178.0051788334368
1999-07-05,179.93509151537526
1999-07-06,178.8380079762931
1999-07-07,179.2214467845979
1999-07-08,180.02057002166197
1999-07-09,178.56934462670276
1999-07-12,179.42255749089747
1999-07-13,176.35007826323977
1999-07-14,177.17304771368643
1999-07-15,177.42296087824627
1999-07-16,179.0485728809117
1999-07-19,179.8802030826116
1999-07-20,175.37359913166
1999-07-21,172.3302817416552
1999-07-22,172.6780756454255
1999-07-23,173.78666837124078
1999-07-26,168.09528604382854
1999-07-27,168.8920809654242
1999-07-28,168.53923993674528
1999-07-29,166.06328821562786
1999-07-30,166.78879849624977
1999-08-02,165.63211380879397
1999-08-03,165.5970342292972
1999-08-04,166.0018596798986
1999-08-05,164.47366630812678
1999-08-06,163.04538820028992
1999-08-09,164.53357375024683
1999-08-10,163.0529956564302
1999-08-11,165.1672975115864
1999-08-12,166.42898247957345
1999-08-13,167.22383877167562
1999-08-16,167.34888722176217
1999-08-17,168.60120528163336
1999-08-18,169.31397214964565
1999-08-19,166.81595355940112
1999-08-20,166.04318496765512
1999-08-23,168.22558025967442
1999-08-24,167.78254673014266
1999-08-25,168.92652182612343
1999-08-26,170.070579468425
1999-08-27,171.1602841030511
1999-08-30,171.87706508796094
1999-08-31,170.00618850410015
1999-09-01,170.70083625189775
1999-09-02,166.57575954045893
1999-09-03,169.35399328680845
1999-09-06,169.73497326768228
1999-09-07,168.32691897717638
1999-09-08,166.07579892852036
1999-09-09,167.4430807357059
1999-09-10,167.51914650243884
1999-09-13,169.44351621025388
1999-09-14,168.6736780591941
1999-09-15,167.57778053601263
1999-09-16,165.2389932422732
1999-09-17,165.86101228627984
1999-09-20,166.53752808817637
1999-09-21,166.98453509040505
1999-09-22,165.52834044938555
1999-09-23,167.51794300096807
1999-09-24,167.03406408593057
