Date,TAIWAN SMALL VALUE
1998-12-31,1344.0431078989404
1999-01-01,1344.0431078989404
1999-01-04,1340.4154526668256
1999-01-05,1292.3742253485725
1999-01-06,1288.9333919351484
1999-01-07,1339.0474299190262
1999-01-08,1369.166493972359
1999-01-11,1365.1577513368911
1999-01-12,1342.5518458174608
1999-01-13,1318.2399266399439
1999-01-14,1297.545326282062
1999-01-15,1349.097227118507
1999-01-18,1333.415509490432
1999-01-19,1315.3727296286131
1999-01-20,1309.1308564206554
1999-01-21,1305.1801090815786
1999-01-22,1287.1732280858957
1999-01-25,1246.4081307556
1999-01-26,1239.6372767132762
1999-01-27,1261.0347558002882
1999-01-28,1256.0712214344842
1999-01-29,1242.4937256683563
1999-02-01,1232.0732566077183
1999-02-02,1194.5465041009081
1999-02-03,1162.447143544583
1999-02-04,1109.9257405252251
1999-02-05,1077.2892460169326
1999-02-08,1185.1584254758945
1999-02-09,1163.1393124107124
1999-02-10,1187.8030829091183
1999-02-11,1189.958000727011
1999-02-12,1192.3845188114542
1999-02-15,1196.7883774445409
1999-02-16,1202.836547688335
1999-02-17,1195.3109485504535
1999-02-18,1196.9656243903946
1999-02-19,1205.952466117453
1999-02-22,1288.7660240296748
1999-02-23,1247.2733820425851
1999-02-24,1247.7458201380214
1999-02-25,1251.611915332356
1999-02-26,1269.4593778093458
1999-03-01,1294.1278180570396
1999-03-02,1296.256444126159
1999-03-03,1306.1485878315418
1999-03-04,1320.9563583153429
1999-03-05,1322.2472704364816
1999-03-08,1316.16315419483
1999-03-09,1320.0447148270848
1999-03-10,1310.9369502354398
1999-03-11,1315.000709248233
1999-03-12,1297.2629803932814
1999-03-15,1308.5381522596576
1999-03-16,1329.940464311546
1999-03-17,1333.6324157626016
1999-03-18,1365.498991300559
1999-03-19,1410.7806736827936
1999-03-22,1417.6836402020551
1999-03-23,1419.8482295377346
1999-03-24,1407.5582462467107
1999-03-25,1424.0081460744539
1999-03-26,1467.7893441999688
1999-03-29,1460.9437061881526
1999-03-30,1441.5405722140326
1999-03-31,1433.39391523611
1999-04-01,1450.5701722211847
1999-04-02,1484.8340827251375
1999-04-05,1495.1183027503153
