Date,KOREA SMALL VALUE
1998-12-31,145.18929210563417
1999-01-01,145.18929210563417
1999-01-04,153.46781263256776
1999-01-05,159.5577571269685
1999-01-06,168.5734763686034
1999-01-07,174.10382983567072
1999-01-08,175.22817434986123
1999-01-11,184.88615587005768
1999-01-12,187.65614865361988
1999-01-13,187.5495058806346
1999-01-14,177.2252944304631
1999-01-15,181.79649520100784
1999-01-18,184.63067423415018
1999-01-19,181.60518169442187
1999-01-20,179.07095466296198
1999-01-21,166.79775030997095
1999-01-22,157.04139027582062
1999-01-25,152.32434033145975
1999-01-26,147.6789061638993
1999-01-27,157.17709411148235
1999-01-28,160.7455503312899
1999-01-29,162.67098056656906
1999-02-01,167.39649049668574
1999-02-02,164.0676430653616
1999-02-03,160.57955866463237
1999-02-04,160.13339783527547
1999-02-05,161.11467943486085
1999-02-08,159.37351310333722
1999-02-09,151.44636059562853
1999-02-10,152.0047575508317
1999-02-11,152.5668251801928
1999-02-12,160.24349056605737
1999-02-15,160.83532119467762
1999-02-16,161.72379447397154
1999-02-17,160.96074265280885
1999-02-18,157.68335051000975
1999-02-19,152.4520842854508
1999-02-22,147.64011278928007
1999-02-23,148.25327043705676
1999-02-24,144.76007126859977
1999-02-25,141.1864279808706
1999-02-26,147.82340172660724
1999-03-01,148.96618532563252
1999-03-02,153.30381462790965
1999-03-03,151.13640677311926
1999-03-04,152.50614027772812
1999-03-05,153.7941628300683
1999-03-08,163.8792954698392
1999-03-09,163.78267086223858
1999-03-10,163.63259503687138
1999-03-11,170.11496465028318
1999-03-12,171.4410961357338
1999-03-15,173.53942687311547
1999-03-16,175.77435363125323
1999-03-17,171.98538737478688
1999-03-18,166.3818767530309
1999-03-19,172.45228876869723
1999-03-22,173.7578803297813
1999-03-23,175.67857555456976
1999-03-24,178.1946345581508
1999-03-25,180.16974673233102
1999-03-26,181.83231160062377
1999-03-29,178.99864153450463
1999-03-30,183.01730773967196
1999-03-31,182.40975498743197
1999-04-01,186.41213257493732
1999-04-02,190.86545176472234
1999-04-05,191.8113142908529
1999-04-06,199.2152341945129
1999-04-07,199.8371833474751
1999-04-08,202.31776670452547
1999-04-09,206.1575878364191
1999-04-12,206.9699917134502
1999-04-13,208.70496086496746
1999-04-14,210.49214279588588
1999-04-15,223.35106886760565
1999-04-16,222.09308141953554
1999-04-19,230.34901461443982
