Date,BRAZIL SMALL VALUE
1998-12-31,52.91615144622043
1999-01-01,52.91615144622043
1999-01-04,52.4889411930851
1999-01-05,52.2241538267209
1999-01-06,52.72901883569393
1999-01-07,52.24881709159008
1999-01-08,52.76896069591034
1999-01-11,52.04081359578151
1999-01-12,51.385857492352116
1999-01-13,45.12983697182151
1999-01-14,44.24171440690193
1999-01-15,44.01147809191604
1999-01-18,40.90124592465858
1999-01-19,41.38592522009983
1999-01-20,41.0550446652452
1999-01-21,36.92012186732227
1999-01-22,36.44450339611343
1999-01-25,34.87592312858698
1999-01-26,35.404168045078194
1999-01-27,34.890780025418245
1999-01-28,35.15955652370466
1999-01-29,34.22288414184092
1999-02-01,38.2823783019404
1999-02-02,41.06204112324894
1999-02-03,39.63882319851776
1999-02-04,39.5698161100302
1999-02-05,39.418140065338434
1999-02-08,37.52525309814698
1999-02-09,37.207985124996874
1999-02-10,38.13747618380306
1999-02-11,37.74662655307303
1999-02-12,37.7118864508742
1999-02-15,37.85116854829879
1999-02-16,38.04245575965648
1999-02-17,37.75851932559232
1999-02-18,37.37140662182608
1999-02-19,37.83278772082851
1999-02-22,37.51371826388633
1999-02-23,36.79193459827339
1999-02-24,36.4538978548756
1999-02-25,36.040185303576685
1999-02-26,36.72868525622522
1999-03-01,35.28337027747067
1999-03-02,34.892817650404005
1999-03-03,35.640242726754984
1999-03-04,38.47663827075094
1999-03-05,39.90530038991315
1999-03-08,40.24612382132981
1999-03-09,42.203153600343704
1999-03-10,43.10830594402115
1999-03-11,43.54461967436492
1999-03-12,43.15325270962039
1999-03-15,45.38673110530416
1999-03-16,46.34597570391803
1999-03-17,47.06030378339099
1999-03-18,48.24999526092662
1999-03-19,48.576089367058294
1999-03-22,48.31928813316333
1999-03-23,47.91580476285323
1999-03-24,48.07209009114656
1999-03-25,50.349581544628585
1999-03-26,51.14747124964935
1999-03-29,51.57099845709232
1999-03-30,52.01391898294036
1999-03-31,52.7534008787749
1999-04-01,52.677770511700864
1999-04-02,52.8499184417253
1999-04-05,53.084796396561615
1999-04-06,53.75616944261149
1999-04-07,54.83751024572387
1999-04-08,54.870682442473985
1999-04-09,54.99159083469719
1999-04-12,54.40759825470084
1999-04-13,55.48841889309256
1999-04-14,55.31807143681449
1999-04-15,56.0985845627303
1999-04-16,56.83109096324157
1999-04-19,57.26979117929458
1999-04-20,54.98627985629335
1999-04-21,55.24028199751025
1999-04-22,55.69433436876557
1999-04-23,55.66303023148637
1999-04-26,55.15564100924631
1999-04-27,54.45262397241135
1999-04-28,56.53658734085719
1999-04-29,58.01056451272468
1999-04-30,57.91968866640406
1999-05-03,57.70806719846568
1999-05-04,56.604779828644936
1999-05-05,56.66429799167305
1999-05-06,57.41348769517054
1999-05-07,60.12568241926565
1999-05-10,60.738449208779286
1999-05-11,60.66171691651142
1999-05-12,60.45847004287197
1999-05-13,61.48146769649692
1999-05-14,61.52702750343005
1999-05-17,60.65637927219706
1999-05-18,61.758276477976146
1999-05-19,61.87634780654961
1999-05-20,61.77901781545636
1999-05-21,61.157764825364026
1999-05-24,58.49863744345331
1999-05-25,57.26454331637402
1999-05-26,60.361960048944724
1999-05-27,59.624825357457176
1999-05-28,60.315336734630726
1999-05-31,60.78485063582341
1999-06-01,59.68718701847679
1999-06-02,59.98097868418402
1999-06-03,60.01284339806049
1999-06-04,61.60310731331289
1999-06-07,61.498267014812946
1999-06-08,60.803418287512464
1999-06-09,61.02005538148505
1999-06-10,60.74123953323851
1999-06-11,61.03354741439869
1999-06-14,62.63552222645177
1999-06-15,64.75100911964698
1999-06-16,68.36979811487097
1999-06-17,67.35856077914414
1999-06-18,68.13247222588645
1999-06-21,68.62381344750015
1999-06-22,67.36854161128883
1999-06-23,66.27080258817577
1999-06-24,65.09370631356923
1999-06-25,63.498964302750444
1999-06-28,64.21534939495331
1999-06-29,64.71211164310768
1999-06-30,67.53481654406956
1999-07-01,67.3774066292299
1999-07-02,68.96722801947604
1999-07-05,69.8268160526043
1999-07-06,69.5932039135713
1999-07-07,70.91441850958127
1999-07-08,69.76183273647358
1999-07-09,69.84841473031334
1999-07-12,67.00328276999664
1999-07-13,67.06062155337027
1999-07-14,66.81425272414025
1999-07-15,66.5804559237069
1999-07-16,67.67231220508212
1999-07-19,69.90528856060513
1999-07-20,66.05456085735233
1999-07-21,67.24309357605354
1999-07-22,68.96332058503262
1999-07-23,67.70666640878872
1999-07-26,66.35363434251576
1999-07-27,66.87279946559389
1999-07-28,67.51473398581155
1999-07-29,66.9292593674438
1999-07-30,66.5526843613252
1999-08-02,64.62921835845447
1999-08-03,64.30727411986173
1999-08-04,62.43199084750867
1999-08-05,61.04248345165146
1999-08-06,61.00519861165294
1999-08-09,60.60094908296441
1999-08-10,60.36651361672065
1999-08-11,61.96522467603828
1999-08-12,63.0464892135728
1999-08-13,63.86789633832127
1999-08-16,63.57560697395446
1999-08-17,62.81456509045435
1999-08-18,60.59043240739119
1999-08-19,59.82550145284379
1999-08-20,62.16192479333004
1999-08-23,63.0712262517294
1999-08-24,62.181019131210036
1999-08-25,64.26429722904746
1999-08-26,63.60125766191635
1999-08-27,63.390328774947754
1999-08-30,63.73121876037093
1999-08-31,63.5407913111769
1999-09-01,64.00091139034309
1999-09-02,64.34219530515215
1999-09-03,65.44555139500326
1999-09-06,66.40840236253045
1999-09-07,66.29871928562571
1999-09-08,66.39508298537024
1999-09-09,67.6230164356103
1999-09-10,68.71036541776827
1999-09-13,69.15799947109525
1999-09-14,69.10215580986552
1999-09-15,68.93551365928155
