Date,CZECH REPUBLIC SMALL VALUE
1998-12-31,149.813105152008
1999-01-01,149.813105152008
1999-01-04,149.1785902889328
1999-01-05,149.12537802089025
1999-01-06,149.11348646223865
1999-01-07,149.13239330210178
1999-01-08,149.16332960956922
1999-01-11,147.13718169601043
1999-01-12,145.59741087026654
1999-01-13,141.43004481370872
1999-01-14,142.7016802729055
1999-01-15,144.21487429146597
1999-01-18,143.99346927868314
1999-01-19,143.15393713291976
1999-01-20,141.59025943702372
1999-01-21,138.2480344759434
1999-01-22,136.91589296474737
1999-01-25,136.73869690229984
1999-01-26,135.2007621248832
1999-01-27,134.0072713713758
1999-01-28,133.69376663712788
1999-01-29,133.48676982417817
1999-02-01,131.92127827361995
1999-02-02,131.1644942804222
1999-02-03,131.2770840391338
1999-02-04,131.4809784389238
1999-02-05,131.17089776802854
1999-02-08,128.9721791437874
1999-02-09,125.7433536587922
1999-02-10,126.92014062676786
1999-02-11,127.68726475029426
1999-02-12,126.75832500767808
1999-02-15,125.8767364446018
1999-02-16,126.19483710908463
1999-02-17,126.84008641890607
1999-02-18,125.59370408380754
1999-02-19,125.69325901817649
1999-02-22,125.24165877330424
1999-02-23,122.70720635609018
1999-02-24,121.9300213436509
1999-02-25,122.60494291852018
1999-02-26,121.02512088484228
1999-03-01,119.95981088141487
1999-03-02,118.82190413154224
1999-03-03,119.06370859148657
1999-03-04,119.90939270364416
1999-03-05,120.27903427307808
1999-03-08,118.66413406335104
1999-03-09,118.63133883474622
1999-03-10,119.55412036935306
1999-03-11,125.48315607184162
1999-03-12,126.95384771388916
1999-03-15,124.75594619070489
1999-03-16,125.73111299857078
1999-03-17,125.87876162344378
1999-03-18,126.0184745548967
1999-03-19,126.79647414939858
1999-03-22,127.5902808445232
1999-03-23,126.50164829293212
1999-03-24,123.5618239155572
1999-03-25,124.30867070021112
1999-03-26,124.68954884650645
1999-03-29,126.88390727181321
1999-03-30,127.79885806655635
1999-03-31,129.76984652330844
1999-04-01,131.24764550645497
1999-04-02,131.92050253867328
1999-04-05,131.91575735180825
1999-04-06,134.30141869706708
1999-04-07,135.78232297080024
1999-04-08,136.38018961249145
1999-04-09,134.97787562711937
1999-04-12,134.01789606218327
1999-04-13,134.4209808506607
1999-04-14,135.96397298155873
1999-04-15,135.82913722584493
1999-04-16,133.95229767611121
1999-04-19,134.6998745587978
1999-04-20,134.76864614763397
1999-04-21,134.8919778455704
1999-04-22,134.92648957269176
1999-04-23,134.21083408452773
1999-04-26,135.12994599364103
1999-04-27,137.15664492691326
1999-04-28,137.87793316149117
1999-04-29,138.28638784039467
1999-04-30,138.78403255320114
1999-05-03,141.048875973239
1999-05-04,142.46405322848508
1999-05-05,144.63443203402622
1999-05-06,148.02103784652508
1999-05-07,149.21044758289662
1999-05-10,151.9196365157314
1999-05-11,157.0212891407677
1999-05-12,155.24168373304295
1999-05-13,156.16448064274266
1999-05-14,156.7803285358108
1999-05-17,156.22166279161402
1999-05-18,161.1435881388273
1999-05-19,166.2064197430617
1999-05-20,168.6359728651686
1999-05-21,172.21623681831554
1999-05-24,172.9109156628937
1999-05-25,173.16264178950675
1999-05-26,171.65793442356903
1999-05-27,171.623225799415
1999-05-28,174.53309620554214
1999-05-31,176.06020073827162
1999-06-01,179.73003214712688
1999-06-02,180.09504683139014
1999-06-03,181.6636690728574
1999-06-04,183.18611752004557
1999-06-07,183.35866733404777
1999-06-08,185.62252458973398
1999-06-09,185.87613248599055
