Date,POLAND SMALL VALUE
1998-12-31,152.09517436328304
1999-01-01,152.09517436328304
1999-01-04,157.54168387048372
1999-01-05,163.56930718432173
1999-01-06,164.4585152327948
1999-01-07,170.42834245970306
1999-01-08,173.08524745080672
1999-01-11,175.43390777775366
1999-01-12,170.16872501754298
1999-01-13,157.62535093657345
1999-01-14,152.24028479430817
1999-01-15,151.7829853211261
1999-01-18,162.34064267017328
1999-01-19,162.42345390352136
1999-01-20,164.02322956767327
1999-01-21,164.0947708438641
1999-01-22,152.75604484720864
1999-01-25,149.08350001487943
1999-01-26,155.29284190257158
1999-01-27,157.16745688138315
1999-01-28,153.0035888147765
1999-01-29,158.7422275583075
1999-02-01,157.3899635760115
1999-02-02,153.18844427343564
1999-02-03,155.49683294256653
1999-02-04,164.0492616175975
1999-02-05,160.64717167466827
1999-02-08,159.54710080693474
1999-02-09,160.53269376729335
1999-02-10,155.4000374311111
1999-02-11,155.95859140376209
1999-02-12,159.75400218307183
1999-02-15,157.55995121101233
1999-02-16,161.58455279367132
1999-02-17,160.54742677151046
1999-02-18,160.43674075846505
1999-02-19,161.74031532681659
1999-02-22,162.93506245725322
1999-02-23,165.0728347964441
1999-02-24,161.7246264138752
1999-02-25,156.92264726376806
1999-02-26,154.4354951509596
1999-03-01,156.8466722889339
1999-03-02,152.66721189994746
1999-03-03,152.0826771684294
1999-03-04,152.49425155605653
1999-03-05,154.28889639716638
1999-03-08,157.84585344801016
1999-03-09,159.37820330598325
1999-03-10,156.92413840261258
1999-03-11,157.73027135820328
1999-03-12,160.8586965952104
1999-03-15,161.5059975720355
1999-03-16,158.12846633846
1999-03-17,156.41655091677129
1999-03-18,156.70240913052186
1999-03-19,159.57324688347728
1999-03-22,160.85480844765473
1999-03-23,161.11483432437828
1999-03-24,151.41846425545464
1999-03-25,154.93057564407482
1999-03-26,158.98925484393982
1999-03-29,159.21472348238837
1999-03-30,160.1593675701869
1999-03-31,156.409391327552
1999-04-01,153.80849317976202
1999-04-02,154.82383298759353
1999-04-05,155.18877293475256
1999-04-06,158.1221814859382
1999-04-07,159.72904163364583
1999-04-08,160.31972845871343
1999-04-09,159.05495824600968
1999-04-12,157.23863749918905
1999-04-13,158.0555954717357
1999-04-14,156.34889316051564
1999-04-15,158.34945719769317
1999-04-16,159.32518605229654
1999-04-19,164.69798645105152
1999-04-20,164.73317733240032
1999-04-21,164.2980798634183
1999-04-22,166.23551757192203
1999-04-23,167.85716513733138
1999-04-26,165.66520642911232
1999-04-27,164.8395123460056
1999-04-28,165.86434739544845
1999-04-29,164.81207835619966
1999-04-30,168.9305489941873
1999-05-03,169.42246969087273
1999-05-04,172.1724889311352
1999-05-05,169.50858350602059
