Date,UNITED ARAB EMIRATES SMALL VALUE
2014-06-02,1053.9125380155747
2014-06-03,1047.249714532509
2014-06-04,1040.9214517452872
2014-06-05,1055.3530183948894
2014-06-06,1053.4959561145554
2014-06-09,966.3773197814824
2014-06-10,932.5209242871584
2014-06-11,950.5410843296789
2014-06-12,978.923305659321
2014-06-13,980.5875874370618
2014-06-16,891.9461769939031
2014-06-17,903.4267020810664
2014-06-18,898.658619141388
2014-06-19,903.1139418070373
2014-06-20,906.8726201402186
2014-06-23,836.2194605017585
2014-06-24,761.5365580542081
2014-06-25,798.454873020984
2014-06-26,799.0516993209924
2014-06-27,796.053315043272
2014-06-30,749.6539386517942
2014-07-01,767.4289448907
2014-07-02,850.894215167155
2014-07-03,858.8479071219641
2014-07-04,860.175142830961
2014-07-07,898.4922153681197
2014-07-08,891.5232882423197
2014-07-09,881.7193819440845
2014-07-10,906.6414760502056
2014-07-11,906.7748154834065
2014-07-14,933.0881132158154
2014-07-15,948.4559849303334
2014-07-16,955.0456529335094
2014-07-17,965.9157128686584
2014-07-18,966.523454351273
2014-07-21,932.3143425087343
2014-07-22,931.2528738507323
2014-07-23,916.1323694691765
2014-07-24,923.1523320564531
2014-07-25,925.6263500683666
2014-07-28,931.1354704021758
2014-07-29,933.1142461017107
2014-07-30,935.3810333348314
2014-07-31,940.8459413456502
2014-08-01,937.4129641227792
2014-08-04,932.8528401270218
2014-08-05,937.1693612338509
2014-08-06,920.1256197013363
2014-08-07,920.6569597555036
2014-08-08,916.3331766503119
2014-08-11,936.7913573954439
2014-08-12,932.0144543606733
2014-08-13,932.0280005715683
2014-08-14,930.7764180479271
2014-08-15,930.5898773376415
2014-08-18,929.2415819478279
2014-08-19,943.5362261094901
2014-08-20,946.2629988805938
2014-08-21,946.6440545977096
2014-08-22,950.471697489368
2014-08-25,966.3533822600563
2014-08-26,961.7713336588431
2014-08-27,963.7193809566431
2014-08-28,952.9230748496711
2014-08-29,953.1762809506411
2014-09-01,953.4468596290155
2014-09-02,957.3210933097796
2014-09-03,969.9273714598318
2014-09-04,970.2289149529494
2014-09-05,970.8278910165078
2014-09-08,969.0744497761908
2014-09-09,967.704058701297
2014-09-10,941.6886505512516
2014-09-11,951.8660299118974
2014-09-12,952.0867439395474
2014-09-15,961.0817090265084
2014-09-16,959.2950721765078
2014-09-17,968.2305806462704
2014-09-18,974.8760444251737
2014-09-19,981.0636849080718
2014-09-22,976.7080724619445
2014-09-23,968.409164183779
2014-09-24,954.9546534427948
2014-09-25,961.7279889979931
2014-09-26,965.6422839726674
2014-09-29,963.8445805945215
2014-09-30,972.6876600905416
2014-10-01,981.2646160611098
2014-10-02,969.4224454897892
2014-10-03,980.4249621552215
2014-10-06,975.9131953315984
2014-10-07,974.1174692933834
2014-10-08,953.8345037568324
2014-10-09,965.3469677722292
2014-10-10,971.9605043406038
2014-10-13,915.7640703512899
2014-10-14,888.4373262549026
2014-10-15,870.4296821450387
2014-10-16,823.5733250062483
2014-10-17,824.4118958482366
2014-10-20,846.3188274507313
2014-10-21,859.6115013775579
2014-10-22,883.953013178731
2014-10-23,892.7414561923757
2014-10-24,891.3320684097775
2014-10-27,896.6308619512633
2014-10-28,893.5272328811458
2014-10-29,885.3887639805292
2014-10-30,885.3849858237523
2014-10-31,891.909528016085
2014-11-03,897.7906431465586
2014-11-04,885.5326981330919
2014-11-05,867.6800373296719
2014-11-06,870.3010170471048
2014-11-07,871.8784113505975
2014-11-10,915.5834738711952
2014-11-11,934.014450301266
2014-11-12,945.761139502127
2014-11-13,971.6243263884303
2014-11-14,971.2350382252876
2014-11-17,932.9224900292718
2014-11-18,942.1222279075649
2014-11-19,946.8268977741437
2014-11-20,945.2994346552778
2014-11-21,955.0090679363983
2014-11-24,950.1719895196497
2014-11-25,924.8630644564838
2014-11-26,906.0814329960441
2014-11-27,927.6675042563799
2014-11-28,928.758410214066
2014-12-01,892.5703167362637
2014-12-02,897.9080952673936
2014-12-03,903.7985275136953
2014-12-04,921.0150189142305
2014-12-05,931.500674167381
2014-12-08,913.4759707887112
2014-12-09,882.5734798406976
2014-12-10,885.2922927703371
2014-12-11,833.8602690695172
2014-12-12,828.5407464093481
2014-12-15,765.0167785597635
2014-12-16,723.8505484112928
2014-12-17,729.0913422034306
2014-12-18,806.7605427907886
2014-12-19,807.8131108736891
2014-12-22,864.2888048108252
2014-12-23,848.0823993881742
2014-12-24,886.8541197049793
2014-12-25,894.4843082813809
2014-12-26,895.8807342176485
2014-12-29,901.7203056827359
2014-12-30,850.2111101183509
2014-12-31,864.5666888581409
2015-01-01,864.5666888581409
2015-01-02,869.5853711030235
2015-01-05,852.6038037077011
2015-01-06,837.555635108035
2015-01-07,883.7597026482136
2015-01-08,904.820790131575
2015-01-09,901.6096301175885
2015-01-12,913.5906445315773
2015-01-13,923.2953868646197
2015-01-14,933.3182798291547
2015-01-15,969.5316362470683
2015-01-16,977.1209249848143
2015-01-19,970.539554870895
2015-01-20,979.9832032432133
2015-01-21,968.4093830713543
2015-01-22,988.2257414989517
2015-01-23,1002.8960556311639
2015-01-26,967.1944598710872
2015-01-27,954.142480635255
2015-01-28,960.7666848095521
2015-01-29,941.6027079321315
2015-01-30,946.0668618489526
2015-02-02,969.7431501170081
2015-02-03,974.6711289764213
2015-02-04,964.4372918467544
2015-02-05,966.226788706715
2015-02-06,973.5515279044563
2015-02-09,986.8481467050337
2015-02-10,979.4892907960416
2015-02-11,979.9494544648777
2015-02-12,974.0559567759348
2015-02-13,971.4932136315997
2015-02-16,933.0953786116673
2015-02-17,945.6500716194525
2015-02-18,947.6656563973378
2015-02-19,948.3243841599586
2015-02-20,950.1595547146951
2015-02-23,938.6640509178911
2015-02-24,940.9838099831495
2015-02-25,942.2352044211957
2015-02-26,952.3482695587729
2015-02-27,952.1453978842455
2015-03-02,942.1858374389441
2015-03-03,922.6510343891106
2015-03-04,933.1547782044461
2015-03-05,944.6895921560318
2015-03-06,959.3015565699905
2015-03-09,950.23133072544
2015-03-10,976.5531514603837
2015-03-11,961.5211158029506
2015-03-12,960.1136400068098
2015-03-13,968.7826316715579
2015-03-16,961.0860483223067
2015-03-17,946.0986301735602
2015-03-18,922.7468903289298
2015-03-19,929.0441926337454
2015-03-20,914.3268312978455
2015-03-23,909.1917847712526
2015-03-24,911.9983387606258
2015-03-25,890.0730139303957
2015-03-26,868.2060959749721
