Date,EM LATIN AMERICA MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1000.9421730291773
1999-01-05,1002.117852149452
1999-01-06,1017.2783997057264
1999-01-07,1002.7674389010343
1999-01-08,1002.0356420265528
1999-01-11,963.4657158479887
1999-01-12,928.3412785876617
1999-01-13,843.8417685484634
1999-01-14,817.1680089861686
1999-01-15,903.2228608839471
1999-01-18,879.62460135111
1999-01-19,887.2197297036504
1999-01-20,908.423520298185
1999-01-21,869.6254956072981
1999-01-22,862.809598668329
1999-01-25,860.447630428025
1999-01-26,865.6020803683095
1999-01-27,875.5885913385388
1999-01-28,885.740408783655
1999-01-29,884.599969644637
1999-02-01,933.1491467762324
1999-02-02,955.3925748358674
1999-02-03,955.6836483263187
1999-02-04,957.2425368641984
1999-02-05,952.9747873081094
1999-02-08,955.2660247495321
1999-02-09,944.5231244376045
1999-02-10,954.2951176741309
1999-02-11,967.1170434923836
1999-02-12,968.4502763723301
1999-02-15,972.6760444936616
1999-02-16,980.1878471357323
1999-02-17,965.7276783361283
1999-02-18,969.2249800657958
1999-02-19,998.2646820437984
1999-02-22,999.6958826206944
1999-02-23,990.3305801754965
1999-02-24,992.9804168135917
1999-02-25,968.0629809965725
1999-02-26,975.3300502150802
1999-03-01,971.2857269785869
1999-03-02,965.1251991331484
1999-03-03,971.1498896883137
1999-03-04,1003.8681732153424
1999-03-05,1018.1074982044112
1999-03-08,1027.075330357743
1999-03-09,1037.5126703829544
1999-03-10,1051.892689626679
1999-03-11,1065.062961925845
1999-03-12,1053.8439464797045
1999-03-15,1076.4985971555611
1999-03-16,1087.3319523944438
1999-03-17,1072.6648149473751
1999-03-18,1085.5281091112495
1999-03-19,1084.337900397197
1999-03-22,1079.549487652886
1999-03-23,1069.6616925427145
1999-03-24,1068.3778027756962
1999-03-25,1096.5111341525924
1999-03-26,1100.9240411252176
1999-03-29,1107.988219485289
1999-03-30,1108.6755520564518
1999-03-31,1109.7437858242995
1999-04-01,1108.2130961436062
1999-04-02,1111.1700385599722
1999-04-05,1142.010810635655
1999-04-06,1148.0902588632548
1999-04-07,1162.2681895575915
1999-04-08,1174.060843080383
1999-04-09,1182.8032504283597
1999-04-12,1178.5199941887747
1999-04-13,1192.0223451478535
1999-04-14,1193.577225276297
1999-04-15,1216.6130702697728
1999-04-16,1253.9872529520787
1999-04-19,1276.6112751804367
1999-04-20,1259.3237286602841
1999-04-21,1259.635113838575
1999-04-22,1262.841507643254
1999-04-23,1257.5869712913868
1999-04-26,1253.3386444228486
1999-04-27,1235.6937639233895
1999-04-28,1256.5682603212663
1999-04-29,1271.2678961113716
1999-04-30,1321.6387060710383
1999-05-03,1345.7942054031516
1999-05-04,1328.3655210814147
1999-05-05,1333.6590848271057
1999-05-06,1336.7172211601967
1999-05-07,1362.9724296614415
1999-05-10,1374.0511965969174
1999-05-11,1377.5551663710278
1999-05-12,1364.7850232577164
1999-05-13,1384.6666517202907
1999-05-14,1368.927983726751
1999-05-17,1355.471601614375
1999-05-18,1356.1362785496788
1999-05-19,1327.2043376714637
1999-05-20,1317.5642194890509
1999-05-21,1298.796009706662
1999-05-24,1264.5839617521387
1999-05-25,1246.3894392748814
1999-05-26,1297.9348071378527
1999-05-27,1280.4464558332666
1999-05-28,1281.4773742439143
1999-05-31,1295.5721747844984
1999-06-01,1275.5178523106854
1999-06-02,1291.8822399629098
1999-06-03,1290.416884349521
1999-06-04,1311.835947987626
1999-06-07,1315.5537351564406
1999-06-08,1296.2787207095598
1999-06-09,1286.8732837767693
1999-06-10,1278.3623448663088
1999-06-11,1275.5278088497541
1999-06-14,1275.2899799748914
1999-06-15,1300.254352971207
1999-06-16,1363.0116670036969
1999-06-17,1375.0036044321146
1999-06-18,1373.6905299656476
1999-06-21,1396.7837903823831
1999-06-22,1395.2258949376112
1999-06-23,1376.7309054372854
1999-06-24,1348.4719941700519
1999-06-25,1317.1616113111345
1999-06-28,1340.6748103261432
1999-06-29,1352.7853101239507
1999-06-30,1400.2872641452336
1999-07-01,1419.784418180629
1999-07-02,1459.3775827158834
1999-07-05,1456.7955615986154
1999-07-06,1439.1403108606148
1999-07-07,1450.637303642671
1999-07-08,1439.6557579421885
1999-07-09,1436.1343637268276
1999-07-12,1401.1214609883998
1999-07-13,1404.4795423120333
1999-07-14,1414.5792980355031
1999-07-15,1420.296855395371
1999-07-16,1432.889645215254
1999-07-19,1447.7344533500234
1999-07-20,1383.8132036434238
1999-07-21,1385.1115456541654
1999-07-22,1376.5880791319134
1999-07-23,1345.2250403229148
1999-07-26,1285.639689579437
1999-07-27,1287.7588060194723
1999-07-28,1298.632049603614
1999-07-29,1263.0339543027367
1999-07-30,1254.8448887843842
1999-08-02,1231.7011339282735
1999-08-03,1235.6234299823475
1999-08-04,1220.9808143405528
1999-08-05,1209.545001523774
