Date,EM LATAM ex BR MOMENTUM
1999-05-31,1000.0
1999-06-01,984.2439086973042
1999-06-02,997.3566368709372
1999-06-03,995.3027739471408
1999-06-04,1007.0521459064819
1999-06-07,1013.3412160541284
1999-06-08,1003.7052227891007
1999-06-09,994.2632543646419
1999-06-10,986.5940429430136
1999-06-11,977.0467406681435
1999-06-14,975.7301083167367
1999-06-15,990.5497375583097
1999-06-16,1035.7022518195533
1999-06-17,1040.4978071431594
1999-06-18,1039.502782709714
1999-06-21,1055.7989611658058
1999-06-22,1058.5260575109444
1999-06-23,1045.7634210170604
1999-06-24,1026.1886408531636
1999-06-25,1001.5497523928514
1999-06-28,1018.4768742497561
1999-06-29,1028.6708587828327
1999-06-30,1062.6241885178279
1999-07-01,1079.7043042301689
1999-07-02,1095.333314840185
1999-07-05,1102.8845371170974
1999-07-06,1097.0082438008824
1999-07-07,1103.0251663873262
1999-07-08,1101.614409710942
1999-07-09,1096.2995260567538
1999-07-12,1077.4693615132765
1999-07-13,1077.8486011846612
1999-07-14,1082.3304592194124
1999-07-15,1082.5070729544868
1999-07-16,1087.8928363942844
1999-07-19,1091.4716913836191
1999-07-20,1046.4776854883535
1999-07-21,1043.3381396521067
1999-07-22,1036.6841774358634
1999-07-23,1010.1149921953964
1999-07-26,965.6883718493585
1999-07-27,964.9265203516843
1999-07-28,980.386250180542
1999-07-29,947.8317791644474
1999-07-30,950.2760432146929
1999-08-02,931.7213294052589
1999-08-03,939.2472850413444
1999-08-04,931.1651816844427
1999-08-05,929.010936321649
1999-08-06,915.8836107732327
1999-08-09,929.8457260047894
1999-08-10,920.8858672655505
1999-08-11,941.7480822251407
1999-08-12,950.8771719973812
1999-08-13,977.0823204040333
1999-08-16,974.5657500385933
1999-08-17,977.6606010029318
1999-08-18,951.2136885297215
1999-08-19,937.4291907844496
1999-08-20,932.0570461338516
1999-08-23,945.7442791843432
1999-08-24,953.7721507437408
1999-08-25,980.0912306410435
1999-08-26,983.8119830923478
1999-08-27,965.3656707972237
1999-08-30,960.695020115534
1999-08-31,938.5818076723091
1999-09-01,935.8732205012861
1999-09-02,921.1290163392567
1999-09-03,934.7116723560686
1999-09-06,937.071313723615
1999-09-07,919.2114092537487
1999-09-08,915.5707275029059
