Date,MEXICO SMALL GROWTH
1996-05-31,286.1471674522055
1996-06-28,287.2501597955095
1996-07-31,276.2003743605578
1996-08-30,298.1557253198287
1996-09-30,296.7246398486588
1996-10-31,272.73557803582116
1996-11-29,286.625291655006
1996-12-31,289.2930757687148
1997-01-01,289.2930757687148
1997-01-02,286.7154154986324
1997-01-03,289.64931387473007
1997-01-06,295.7929897812424
1997-01-07,292.92260103813186
1997-01-08,293.8014133877076
1997-01-09,292.4945701951517
1997-01-10,291.3843923373445
1997-01-13,292.0804271937974
1997-01-14,295.10426467667884
1997-01-15,296.9414732731509
1997-01-16,298.4813531975355
1997-01-17,304.11737941001763
1997-01-20,305.31311843230685
1997-01-21,305.31409156686635
1997-01-22,306.3524354296809
1997-01-23,306.9513256914552
1997-01-24,306.2942649707003
1997-01-27,304.8830115517284
1997-01-28,305.56800999581907
1997-01-29,304.67120523090017
1997-01-30,305.93025771913847
1997-01-31,305.9116895417966
1997-02-03,304.95202211622467
1997-02-04,307.7591113473188
1997-02-05,307.83784225326593
1997-02-06,306.18127576762436
1997-02-07,306.5003417862466
1997-02-10,307.80122848947906
1997-02-11,312.55982538665296
1997-02-12,313.83313535770077
1997-02-13,312.13156387214644
1997-02-14,314.64703223619716
1997-02-17,314.30636118924167
1997-02-18,315.1137905230508
1997-02-19,318.1008810082984
1997-02-20,317.49342115405847
1997-02-21,322.2683163871208
1997-02-24,321.56280011148897
1997-02-25,321.95434121823837
1997-02-26,321.2287194489167
1997-02-27,312.337908990387
1997-02-28,314.102988986917
1997-03-03,308.08159924896125
1997-03-04,305.0280992676014
1997-03-05,305.8700154285126
1997-03-06,303.977211342416
1997-03-07,301.64322664608204
1997-03-10,305.08788036760234
1997-03-11,300.9326335359397
1997-03-12,299.6520818274533
1997-03-13,298.9258645967444
1997-03-14,301.22384921989516
1997-03-17,301.49927321019885
1997-03-18,299.73713183952674
1997-03-19,303.49929508161455
1997-03-20,303.4180779427501
1997-03-21,303.4755217288051
1997-03-24,305.7541188433433
1997-03-25,306.055489613827
1997-03-26,305.93292357852596
1997-03-27,304.9481609489814
1997-03-28,304.90967197246374
1997-03-31,300.96363236433086
1997-04-01,296.73350990736856
1997-04-02,295.31253873165286
1997-04-03,294.3288250159959
1997-04-04,294.6524287844319
1997-04-07,296.00096656601556
1997-04-08,296.7187257658589
1997-04-09,297.7298260755482
1997-04-10,294.8254217140362
1997-04-11,291.96092421567903
1997-04-14,289.1637859083708
1997-04-15,289.8633164363093
