Date,INDONESIA SMALL GROWTH
1994-05-31,4382.258143845445
1994-06-30,4269.160096335321
1994-07-29,4169.191741568665
1994-08-31,4434.1558657312
1994-09-30,4432.845732381813
1994-10-31,4498.5908106549105
1994-11-30,4195.016305396501
1994-12-30,3983.0399388187257
1995-01-31,3633.7242857789975
1995-02-28,3579.0712881422132
1995-03-31,3269.3469921199408
1995-04-28,3101.405333042292
1995-05-31,3397.4628639678085
1995-06-30,3530.152635552144
1995-07-31,3614.811841243581
1995-08-31,3536.8201190342156
1995-09-29,3571.565289145178
1995-10-31,3393.0154825493423
1995-11-30,3008.5269133208817
1995-12-29,3118.867601700723
1996-01-31,3327.012611053027
1996-02-29,3382.6749600747485
1996-03-29,3518.576818645325
1996-04-30,3683.3188118037006
1996-05-31,3628.298020016469
1996-06-28,3704.7189747719217
1996-07-31,3463.329416877108
1996-08-30,3289.2957825336516
1996-09-30,3319.1281790544313
1996-10-31,3224.156431260192
1996-11-29,3370.5945933719418
1996-12-31,3420.804779471262
1997-01-01,3413.104939619096
1997-01-02,3385.833245489762
1997-01-03,3426.0876096409406
1997-01-06,3447.7020665604678
1997-01-07,3416.6887178394704
1997-01-08,3428.684492266896
1997-01-09,3382.492152737399
1997-01-10,3407.038576404221
1997-01-13,3378.884690331457
1997-01-14,3385.2543357434706
1997-01-15,3368.617770910009
1997-01-16,3388.6056100325814
1997-01-17,3393.0432543737984
1997-01-20,3410.038129309234
1997-01-21,3405.6466588065023
1997-01-22,3535.0286011247717
1997-01-23,3630.1333100949078
1997-01-24,3687.92793692283
1997-01-27,3653.879288247731
1997-01-28,3672.472955277121
1997-01-29,3683.8447346557627
1997-01-30,3646.1469017863647
1997-01-31,3679.375337229811
1997-02-03,3691.489818778253
1997-02-04,3639.077298084944
1997-02-05,3669.937719504769
1997-02-06,3658.2798728236326
1997-02-07,3657.510518486551
1997-02-10,3655.2043958393338
1997-02-11,3658.8955893721172
1997-02-12,3685.3634655364112
1997-02-13,3728.0567217154558
1997-02-14,3744.094552667191
1997-02-17,3736.4862720309375
1997-02-18,3719.1592281418407
1997-02-19,3695.956580655115
1997-02-20,3708.1301833163448
1997-02-21,3708.6648173386084
1997-02-24,3724.1754692215613
1997-02-25,3731.530589792026
1997-02-26,3787.499569260969
1997-02-27,3747.9778232219687
1997-02-28,3759.0055280939723
1997-03-03,3715.6927726712825
1997-03-04,3724.4077867786527
1997-03-05,3672.7228418831196
1997-03-06,3688.4027715153834
1997-03-07,3681.843469436219
1997-03-10,3704.905617098535
1997-03-11,3703.9953470820806
1997-03-12,3660.3467419637586
1997-03-13,3605.7638634352465
1997-03-14,3581.5846583410053
1997-03-17,3612.2972199090173
1997-03-18,3612.230757721846
1997-03-19,3611.7164928689413
1997-03-20,3618.6863886551423
1997-03-21,3594.58476308835
1997-03-24,3584.5355750675794
1997-03-25,3588.808785000112
1997-03-26,3623.5399549488593
1997-03-27,3623.136577763461
1997-03-28,3623.8910835064353
1997-03-31,3623.8910835064353
1997-04-01,3624.531723784789
1997-04-02,3594.6252874065044
1997-04-03,3572.874476503437
1997-04-04,3552.9313775817227
1997-04-07,3479.238978466909
1997-04-08,3513.6141196770304
1997-04-09,3515.389162932288
1997-04-10,3485.1477673077334
1997-04-11,3485.9042433873583
1997-04-14,3446.2528150840826
1997-04-15,3443.4484171198155
1997-04-16,3462.768208175695
1997-04-17,3459.1575587928955
1997-04-18,3459.8750774734162
1997-04-21,3464.754654469696
1997-04-22,3458.1533056194435
1997-04-23,3475.3746322602387
1997-04-24,3463.105256179901
1997-04-25,3441.119123826886
1997-04-28,3447.0888907859626
1997-04-29,3469.9169577563357
1997-04-30,3510.851976398879
1997-05-01,3508.3848363548113
1997-05-02,3520.4044663121445
1997-05-05,3518.497018197296
1997-05-06,3534.244900917079
1997-05-07,3561.9012631758906
1997-05-08,3566.3022943906876
1997-05-09,3581.6813802077695
1997-05-12,3595.0336502230734
1997-05-13,3607.4796293914023
1997-05-14,3565.5147860282127
1997-05-15,3506.1814452322114
1997-05-16,3537.4901235563852
1997-05-19,3525.1763144196043
1997-05-20,3573.500362149303
1997-05-21,3562.635091925028
1997-05-22,3563.36454218955
1997-05-23,3576.2585786044688
1997-05-26,3536.266180571728
1997-05-27,3533.6454421799203
1997-05-28,3520.4192618285656
1997-05-29,3553.8205570212517
1997-05-30,3566.8312285446964
1997-06-02,3581.4026136549287
1997-06-03,3595.509349270071
1997-06-04,3588.167021135661
1997-06-05,3563.6106721503506
1997-06-06,3573.0516380912018
1997-06-09,3541.07915672982
1997-06-10,3530.890983021499
1997-06-11,3528.8511764663067
1997-06-12,3545.1788852480886
1997-06-13,3557.277879095239
1997-06-16,3578.0929153439
1997-06-17,3590.0874955039408
1997-06-18,3589.7717281521936
1997-06-19,3575.6981664422924
1997-06-20,3571.9043840937193
1997-06-23,3600.402713809514
1997-06-24,3632.6958363897847
1997-06-25,3659.8447460987304
1997-06-26,3700.5451647406335
1997-06-27,3700.9839661500323
1997-06-30,3740.852575806213
1997-07-01,3783.5344406540034
1997-07-02,3740.8143615585927
1997-07-03,3737.5083567130087
1997-07-04,3750.898553484627
1997-07-07,3771.040699770108
1997-07-08,3820.495000868555
1997-07-09,3873.1898424383144
1997-07-10,3842.6491886540084
1997-07-11,3820.0190846816477
1997-07-14,3872.685905839036
1997-07-15,3873.140257666603
1997-07-16,3830.8451704605864
