Date,POLAND SMALL GROWTH
1995-05-31,330.95193928307094
1995-06-30,356.8245813825278
1995-07-31,350.0928225679803
1995-08-31,333.3723920292106
1995-09-29,359.9513088444006
1995-10-31,332.8265031949022
1995-11-30,330.5351086619588
1995-12-29,324.52605697869325
1996-01-31,428.3846171494017
1996-02-29,454.13025692413095
1996-03-29,462.92897507445537
1996-04-30,509.13107680794474
1996-05-31,478.45434224004504
1996-06-28,549.4437437642979
1996-07-31,487.32231625970087
1996-08-30,542.2010381111851
1996-09-30,566.7908674085007
1996-10-31,498.2214554341425
1996-11-29,494.9590888317841
1996-12-31,514.1002997728382
1997-01-01,514.1002997728382
1997-01-02,519.4083074662421
1997-01-03,524.7679368401477
1997-01-06,518.7564016207606
1997-01-07,533.2925269581797
1997-01-08,539.3137956170913
1997-01-09,546.8968192439429
1997-01-10,552.9968165759534
1997-01-13,562.5493538120307
1997-01-14,558.5084001037617
1997-01-15,549.3811011314616
1997-01-16,559.9112963216886
1997-01-17,566.6480427158301
1997-01-20,564.6447966256028
1997-01-21,559.595981979108
1997-01-22,555.0038872826988
1997-01-23,560.4594171470054
1997-01-24,565.0040079215213
1997-01-27,569.3450550534409
1997-01-28,562.8530562351644
1997-01-29,555.5440253860193
1997-01-30,548.511601037149
1997-01-31,548.9742779365454
1997-02-03,556.6630540250492
1997-02-04,559.1515212866656
1997-02-05,563.4261960565957
1997-02-06,569.2717373888771
1997-02-07,581.2760991859174
1997-02-10,584.3086205302978
1997-02-11,577.7877802322191
1997-02-12,581.5393494850599
1997-02-13,582.1748098670046
1997-02-14,601.4325584866282
1997-02-17,601.7678515609183
1997-02-18,608.663415720788
1997-02-19,601.0798391851649
1997-02-20,599.008672759874
1997-02-21,602.5231108340729
1997-02-24,601.7063459357132
1997-02-25,602.8329483981456
1997-02-26,606.6250301121298
1997-02-27,596.6022682603844
1997-02-28,581.1298522460066
1997-03-03,579.7279702475358
1997-03-04,579.3225549766249
1997-03-05,582.4556702919924
1997-03-06,577.6318593075065
1997-03-07,583.9495129250241
1997-03-10,584.503307652901
1997-03-11,583.0398308050605
1997-03-12,583.166304528531
1997-03-13,575.571430539052
1997-03-14,559.9054708281456
1997-03-17,559.1670815942829
1997-03-18,556.7244572380166
1997-03-19,547.6444642391841
1997-03-20,544.2059186633943
1997-03-21,543.8237470719985
1997-03-24,544.948603828955
1997-03-25,546.5992428760264
1997-03-26,545.7815116458991
1997-03-27,567.1685222105318
1997-03-28,567.0301659276703
1997-03-31,567.0301659276703
1997-04-01,552.1827469976903
1997-04-02,539.5425306286078
1997-04-03,537.9410652625489
1997-04-04,537.204146108976
1997-04-07,541.4341873155184
1997-04-08,547.506582226031
1997-04-09,550.1816345437347
1997-04-10,552.3581273830134
1997-04-11,551.4267270995813
1997-04-14,545.8408175068099
1997-04-15,546.592308546649
1997-04-16,552.5954116866199
1997-04-17,548.8884518126156
1997-04-18,556.7223342671757
1997-04-21,566.2879521647222
1997-04-22,569.6877245608006
1997-04-23,578.9283426633328
1997-04-24,575.7985574037739
1997-04-25,566.185718985253
1997-04-28,555.3251977033823
1997-04-29,560.6946987398061
1997-04-30,563.6804554222916
1997-05-01,563.6359027463966
1997-05-02,564.260281812582
1997-05-05,568.305417035467
1997-05-06,580.6315492856705
1997-05-07,576.5272873218863
1997-05-08,573.9012361239211
1997-05-09,581.7866828916738
1997-05-12,578.8439852433257
1997-05-13,574.1687621552404
1997-05-14,571.858927681403
1997-05-15,569.9918595520179
1997-05-16,568.8586324671944
1997-05-19,567.0033396336364
1997-05-20,565.3006434709341
1997-05-21,561.2811473304134
1997-05-22,548.3865313095524
1997-05-23,540.1457348530656
1997-05-26,527.3171106578875
1997-05-27,515.0114554450054
1997-05-28,517.5369021403392
1997-05-29,516.5650018546296
1997-05-30,519.4273430720764
1997-06-02,522.9754635102236
1997-06-03,523.4049171818297
1997-06-04,517.079882952666
1997-06-05,515.7096385746001
1997-06-06,527.8756350031839
1997-06-09,524.0104933240814
1997-06-10,523.1575876839908
1997-06-11,523.9451548109962
1997-06-12,530.1801805193269
1997-06-13,522.604889377983
