Date,TAIWAN SMALL GROWTH
1996-09-30,1883.5621859059781
1996-10-31,1948.1588477441032
1996-11-29,2003.0510073070416
1996-12-31,2139.58058745182
1997-01-01,2139.58058745182
1997-01-02,2139.58058745182
1997-01-03,2139.58058745182
1997-01-06,2122.1028751051667
1997-01-07,2149.000994229933
1997-01-08,2158.731283666772
1997-01-09,2181.1205268042486
1997-01-10,2216.7946892104796
1997-01-13,2269.595817379141
1997-01-14,2262.3166716808055
1997-01-15,2278.213224189892
1997-01-16,2285.241067043714
1997-01-17,2286.150680921204
1997-01-20,2353.4109679939916
1997-01-21,2349.5105643803336
1997-01-22,2363.0408727755307
1997-01-23,2322.7913364945284
1997-01-24,2348.832881249396
1997-01-27,2325.7877618155485
1997-01-28,2319.4092684434554
1997-01-29,2319.516786281528
1997-01-30,2337.4840992994405
1997-01-31,2361.2405565644253
1997-02-03,2378.27637769005
1997-02-04,2378.27637769005
1997-02-05,2373.087411047817
1997-02-06,2373.087411047817
1997-02-07,2372.5857699983485
1997-02-10,2373.448528460166
1997-02-11,2399.021145796647
1997-02-12,2430.4366190053356
1997-02-13,2456.8634154705846
1997-02-14,2451.766767163577
1997-02-17,2548.138576296967
1997-02-18,2556.0020974218114
1997-02-19,2588.4946665792654
1997-02-20,2632.4021716014263
1997-02-21,2701.8404211458837
1997-02-24,2731.927307359929
1997-02-25,2721.9437338525745
1997-02-26,2651.8690523272353
1997-02-27,2686.313418589128
1997-02-28,2671.4557166770755
1997-03-03,2657.4572993427687
1997-03-04,2704.94273196383
1997-03-05,2747.7600028048337
1997-03-06,2790.5769482398573
1997-03-07,2838.1155360400026
1997-03-10,2870.1520526043637
1997-03-11,2937.596274821623
1997-03-12,2931.78362351764
1997-03-13,2916.6008315156623
1997-03-14,2924.1818746905424
1997-03-17,2987.2450398108044
1997-03-18,3025.5750647907817
1997-03-19,2966.138209201036
1997-03-20,3031.020735924582
1997-03-21,2895.5610371919247
1997-03-24,2779.9102498297575
1997-03-25,2750.6658935078885
1997-03-26,2848.8772897649524
1997-03-27,2885.6185914840835
1997-03-28,2923.3299540056473
1997-03-31,2899.999829889694
1997-04-01,2977.1892247683995
1997-04-02,3009.125847692906
1997-04-03,3045.944356900994
1997-04-04,3045.944356900994
1997-04-07,3102.4899920592966
1997-04-08,3050.692798239375
1997-04-09,3102.4665460108718
1997-04-10,3072.7977690663365
1997-04-11,3107.763948169821
1997-04-14,3155.976454270918
1997-04-15,3169.184960576765
1997-04-16,3166.75206061194
1997-04-17,3112.9811575749
1997-04-18,3045.7070083247636
1997-04-21,3082.520105907482
1997-04-22,3086.367777532986
1997-04-23,3127.8304646374704
1997-04-24,3123.3818861106274
1997-04-25,3147.729684555592
1997-04-28,3124.6309505730683
1997-04-29,3090.1652781526977
1997-04-30,3045.100403557477
1997-05-01,3045.100403557477
1997-05-02,2908.9617658194734
1997-05-05,2908.6289625378745
1997-05-06,2933.7307968804002
1997-05-07,2960.469275723578
